Question	Electricity to play your radio can be made using renewable or nonrenewable resources. Which of the following resources are renewable?	question
Answer	wind and sunlight	answer
0	wind is a renewable; inexhaustible resource	gold
1	solar energy is a renewable; inexhaustible resource	gold
2	renewable is the opposite of nonrenewable	nongold
3	solar energy is a source of electricity	nongold
4	wind is used for producing electricity	nongold
5	sunlight means solar energy	nongold
6	electricity means electrical energy	nongold
7	fossil fuels are a nonrenewable resource	nongold
8	sunlight is a kind of solar energy	gold
9	producing renewable electric energy requires renewable resources	nongold
10	a radio is a kind of electrical device	nongold
11	a renewable resource is a kind of natural resource	nongold
12	a renewable resource is a kind of naturally replaced resource	nongold
13	wind is a source of energy	nongold
14	solar power means solar energy	nongold
15	a radio converts electrical energy into vibrations; sound energy	nongold
16	fossil fuels are a kind of energy resource	nongold
17	solar energy is an inexhaustible resource	nongold
18	a fossil fuel is a kind of natural resource	nongold
19	an energy source is a kind of resource	nongold
20	an inexhaustible resource is a kind of renewable resource	nongold
21	electricity is used as an energy source by electrical devices	nongold
22	solar energy is a kind of energy	nongold
23	the sun is the source of solar energy called sunlight	nongold
24	make means produce	nongold
25	a radio contains a speaker	nongold
26	providing something means making;delivering something	nongold
27	sunlight produces heat	nongold
28	solar energy is a kind of heat energy	nongold
29	natural gas is a nonrenewable resource	nongold
30	a radio is a kind of tool	nongold
31	electricity sometimes is used for heating buildings; substances	nongold
32	a source of something emits; produces; generates; provides that something	nongold
33	resources sometimes are used for energy	nongold
34	electrical energy is a kind of energy	nongold
35	to power means to provide energy for	nongold
36	sunshine means sunlight	nongold
37	a nonrenewable resource is limited in supply	nongold
38	to be used for something means to be required by that something	nongold
39	a renewable resource can be replaced	nongold
40	making something requires resources	nongold
41	if something is powered by something else then that something requires a source of that something else	nongold
42	sunlight is a kind of light	nongold
43	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
44	renewable resources can be used over again	nongold
45	a renewable resource can be renewed	nongold
46	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
47	an electrical device requires electricity to turn on	nongold
48	solar energy is a kind of light	nongold
49	the sun is a source of light; light energy called sunlight	nongold
50	alternative fuel is usually a renewable resource	nongold
51	renewable resources are often available for many years	nongold
52	oil is a nonrenewable resource	nongold
53	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
54	a producer is a kind of living thing	nongold
55	natural gas is a kind of fossil fuel	nongold
56	a producer is a source of energy for consumers	nongold
57	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
58	electric devices require electrical energy to function	nongold
59	converting is similar to generating	nongold
60	emit means produce	nongold
61	electrical devices are used for industrial purposes; household purposes by humans	nongold
62	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
63	high is similar to increase	nongold
64	consumption means use	nongold
65	to receive sunlight means to absorb sunlight	nongold
66	renewable resources are replenished more quickly than they are used	nongold
67	fossil fuels have high potential energy	nongold
68	a type is synonymous with a kind	nongold
69	plants are a kind of resource	nongold
70	affected means changed	nongold
71	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
72	a radio is used for communication	nongold
73	person is synonymous with human	nongold
74	using renewable resources to generate power reduces greenhouse gases	nongold
75	answering questions requires information	nongold
76	to create means to make	nongold
77	generate means produce	nongold
78	the sunlight occurs during the day	nongold
79	provide is similar to give; make	nongold
80	give off is similar to make	nongold
81	intensity of sunlight is similar to amount of sunlight	nongold
82	to produce means to provide	nongold
83	receiving sunlight  is synonymous with absorbing sunlight	nongold
84	a user is a kind of person	nongold
85	to provide something means to be the source of that something	nongold
86	greatest means largest; highest; most amount of something	nongold
87	if something causes a process then that something is required for that process	nongold
88	a  plant requires sunlight for photosynthesis	nongold
89	nature is the source of natural resources	nongold
90	developing means making	nongold
91	oil is a kind of fossil fuel	nongold
92	generating power is a kind of positive impact	nongold
93	heat means heat energy	nongold
94	creating means making	nongold
95	if something converts a resource into energy it doesn't use then that something is not using that resource efficiently	nongold
96	a portable radio is a kind of radio	nongold
97	coal is a nonrenewable resource	nongold
98	if something is a raw material then that something comes directly from a source	nongold
99	can be means able to be	nongold
