Question	In the 1600s, Galileo Galilei studied the moons of Jupiter. What did Galileo do to make better observations?	question
Answer	made improvements to the telescope	answer
0	Galileo Galilei made improvements to the telescope to make better observations of celestial bodies	gold
1	Jupiter is a kind of planet	nongold
2	Jupiter is a kind of outer planet	nongold
3	Jupiter is the planet that is fifth closest to the Sun	nongold
4	Earth is a planet that is closer to the  Sun than Jupiter	nongold
5	a telescope is a kind of optical instrument for observing celestial objects; observing the sky	gold
6	to improve means to have a positive impact	nongold
7	a telescope is used for observing stars;planets;moons;distant objects; the sky; celestial objects by astronomers	gold
8	better means good	nongold
9	a moon is a kind of celestial object; body	nongold
10	detailed observation of celestial objects requires a telescope	nongold
11	moons are large; solid; spherical	nongold
12	to advance means to improve	nongold
13	instrument means tool	nongold
14	good means positive	nongold
15	an instrument is a piece of equipment	nongold
16	making discoveries requires observing	nongold
17	the moon orbits the Earth	nongold
18	instrument means device	nongold
19	to cause means to make	nongold
20	scientists make observations	nongold
21	astronomy is the study of celestial (objects, bodies)	nongold
22	the Moon is Earth's moon	nongold
23	moons orbit planets	nongold
24	a moon is a kind of satellite	nongold
25	studying  something usually requires seeing that something	nongold
26	helping means something can be done; completed more easily; better	nongold
27	observe means see	nongold
28	a living thing is a kind of object	nongold
29	to enhance means to increase	nongold
30	measuring is a kind of observing	nongold
31	type of moon; kind of moon means moon phase	nongold
32	make means produce	nongold
33	moons; comets; planets are part of the solar system	nongold
34	the function of something is what that something  is used to do	nongold
35	to be good for means to have a positive impact on	nongold
36	high is similar to increase	nongold
37	studying is similar to observing	nongold
38	answering questions requires information	nongold
39	look at means observe	nongold
40	a tool is a kind of object	nongold
41	to be used for something means to be required by that something	nongold
42	an animal is a kind of living thing	nongold
43	to get a better look at means to see better	nongold
44	a type is synonymous with a kind	nongold
45	an increase is the opposite of a decrease	nongold
46	to study means to examine	nongold
47	helping something has a  positive impact on that something	nongold
48	an part of an object is smaller than the entire object	nongold
49	a component of something means a part of that something	nongold
50	increase means more	nongold
51	if something causes a process then that something is required for that process	nongold
52	optical tools are used for observing materials up close; in greater detail	nongold
53	a human is a kind of animal	nongold
54	a component means a part of	nongold
55	something is used for that something's purpose	nongold
56	a source of something emits; produces; generates; provides that something	nongold
57	to help; to benefit means to be of use	nongold
58	an animal is a kind of organism	nongold
59	an increase is a kind of change	nongold
60	a phase of the moon is a kind of state	nongold
61	the moon rotates on its axis	nongold
62	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
63	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
64	an object is made of its parts	nongold
65	can be means able to be	nongold
66	best means most positive	nongold
67	to observe means to gather information	nongold
68	to depend on; to rely on; to need means to require	nongold
69	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
70	an event is a kind of action	nongold
71	a lens is a part of a telescope	nongold
72	distant means great in distance	nongold
73	observations; data are a part of the results of an experiment	nongold
74	to create means to make	nongold
75	a planet is a kind of celestial object; body	nongold
76	if something is required for a process then that something positively impacts that process	nongold
77	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
78	a device is a kind of object	nongold
79	astronomical body means celestial body	nongold
80	form means kind	nongold
81	a scientific inference is a kind of explanation based on facts that is not a direct observation	nongold
82	if an object is made of something then the parts of that object are made of that something	nongold
83	length of time means period of time	nongold
84	a process is a kind of event	nongold
85	getting information sometimes requires observing; observation	nongold
86	a part of a process means a stage in a process	nongold
87	the Moon is closer to the Earth than the Sun	nongold
88	a structure of something is synonymous with a part of that something	nongold
89	Mars is a kind of planet	nongold
90	length is a measure of distance from one end of an object to the other end of that object	nongold
91	better look means see better	nongold
92	An example of evidence for a scientific theory is observations	nongold
93	to try means to make an effort	nongold
94	the Sun is a kind of star	nongold
95	a source of something increases the amount of that something	nongold
96	the moon is the celestial object that is closest to the  Earth	nongold
97	a motion is a kind of event; action	nongold
98	an object; material; substance comes from that object or material's source	nongold
99	objects are made of materials; substances; matter	nongold
