Question	What causes the blue color of the sky?	question
Answer	scattering of light by matter in the atmosphere	answer
0	the sky is blue in color	gold
1	the atmosphere contains matter that reflects blue light	gold
2	blue is a kind of color	nongold
3	refracting sunlight; light causes sunlight; light to split into different colors	nongold
4	the color of an environment means the color of the things that environment contains	nongold
5	color is a kind of physical; visual property	nongold
6	green is a kind of color	nongold
7	the atmosphere is similar to the sky	gold
8	atmosphere means  air	nongold
9	air is a kind of matter	nongold
10	color is a property of  an object; a material	nongold
11	atmospheric means of the atmosphere	nongold
12	a blue object reflects only blue light	nongold
13	if an object is blue , then that object absorbs all the lights except blue light	nongold
14	coloration means a thing's color	nongold
15	if an object is blue then that object reflects only blue light	nongold
16	sunlight is a kind of light	nongold
17	the atmosphere is a kind of area	nongold
18	air is a kind of gas	nongold
19	to be a source of something means to cause that something	nongold
20	as the state  of matter changes , the color of the object will stay the same	nongold
21	purple;violet;magenta is a kind of color	nongold
22	red is a kind of color	nongold
23	gas is a kind of state of matter	nongold
24	if an object reflects a light of a certain color then the object appears to be that color	gold
25	due to means caused by	nongold
26	blue stars have the hottest temperature	nongold
27	light is a kind of wave	nongold
28	the color of an object can be discovered by looking at that object	nongold
29	to give off means to be the source of	nongold
30	the sun is a source of light; light energy called sunlight	nongold
31	the atmosphere contains gases; liquids; solids	nongold
32	particles in objects are a kind of matter	nongold
33	the air is a kind of substance	nongold
34	clouds are located in the atmosphere	nongold
35	colorless means no color	nongold
36	to cause means to have an effect	nongold
37	the atmosphere is a part of nature; the environment	nongold
38	matter; materials; substances are made of atoms; particles	nongold
39	a star is a kind of celestial object; celestial body	nongold
40	the Sun is a kind of star	nongold
41	light is a kind of electromagnetic radiation	nongold
42	air is a kind of medium for light	nongold
43	a living thing is a kind of object	nongold
44	coloration means a pattern of colors	nongold
45	bright means bright; light in color	nongold
46	light means light energy	nongold
47	to change means to cause a change	nongold
48	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
49	white is a kind of color	nongold
50	answering questions requires information	nongold
51	causing is a kind of affecting	nongold
52	cloudy means the presence  of clouds in the sky	nongold
53	a star's surface temperature causes the star's  color	nongold
54	a source of something emits; produces; generates; provides that something	nongold
55	sunlight is made of all colors in the rainbow	nongold
56	if something is caused by something else , then that something can be explained by that something else	nongold
57	heat means heat energy	nongold
58	the emission of something is when something is added into the atmosphere	nongold
59	to give is similar to to cause	nongold
60	to be formed by is similar to being produced by	nongold
61	objects are made of materials; substances; matter	gold
62	where something  comes from is a source of that something	nongold
63	Earth has air	nongold
64	increase means more	nongold
65	gas is a kind of substance	nongold
66	a source of something increases the amount of that something	nongold
67	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
68	to disperse means to separate	nongold
69	an event is a kind of action	nongold
70	scattering light decreases visibility	nongold
71	dark means dark in color	nongold
72	causing means influencing	nongold
73	a component of something means a part of that something	nongold
74	the sky is similar to space	nongold
75	to change means to have an effect	nongold
76	high is similar to increase	nongold
77	an increase is a kind of change	nongold
78	to cause means to result in	nongold
79	a component means a part of	nongold
80	the sun is a source of radiation; heat called sunlight	nongold
81	a cause of something is a reason for that something	nongold
82	a motion is a kind of event; action	nongold
83	a type is synonymous with a kind	nongold
84	state of matter is a kind of physical property	nongold
85	color is an intensive property	nongold
86	a layer of the atmosphere is similar to a region of the atmosphere	nongold
87	gas is a kind of object	nongold
88	an animal is a kind of living thing	nongold
89	if something emits something else then that something increases the amount of that something else	nongold
90	yellow is a kind of color	nongold
91	variable means able to change	nongold
92	if something comes from something else then that something else is a source of that something	nongold
93	substances are made of matter	nongold
94	can be means able to be	nongold
95	air is a part of the environment	nongold
96	an object is made of its parts	nongold
97	to cause an event is similar to being involved in that event	nongold
98	to cause is similar to bring	nongold
99	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
