Question	A student drops a ball. Which force causes the ball to fall to the ground?	question
Answer	gravity	answer
0	to drop means to fall	nongold
1	dropping something causes that something to fall	gold
2	to land on the ground means to hit the ground	nongold
3	drop means decrease	nongold
4	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	gold
5	the ground is at the bottom of an area	nongold
6	gravity is a kind of force	gold
7	falling means moving downward	gold
8	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
9	ground means floor	nongold
10	a ball is a kind of object	gold
11	gravity accelerates an object while that object falls by pulling on it	nongold
12	weight means the force of gravity acting on an object	nongold
13	the bottom is the lowest part of something	nongold
14	falling means height decreases	nongold
15	downward means down	gold
16	to lower means to decrease	nongold
17	a student is a kind of human	nongold
18	sinking means moving down	nongold
19	the ground means Earth's surface	nongold
20	low means down	nongold
21	Weight is  the  force of gravity acting on an object	nongold
22	the ground is part of the Earth	nongold
23	rolling down is similar to falling	nongold
24	a human is a kind of animal	nongold
25	a drop is a kind of liquid small amount	nongold
26	come down is similar to falling	nongold
27	as the force of gravity on an animal decreases , the higher that animal can jump generally	nongold
28	to reduce means to decrease	nongold
29	as the height of a dropped object increases , that object will fall for longer	nongold
30	as the altitude increases , the gravity will decrease	nongold
31	lowering is a kind of motion	nongold
32	a living thing is a kind of object	nongold
33	an animal is a kind of living thing	nongold
34	a drop is a small amount of liquid	nongold
35	the mass of an object causes the gravitational force exerted by that object	nongold
36	low is similar to decrease	nongold
37	An example of hitting something is dropping an object onto that something	nongold
38	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
39	jumping off is a kind of  moving down	nongold
40	as the force  of gravity decreases , the weight of the object will decrease	nongold
41	below means lower down	nongold
42	low is the opposite of high	nongold
43	to lift means to move up	nongold
44	to travel up means to rise	nongold
45	as the mass of an object increases , the force of gravity on that object will increase	nongold
46	weight is a measure of the force of the gravity on the mass of an object	nongold
47	gravity causes orbits	nongold
48	rising is a kind of motion	nongold
49	as the force of gravity increases , the weight of objects will increase	nongold
50	the floor is at the bottom of a room	nongold
51	high is similar to increase	nongold
52	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
53	motion; movement means moving; to move	nongold
54	rising means moving upward	nongold
55	weight is a property of objects; matter	nongold
56	an event is a kind of action	nongold
57	a weight is a kind of object	nongold
58	an animal is a kind of organism	nongold
59	person is synonymous with human	nongold
60	a bowling ball is a kind of object	nongold
61	a droplet is a kind of little drop	nongold
62	if something strikes an object then that something may bounce off of that object	nongold
63	a motion is a kind of event; action	nongold
64	lowest means least in value; amount; number	nongold
65	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
66	a person is a kind of animal	nongold
67	surfaces sometimes cause objects to break	nongold
68	as the force  of gravity changes , the weight of the object will change	nongold
69	gravity causes nebulas to collapse	nongold
70	sliding is a kind of motion	nongold
71	a surface is a part of an object	nongold
72	to change means to cause a change	nongold
73	up means upward	nongold
74	as the distance from an object increases , the force of gravity on that object will decrease	nongold
75	affected means changed	nongold
76	an part of an object is smaller than the entire object	nongold
77	lower means less	nongold
78	height is a measure of length from the top of an object to the bottom of an object	nongold
79	a particle is a kind of object	nongold
80	beneath means below	nongold
81	sinking is a kind of downward direction	nongold
82	a landform is a kind of object	nongold
83	hitting something causes harm to that something	nongold
84	to be lowered into a substance means to be placed into that substance	nongold
85	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
86	as distance from an object decreases , the the pull of gravity on that object increases	nongold
87	a rock is a kind of object	nongold
88	weak means low in strength	nongold
89	objects are made of materials; substances; matter	nongold
90	solid is a kind of state of matter	nongold
91	different celestial body has different gravity	nongold
92	if there is no gravitational pull , then the weight of an object will be equal to zero	nongold
93	extreme means very high in value	nongold
94	state means form	nongold
95	to be a source of something means to cause that something	nongold
96	a surface is a kind of object	nongold
97	a force is a kind of push or pull on an object	nongold
98	if an object in a fluid is more dense than that fluid then that object will sink in that fluid because of gravity	nongold
99	gravity helps move blood through the body	nongold
