Question	Which statement explains why light from the Sun can warm up water in a glass?	question
Answer	Water absorbs light energy.	answer
0	water absorbs light energy	gold
1	absorbing energy causes objects; materials; substances to heat	nongold
2	absorbing sunlight causes objects to heat	nongold
3	the sun is a source of light; light energy called sunlight	gold
4	solar energy can warm up  the air	nongold
5	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	gold
6	the sun is a source of radiation; heat called sunlight	nongold
7	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
8	glass is a kind of solid at room temperature	nongold
9	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
10	warm up means increase temperature	nongold
11	glass is a kind of open container	nongold
12	to receive sunlight means to absorb sunlight	nongold
13	glass is a kind of material	nongold
14	receiving sunlight  is synonymous with absorbing sunlight	nongold
15	a glass contains water	nongold
16	glass is a kind of object	nongold
17	solar energy is a kind of light	gold
18	water is a kind of liquid at room temperature	nongold
19	solar energy is a kind of heat energy	nongold
20	warm means medium heat energy; temperature	nongold
21	temperature is a measure of heat energy	nongold
22	light means light energy	gold
23	sunlight is a kind of light	nongold
24	sunlight means solar energy	nongold
25	sunlight is a kind of solar energy	nongold
26	light energy can be used to heat up  an object by radiation	nongold
27	solar energy is a kind of energy	nongold
28	heat means heat energy	nongold
29	sunlight produces heat	nongold
30	heating means adding heat	nongold
31	water is an thermal; thermal energy conductor	nongold
32	the Sun is a kind of star	nongold
33	the sun is the source of solar energy called sunlight	nongold
34	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
35	if something transfers energy to something else then that something else absorbs that energy	nongold
36	solar radiation means solar energy	nongold
37	the sun causes water to evaporate more quickly by adding heat	nongold
38	heat is a kind of energy	nongold
39	water is a kind of substance	gold
40	adding heat means increasing temperature	gold
41	being  on something; placed in something; placed over something means touching  that something	nongold
42	glass is a kind of medium	nongold
43	if heat is added to a substance then that substance absorbs that heat	nongold
44	heat energy  can be used to heat up  an object	nongold
45	glass is a kind of product	nongold
46	reflecting light; sound is the opposite of absorbing light; sound	nongold
47	being in something means touching that something	nongold
48	light is a kind of energy	nongold
49	light is a kind of energy	nongold
50	if heat is absorbed from a source then that heat source will cool	nongold
51	warmer means greater; higher in temperature; warmth	nongold
52	water is a kind of matter	nongold
53	when a cooler object touches a warmer object , thermal conduction occurs	nongold
54	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
55	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
56	to add means to increase	nongold
57	a hot; warm something is a source of heat	nongold
58	water is a kind of object	nongold
59	a liquid is a kind of substance	nongold
60	a star is a kind of celestial object; celestial body	nongold
61	if one surface; one substance; one object touches something then one is exposed to that something	nongold
62	a container contains objects; material; substances	nongold
63	water absorbs solar energy in the water cycle	nongold
64	the heat energy in the cooler object increases in thermal conduction	nongold
65	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
66	water is a kind of medium for light	nongold
67	if something transfers something else then that something is a source of something else	nongold
68	a source of something emits; produces; generates; provides that something	nongold
69	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
70	as the sunlight absorbed by the object increases ,  the temperature of the object  will increase more	nongold
71	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
72	heat means temperature increases	nongold
73	warm; becoming warm means heat is added	gold
74	absorbing something from the air decreases the  amount of  that something in the air	nongold
75	a source of heat can be used to heat something	nongold
76	a source of heat can be used to heat something	nongold
77	an object; material; substance comes from that object or material's source	nongold
78	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
79	objects are made of materials; substances; matter	nongold
80	conductivity is a property of a material; substance	nongold
81	liquid is a kind of state of matter	nongold
82	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
83	where something  comes from is a source of that something	nongold
84	if something is outside during the day then that something will receive sunlight	nongold
85	if something comes from something else then that something else is a source of that something	nongold
86	absorption is a kind of event	nongold
87	warm means warm temperature	nongold
88	a glass bottle is a kind of bottle	nongold
89	the sun is a kind of yellow dwarf	nongold
90	thermal conduction is when heat flows from warmer object to cooler object	nongold
91	a container is a kind of object	nongold
92	if an object is made of a material then that object has the properties of that material	nongold
93	being in the sun is synonymous with being in the sunlight	nongold
94	a body of water contains water	nongold
95	materials are made of matter	nongold
96	water is a kind of water phase	nongold
97	a liquid is a kind of fluid	nongold
98	to give off means to be the source of	nongold
99	absorbing something harmful has a negative impact on a thing	nongold
