Question	A decomposer is an organism that	question
Answer	breaks down dead plants and animals	answer
0	a decomposer is a kind of living thing	gold
1	a decomposer is usually a bacterium; fungus	gold
2	decomposition is when a decomposer breaks down dead organisms	gold
3	a bacterium is a kind of decomposer	nongold
4	a microorganism is a kind of decomposer	nongold
5	a worm is a kind of decomposer	nongold
6	to decompose means to decay	nongold
7	an organism is a living thing	gold
8	an animal is a kind of living thing	nongold
9	an animal is a kind of organism	gold
10	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	nongold
11	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
12	a plant is a kind of living thing	nongold
13	a plant is a kind of organism	gold
14	to digest means to break down food	nongold
15	dead organisms are the source of nutrients for decomposers	nongold
16	a living thing is a kind of object	nongold
17	if a living thing dies then that living thing is dead	nongold
18	an earthworm is a kind of decomposer	nongold
19	death means to die	nongold
20	a tree is a kind of plant	nongold
21	remains is similar to dead organisms	nongold
22	organisms mean life	nongold
23	In the food chain process fungi have the role of decomposer	nongold
24	dead plants means dead plant material	nongold
25	a fungus is a kind of living thing	nongold
26	a fungus is a kind of organism	nongold
27	remains mean parts of a dead organism	nongold
28	dead organisms decay	nongold
29	life means living things	nongold
30	nonliving; non-living; die is the opposite of living; alive; live	nongold
31	vegetation means plants	nongold
32	In the food chain process bacteria have the role of decomposer	nongold
33	dead means not alive	nongold
34	a human is a kind of animal	nongold
35	plant and animal matter means organic matter	nongold
36	live means to be alive	nongold
37	plants can be fossilized	nongold
38	to split means to break down	nongold
39	a tree is a kind of living thing	nongold
40	to break down means to break into smaller pieces	nongold
41	a stem is often a part of plant	nongold
42	destruction means to destroy	nongold
43	a leaf is a kind of plant	nongold
44	eating an animal; a plant means killing that animal; that plant	nongold
45	a leaf is a part of a  green plant	nongold
46	breaking down is a kind of forming	nongold
47	dead organisms are a kind of waste	nongold
48	killing means changing a living thing from alive to dead by harming	nongold
49	if a tree is cut down then that tree will die	nongold
50	green plants are a kind of producer	nongold
51	decomposition is a kind of process	nongold
52	an organism is made of organic matter	nongold
53	an animal; living thing requires nutrients for survival	nongold
54	crumble means break down	nongold
55	a plant; living thing requires food for survival	nongold
56	break down means change from a whole into pieces	nongold
57	the body is a part of an organism	nongold
58	dead organisms rot	nongold
59	a process is a kind of event	nongold
60	a vegetable is a kind of plant	nongold
61	break apart means break down	nongold
62	dying is the opposite of living; surviving	nongold
63	separate is similar to break down	nongold
64	an ecosystem contains nonliving things	nongold
65	killing means harming something causing death	nongold
66	harming an organism can cause that organism to die	nongold
67	a bacterium is a kind of organism	nongold
68	breaking down is a kind of function	nongold
69	answering questions requires information	nongold
70	an animal is a member of an animal species	nongold
71	a worm is a kind of animal	nongold
72	an event is a kind of action	nongold
73	a fungus is a kind of eukaryote	nongold
74	a mushroom is a kind of fungus	nongold
75	a leaf is a part of a tree	nongold
76	if a plant dies then that plant will not produce food	nongold
77	if something is made of something else then that something can be broken down into that something else	nongold
78	to give is similar to to cause	nongold
79	a leaf is a kind of object	nongold
80	a worm is a kind of living thing	nongold
81	a tree is a kind of matter	nongold
82	person is synonymous with human	nongold
83	human is a kind of organism	nongold
84	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
85	dissolving is similar to breaking down	nongold
86	objects are made of materials; substances; matter	nongold
87	a food contains nutrients for living things	nongold
88	to decompose means to separate	nongold
89	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
90	all living and nonliving materials are made of elements	nongold
91	break down is the opposite of put together	nongold
92	a living thing is made of cells	nongold
93	survive means live	nongold
94	survive means live	nongold
95	soil is a kind of nonliving thing	nongold
96	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
97	a mushroom is a kind of living thing	nongold
98	a diatom is a kind of organism	nongold
99	a producer is a kind of living thing	nongold
