Question	Human interaction with the environment has led to increasing amounts of acid rain. Which population have humans adversely affected the most by contributing to the production of acid rain?	question
Answer	frogs in a pond ecosystem	answer
0	a pond is a kind of body of water	gold
1	a pond is a kind of environment	nongold
2	acid rain has a  negative impact on  water quality	gold
3	adverse effect means negative impact	gold
4	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
5	a frog is a kind of aquatic animal	nongold
6	a pond is a kind of habitat	nongold
7	acid rain is acidic	nongold
8	some frogs live in ponds	gold
9	a frog is a kind of animal	gold
10	to contribute is similar to produce	nongold
11	acidic rainwater contains acid	nongold
12	a frog is a kind of amphibian	nongold
13	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
14	to cause something means to contribute to that something happening	nongold
15	causing is a kind of affecting	nongold
16	aquatic animals; plants live in bodies of water	nongold
17	to impact means to affect	gold
18	an aquatic animal is a kind of animal	nongold
19	harming something has a  negative impact on; effect on that something	gold
20	as water increases in an environment , the population of aquatic animals will increase	nongold
21	if something causes an increase in something else then that something produces that something else	nongold
22	a source of something emits; produces; generates; provides that something	nongold
23	a frog is an adult form of a frog	nongold
24	a pond is smaller; shallower than a lake	nongold
25	an ecosystem is a kind of habitat	gold
26	an acid is acidic	nongold
27	a human is a kind of animal	nongold
28	humans changing an environment causes animal populations to decrease in that environment	nongold
29	aquatic animal means water animal	nongold
30	if something affects a part of something else then that something affects that something else	nongold
31	humans changing animal habitats usually causes harm to those animals	gold
32	harming an environment causes harm to the living things; to the organisms in that environment	nongold
33	acid rain will increase the  acidity of the ocean	nongold
34	an ecosystem contains a large community of; large numbers of living organisms	nongold
35	negative impacts on a species will decrease populations of a species	nongold
36	an environment is similar to an ecosystem	gold
37	producing is similar to causing	nongold
38	humans building homes; roads in an ecosystem; in an environment causes that ecosystem; that environment to change	nongold
39	harming an animal species causes that animal's population to decrease	nongold
40	harming an animal species has a  negative impact on the population size of that species	nongold
41	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
42	emit means produce	nongold
43	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
44	impact means effect	gold
45	a body of water is a kind of environment	gold
46	positive impacts on a species will increase populations of a species	nongold
47	organisms are a part of an environment	nongold
48	an acid is corrosive	nongold
49	negative impact is the opposite of positive impact	nongold
50	if something is required for a process then that something positively impacts that process	nongold
51	as the available water in an environment increases , the populations of organisms in that environment will increase	nongold
52	increase means more	nongold
53	producing is a kind of process	nongold
54	a frog eats insects	nongold
55	population is a measure of the number of a species in an environment	nongold
56	a human is a kind of mammal	nongold
57	human is a kind of organism	nongold
58	a wetland is a kind of ecosystem	nongold
59	an increase is the opposite of a decrease	nongold
60	to lead to means to cause	nongold
61	a source of something increases the amount of that something	nongold
62	to contribute means to add	nongold
63	an environment means an area	gold
64	a producer is a kind of living thing	nongold
65	water is a part of an environment	nongold
66	an animal is a member of an animal species	nongold
67	animals; living things require water for survival	nongold
68	rain is a kind of water	nongold
69	an animal is a kind of organism	gold
70	if something emits something else then that something increases the amount of that something else	nongold
71	to add means to increase	nongold
72	an organism is a living thing	nongold
73	an animal is a kind of living thing	nongold
74	a plant is a kind of organism	nongold
75	if a living thing requires something then that something has a positive impact on that living thing	nongold
76	to reduce means to decrease	nongold
77	the  mature form of a frog is called a frog	nongold
78	person is synonymous with human	nongold
79	producing is similar to releasing	nongold
80	the emission of sulfur dioxide causes acid rain	nongold
81	generate means produce	nongold
82	pollution has a negative impact on the environment; air quality; water quality; society	nongold
83	a negative impact is a kind of consequence; risk	nongold
84	a plant is a kind of living thing	nongold
85	a factor impacts something	nongold
86	affected means changed	nongold
87	an ecosystem contains nonliving things	nongold
88	decreasing something negative has a positive impact on a thing	nongold
89	to cause means to have an effect	nongold
90	rain is a source of water	nongold
91	as the amount of a source of something decreases , the amount of that something will decrease	nongold
92	less is similar to decrease	nongold
93	an amphibian is a kind of animal	nongold
94	helping something has a  positive impact on that something	nongold
95	habitat is similar to environment	nongold
96	rain is a kind of precipitation	nongold
97	a plant is a member of a plant species	nongold
98	organisms mean life	nongold
99	high is similar to increase	nongold
