Question	Which best describes all unicellular organisms?	question
Answer	Every cell performs all life functions.	answer
0	a unicellular organism has one cell	nongold
1	single-cell organism means unicellular organism	gold
2	life means living things	nongold
3	all living things have life cycles	nongold
4	basic life functions occur in the cells of organisms	nongold
5	an animal cell is a kind of cell	nongold
6	an organism is a living thing	nongold
7	living things carry out basic life functions	nongold
8	best means most positive	nongold
9	living things perform biological processes	nongold
10	a plant cell is a kind of cell	nongold
11	the function of something is what that something  is used to do	nongold
12	the cell is the smallest unit of an organism that can perform all of the processes of life	nongold
13	a living thing is made of cells	nongold
14	the photosynthetic life performs photosynthesis	nongold
15	all cells perform cellular respiration	nongold
16	an animal is a kind of organism	nongold
17	the cell is the most basic structural unit of life	nongold
18	all living things are made of cells according to the cell theory	nongold
19	causing is a kind of function	nongold
20	if a cell can not specialize then that cell must perform all life functions	gold
21	organisms mean life	nongold
22	an animal is a kind of living thing	nongold
23	a human cell is a kind of cell	nongold
24	conducting is a kind of function	nongold
25	a cell is a kind of object	nongold
26	something's function can be used to describe; identify that something	nongold
27	if two things perform the same function then those two things are similar	nongold
28	a function is a kind of characteristic	nongold
29	a function is an activity	nongold
30	organisms move through the stages of the life cycle	nongold
31	function is similar to purpose	nongold
32	a multicellular organism is a kind of living thing	nongold
33	to be a vehicle for is a kind of function	nongold
34	producing is a kind of function	nongold
35	to work means to function	nongold
36	a source of something emits; produces; generates; provides that something	nongold
37	better means good	nongold
38	answering questions requires information	nongold
39	a living thing is a kind of object	nongold
40	a plant is made of plant cells	nongold
41	biotic means living	nongold
42	if something performs a task then that task is that something's function	nongold
43	lifetime is similar to life cycle	nongold
44	plant cells can perform photosynthesis	nongold
45	can be means able to be	nongold
46	something is used for that something's purpose	nongold
47	a cell absorbs nutrients	nongold
48	a mechanism is a kind of system that performs a function	nongold
49	absorbing is a kind of function	nongold
50	once per means every	nongold
51	an event is a kind of action	nongold
52	all cells require energy	nongold
53	protecting is a kind of function	nongold
54	the properties of something are used for describing that something	nongold
55	good means positive	nongold
56	high is similar to increase	nongold
57	a part of a process means a stage in a process	nongold
58	providing is a kind of function	nongold
59	converting is a kind of function	nongold
60	a component of something means a part of that something	nongold
61	a plant is a kind of organism	nongold
62	a food contains nutrients for living things	nongold
63	role means function	nongold
64	a description sometimes provides information	nongold
65	cell activity means cell process	nongold
66	photosynthesizing means performing photosynthesis	nongold
67	a multicellular organism contains more than one cell	nongold
68	emit means produce	nongold
69	all cells take in energy	nongold
70	breaking down is a kind of function	nongold
71	increase means more	nongold
72	a multicellular organism is made of many cells	nongold
73	death means to die	nongold
74	a process is a kind of event	nongold
75	a plant is a kind of living thing	nongold
76	a cell is very small	nongold
77	a component means a part of	nongold
78	measuring is used for describing an object	nongold
79	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
80	a process usually requires all of the stages in that process	nongold
81	organisms are a part of an environment	nongold
82	if an organism dies then that organism can not perform its function	nongold
83	information is used to describe something	nongold
84	to depend on; to rely on; to need means to require	nongold
85	to be formed by is similar to being produced by	nongold
86	a multicellular organism has more than one cell	nongold
87	ensuring is a kind of function	nongold
88	animal cells can  not perform photosynthesis	nongold
89	moving something is a kind of function	nongold
90	to have a function is similar to to be responsible for	nongold
91	providing structure is a kind of function	nongold
92	releasing energy is a kind of function	nongold
93	a type is synonymous with a kind	nongold
94	cells are a smaller level of organization than tissues in living things	nongold
95	a step in a process means a stage in a process	nongold
96	the last stage of a life cycle occurs at the end of a life cycle	nongold
97	if something causes a process then that something is required for that process	nongold
98	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
99	form means kind	nongold
