Question	Which of the following is formed when two elements combine chemically?	question
Answer	a compound	answer
0	combining; mixing two substances chemically causes chemical reactions	nongold
1	a compound is made of two or more elements that have been chemically combined	gold
2	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
3	a chemical compound is a kind of compound	nongold
4	a compound can be chemically separated into the elements that it is made of	nongold
5	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
6	compound is a kind of chemical	nongold
7	a compound is a kind of substance	nongold
8	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
9	chemical reactions cause new substances; different substances to form	nongold
10	to be made of something means to be formed of that something	gold
11	products are formed; are produced; are created	nongold
12	a molecule is made of atoms chemically combined; bonded	nongold
13	chemical compounds contain chemical bonds between atoms; between elements	nongold
14	an mixture is formed by two or more substances combined together physically	nongold
15	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
16	to add means to combine	nongold
17	form means kind	nongold
18	an element is a kind of  substance	nongold
19	a carbohydrate is a kind of compound	nongold
20	sodium chloride is always made of chemically combined chlorine and sodium	nongold
21	an  element is a kind of atom	nongold
22	hydrogen is a kind of element	nongold
23	to cause the formation of means to form	nongold
24	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
25	oxygen  is a kind of element	nongold
26	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
27	substances are made of elements	nongold
28	to be formed by is similar to being produced by	nongold
29	carbon is a kind of element	nongold
30	chemicals means substances	nongold
31	chlorine is a kind of element	nongold
32	zinc chloride is a kind of compound	nongold
33	nitrogen is a kind of element	nongold
34	to be a combination of means to be made of	nongold
35	state means form	nongold
36	methane is a kind of compound	nongold
37	sodium chloride is a kind of chemical compound	nongold
38	forming is similar to converting	nongold
39	if a substance is made of one element , then the substance is called an element	nongold
40	sodium bicarbonate is a kind of compound	nongold
41	an element is made of one kind of atoms	nongold
42	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
43	to change into means to form	nongold
44	chemical reactions cause chemical change	nongold
45	both means two	nongold
46	oxygen is a part of many organic molecules	nongold
47	to fuse means to combine	nongold
48	sodium carbonate is a kind of  compound	nongold
49	all elements are a kind of pure substance	nongold
50	oxygen gas is made of only  oxygen element	nongold
51	hydrogen chloride is made of hydrogen and chlorine	nongold
52	plus means to combine	nongold
53	An example of a chemical property is the elements a compound is made of	nongold
54	sulfur is a kind of element	nongold
55	nitrogen is a kind of gas	nongold
56	a pure substance is made of only one kind of atom; molecule	nongold
57	organic compounds contain hydrogen	nongold
58	the chemistry of something is similar to what that something is made of	nongold
59	a compound is a kind of material	nongold
60	sulfur dioxide is formed by the combustion of fossil fuels	nongold
61	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
62	sodium chloride dissolves in water when they are combined	nongold
63	to make means to form	nongold
64	iron sulfide is made of iron and sulfur	nongold
65	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
66	N means nitrogen	nongold
67	sodium is a kind of element	nongold
68	sodium carbonate is made of sodium, carbon, oxygen	nongold
69	substances are made of molecules	nongold
70	when two substances together form a compound then those substances cannot be physically separated	nongold
71	forming something is a kind of change	nongold
72	magnesium oxide is a kind of compound	nongold
73	to form means to create	nongold
74	chemical reaction means chemical bonds change	nongold
75	a mixture is a kind of substance	nongold
76	hydrogen is a kind of gas at room temperature	nongold
77	ammonia is made of nitrogen and hydrogen	nongold
78	a  gas is a kind of  element	nongold
79	sodium chloride is a kind of molecule	nongold
80	water is a kind of compound	nongold
81	synthesis means to make	nongold
82	hydrochloric acid is a kind of acid	nongold
83	made up of means contains; made of	nongold
84	neutralization is when an acid and a base react to form water and salt	nongold
85	chromium is a kind of metal	nongold
86	carbon monoxide is a kind of gas	nongold
87	hydrochloric acid is made of hydrogen chloride dissolved in water	nongold
88	the nitrogen family is a kind of group in periodic table	nongold
89	composed of means made of	nongold
90	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
91	sodium is a kind of metal	nongold
92	a metal is a kind of element	nongold
93	chlorine is a kind of green, poisonous gas	nongold
94	organic compounds are made of carbon chains with other elements attached to it	nongold
95	NaCl means sodium chloride	nongold
96	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
97	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
98	aluminum is a kind of element	nongold
99	bromine is a kind of element	nongold
