Question	When sunlight shines on a plant, its leaves	question
Answer	make food.	answer
0	a  plant requires sunlight for photosynthesis	gold
1	green plants provide food for themselves; animals; consumers by performing photosynthesis	gold
2	a leaf performs photosynthesis; gas exchange	gold
3	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	gold
4	make means produce	nongold
5	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
6	a plant; living thing requires food for survival	nongold
7	green plants are a kind of producer	nongold
8	food is what an animal eats	nongold
9	sunshine means sunlight	nongold
10	to eat means to consume food	nongold
11	a plant requires photosynthesis to grow; survive	nongold
12	an animal needs to eat food for nutrients	nongold
13	a food contains nutrients for living things	nongold
14	a producer produces its own food	nongold
15	a leaf absorbs sunlight to perform photosynthesis	nongold
16	a leaf is a kind of plant	nongold
17	a plant is a kind of living thing	nongold
18	a leaf is a part of a  green plant	nongold
19	to shine means to emit light	nongold
20	a producer is a kind of living thing	nongold
21	sunlight is a kind of light	nongold
22	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
23	sunlight means solar energy	nongold
24	an animal is a kind of living thing	nongold
25	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
26	a vegetable is a kind of food	nongold
27	sunlight shining means sunlight is provided	gold
28	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
29	an animal; living thing requires nutrients for survival	nongold
30	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
31	a living thing is a kind of object	nongold
32	sunlight produces heat	nongold
33	In the food chain process a  green plant has the role of  producer	nongold
34	daylight is when the sun shines on a location	nongold
35	living things eat their food source	nongold
36	an organism is a living thing	nongold
37	a source of something emits; produces; generates; provides that something	nongold
38	to cause means to make	nongold
39	a plant is a kind of organism	nongold
40	a flower is a part of a plant for attracting pollinators; producing seeds	nongold
41	a leaf is a kind of object	nongold
42	a vegetable is a kind of plant	nongold
43	photosynthesis is a kind of chemical  process	nongold
44	vegetation means plants	nongold
45	a leaf is a part of a tree	nongold
46	an animal is a kind of consumer	nongold
47	providing something means making;delivering something	nongold
48	provide is similar to give; make	gold
49	a tree is a kind of living thing	nongold
50	production is similar to making	nongold
51	food is a kind of object	nongold
52	daylight means sunlight	nongold
53	the photosynthetic life performs photosynthesis	nongold
54	a flower is a kind of object	nongold
55	plant cells can perform photosynthesis	nongold
56	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
57	pollination requires pollinators; pollinating animals	nongold
58	an animal is a kind of organism	nongold
59	a flower is a kind of plant	nongold
60	a human is a kind of animal	nongold
61	the sun is a source of light; light energy called sunlight	nongold
62	converting is similar to producing	nongold
63	the sun is the source of solar energy called sunlight	nongold
64	a consumer can not produce its own food	nongold
65	a tree is a kind of plant	nongold
66	an insect is a kind of animal	nongold
67	a flower produces pollen and seeds	nongold
68	if a living thing requires something then that something has a positive impact on that living thing	nongold
69	to depend on; to rely on; to need means to require	nongold
70	food is a kind of substance	nongold
71	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
72	synthesize means to make	nongold
73	prey is a kind of food for predators	nongold
74	creating means making	nongold
75	fruit is a kind of food	nongold
76	plant reproduction; seed production requires pollination	nongold
77	An insect is a pollinating animal	nongold
78	a plant; living thing requires nutrients to grow	nongold
79	food contains carbohydrates	nongold
80	a flower is a source of nectar	nongold
81	a fern is a kind of plant	nongold
82	photosynthesis is a kind of chemical reaction	nongold
83	diet means what an animal eats	nongold
84	sunlight is a kind of solar energy	nongold
85	pollinator means pollinating animal	nongold
86	a crop is a kind of food	nongold
87	emit means produce	nongold
88	products are formed; are produced; are created	nongold
89	herbivores only eat plants	nongold
90	pollination is a kind of process for plant reproduction	nongold
91	omnivores eat plants; animals	nongold
92	a consumer is a kind of organism	nongold
93	to make means to form	nongold
94	a producer is a source of sugar; food energy in an ecosystem	nongold
95	producing is similar to causing	nongold
96	an onion is a kind of vegetable	nongold
97	producer is a kind of role in the food chain process; in an ecosystem	nongold
98	a food web is made of organisms that consume other organisms; that produce their own food	nongold
99	to create means to make	nongold
