Question	A lunar eclipse occurs when the Moon passes through Earth's shadow. A lunar eclipse can only occur during a	question
Answer	full moon.	answer
0	a lunar eclipse could only occur during a full moon	gold
1	Earth's shadow falling on the moon causes a lunar eclipse	nongold
2	a solar eclipse could only happen during the new moon	nongold
3	a full moon occurs after a waxing gibbous moon	nongold
4	to pass means to occur	nongold
5	a full moon is a kind of phase of the moon	nongold
6	the Moon is Earth's moon	nongold
7	to happen means to occur	nongold
8	Earth is a kind of planet	nongold
9	the moon orbits the Earth	nongold
10	to pass through means to move through	nongold
11	to cross means to pass	nongold
12	a moon is a kind of celestial object; body	nongold
13	passage is passing	nongold
14	the Moon completes a lunar cycle over a period of 29 days	nongold
15	to pass means to travel	nongold
16	a new moon occurs 14 days after a full moon	nongold
17	to undergo is similar to to pass through	nongold
18	sunlight is a kind of light	nongold
19	the occurance  of shadow requires the presence  of light	nongold
20	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
21	moons are large; solid; spherical	nongold
22	the sunlight occurs during the day	nongold
23	a cycle happens; occurs repeatedly	nongold
24	type of moon; kind of moon means moon phase	nongold
25	to pass into means to enter	nongold
26	passing through is similar to entering	nongold
27	events occur at a specific place; at a specific time; with a specific frequency	nongold
28	each of the moon's phases occurs once per month	nongold
29	the Earth revolves around the sun	nongold
30	the moon reflects sunlight towards the Earth	nongold
31	the sun sets in the west	nongold
32	cycles of day and night occur once per day	nongold
33	the Sun is a kind of star	nongold
34	the moon rising occurs once per day	nongold
35	to create means to make	nongold
36	passing is a kind of action	nongold
37	the sun is a source of light; light energy called sunlight	nongold
38	a lunar eclipse is when the Earth blocks the Moon from the sun	nongold
39	the sun rises in the east	nongold
40	shadow of an object can be seen by eyes	nongold
41	moons; comets; planets are part of the solar system	nongold
42	the moon rotates on its axis	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	a change is a kind of event	nongold
45	an event is a kind of action	nongold
46	the new moon is when the dark half of the moon faces the Earth	nongold
47	composed of means made of	nongold
48	to produce means to create	nongold
49	event is similar to occurrence	nongold
50	sunlight means solar energy	nongold
51	something that happens is a kind of event	nongold
52	no longer means used to be	nongold
53	the sun rising; setting occurs once per day	nongold
54	can be means able to be	nongold
55	the moon orbiting the Earth occurs approximately 13 times per year	nongold
56	creating means making	nongold
57	a solar eclipse is when the Moon blocks the Earth from the sun	nongold
58	once per means every	nongold
59	a new moon is a kind of phase of the moon	nongold
60	the moon orbiting the Earth occurs once per month	nongold
61	an increase is a kind of change	nongold
62	to turn means to change	nongold
63	a motion is a kind of event; action	nongold
64	to form means to create	nongold
65	a moon phase occurs 28 days after the last time it occurred	nongold
66	to make means to form	nongold
67	to cause means to make	nongold
68	sunlight is a kind of solar energy	nongold
69	the new moon is when the lighted half of the moon faces the Sun	nongold
70	to change into means to form	nongold
71	to pass means to transfer	nongold
72	to generate means to create	nongold
73	to carry means to transport	nongold
74	to carry means to move something	nongold
75	an object blocking light causes a shadow	nongold
76	high is similar to increase	nongold
77	once means one time	nongold
78	to change means to cause a change	nongold
79	all the time means at day and at night	nongold
80	solar energy is a kind of light	nongold
81	creating is similar to causing	nongold
82	answering questions requires information	nongold
83	movements of celestial bodies are a kind of event	nongold
84	a type is synonymous with a kind	nongold
85	a component means a part of	nongold
86	inch ( in ) is a imperial unit used for measuring length; distance	nongold
87	due to means caused by	nongold
88	the sun rising is a kind of event	nongold
89	the solar system contains the moon	nongold
90	usually means most of the time	nongold
91	to be made of means to consist of	nongold
92	yards ( yd ) are a  imperial unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
93	a household cat is small in size	nongold
94	to generate means to form	nongold
95	to serve as means to be used as	nongold
96	a stuntman is a kind of object	nongold
97	to be a source of something means to cause that something	nongold
98	a wooden bench is a kind of object	nongold
99	astronomy is the study of celestial (objects, bodies)	nongold
