Question	On a warm sunny afternoon, ocean water splashed onto a rock. A short time later, the rock was dry. Which statement best explains what happened to the water on the rock?	question
Answer	Heat caused the water to become a gas.	answer
0	dry means low in amount of water; wetness; moisture	gold
1	drying means amount of water; amount of liquid; wetness decreases	gold
2	temperature is a measure of heat energy	gold
3	heating means adding heat	gold
4	moisture means liquid; liquid water	nongold
5	a rock is a kind of object	nongold
6	heat means heat energy	nongold
7	heat means temperature increases	nongold
8	an ocean is a kind of body of water	nongold
9	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
10	water is a kind of liquid at room temperature	gold
11	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
12	water is an thermal; thermal energy conductor	nongold
13	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
14	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
15	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
16	sunlight produces heat	nongold
17	gas is a kind of substance	nongold
18	hot means high in heat energy; temperature	nongold
19	water is a kind of substance	gold
20	to add means to increase	nongold
21	rock is a kind of material	nongold
22	gas is a kind of object	nongold
23	heat energy is synonymous with thermal energy	nongold
24	to give off means to be the source of	nongold
25	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
26	gas is a kind of state of matter	nongold
27	a surface is a part of an object	nongold
28	to lower means to decrease	nongold
29	absorbing sunlight causes objects to heat	gold
30	becoming is similar to changing	nongold
31	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
32	sunlight is a kind of solar energy	nongold
33	An example of evaporation is a body of water drying up by absorbing heat energy	nongold
34	if an object; something is in the sunlight then that object; that something will absorb solar energy	gold
35	solar energy is a kind of heat energy	gold
36	sunlight means solar energy	nongold
37	water is a kind of object	nongold
38	a rock is usually a solid	nongold
39	a surface is a part of a material	nongold
40	an increase is the opposite of a decrease	nongold
41	a body of water is a source of water	nongold
42	if one surface; one substance; one object touches something then one is exposed to that something	nongold
43	the sun is a source of radiation; heat called sunlight	nongold
44	sunny is a kind of weather	nongold
45	a source of something emits; produces; generates; provides that something	nongold
46	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
47	washing out means being moved from  by water	nongold
48	to reduce means to decrease	nongold
49	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
50	a body of water contains water	nongold
51	a wet object is a source of water	nongold
52	increase means more	nongold
53	to change means to cause a change	nongold
54	material means substance	nongold
55	a living thing is a kind of object	nongold
56	wet is the opposite of dry	nongold
57	liquid is a kind of state of matter	nongold
58	being  on something; placed in something; placed over something means touching  that something	nongold
59	a hot substance is a source of heat	nongold
60	warm; becoming warm means heat is added	nongold
61	gaseous means of gas	nongold
62	high is similar to increase	nongold
63	an increase is a kind of change	nongold
64	vapor is synonymous with gas	nongold
65	adding heat means increasing temperature	gold
66	gas is a kind of material	nongold
67	heat energy can change the state of matter	nongold
68	a liquid is a kind of substance	nongold
69	warm up means increase temperature	nongold
70	a solid is a kind of substance	nongold
71	thermal conduction is when heat flows from warmer object to cooler object	nongold
72	solid is a kind of state of matter	nongold
73	when a cooler object touches a warmer object , thermal conduction occurs	nongold
74	if water vapor is limited to reach a location , then that location    will be dry	nongold
75	Earth's surface is made of rock	nongold
76	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
77	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
78	to be a source of something means to cause that something	nongold
79	an ocean is a source of heat and moisture for a hurricane	nongold
80	water is a kind of matter	nongold
81	if heat is added to a substance then that substance absorbs that heat	nongold
82	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
83	moist means high in moisture	nongold
84	a container contains objects; material; substances	nongold
85	best means most positive	nongold
86	to wash away is a kind of movement by moving water	nongold
87	the sun causes water to evaporate more quickly by adding heat	nongold
88	the water at the surface of the ocean absorbs more sunlight than the water at the bottom of the ocean	nongold
89	a  gas is a kind of  element	nongold
90	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
91	to turn means to change	nongold
92	a surface is a kind of object	nongold
93	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
94	if something is places over a heat source then that something is exposed to that heat source	nongold
95	objects are made of materials; substances; matter	nongold
96	a decrease is a kind of change	nongold
97	metal is a thermal; thermal energy conductor	nongold
98	variable means able to change	nongold
99	absorbance is when a wave absorbs at; stops at a surface	nongold
