Question	Which gas makes up the greatest percentage of Earth's atmosphere?	question
Answer	nitrogen	answer
0	greatest means largest; highest; most amount of something	gold
1	the Earth's atmosphere is made of 78 percent nitrogen by mass	gold
2	nitrogen is a kind of gas	gold
3	nitrogen is a kind of element	nongold
4	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
5	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
6	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
7	highest means largest; greatest; most in height	nongold
8	oxygen is a kind of gas at room temperature	nongold
9	lowest means least in value; amount; number	nongold
10	most means over 50% of something	gold
11	largest amount means most	nongold
12	oxygen  is a kind of element	nongold
13	hydrogen is a kind of gas at room temperature	nongold
14	made up of means contains; made of	nongold
15	largest means greatest in size	nongold
16	percents; ratios are a kind of data	nongold
17	furthest; farthest means greatest; most; highest in distance	nongold
18	the Earth's atmosphere is made of 1.288 percent argon by mass	nongold
19	oxygen is more common than hydrogen on Earth	nongold
20	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
21	carbon is a kind of element	nongold
22	atmosphere means  air	nongold
23	carbon dioxide is a kind of gas	nongold
24	hydrogen is a kind of element	nongold
25	a  gas is a kind of  element	nongold
26	substances are made of elements	nongold
27	atmospheric means of the atmosphere	nongold
28	higher means greater; above in value; amount; number	nongold
29	nitrogen as an elemental gas is more stable than nitrogen compounds	nongold
30	Earth is a kind of planet	nongold
31	the atmosphere contains gases; liquids; solids	nongold
32	air is a kind of gas	nongold
33	greater means higher; more in value	nongold
34	ammonia is made of nitrogen and hydrogen	nongold
35	N means nitrogen	nongold
36	oxygen gas is made of only  oxygen element	nongold
37	gas is a kind of substance	nongold
38	high is similar to increase	nongold
39	nitrogen is a kind of nutrient for plant growth	nongold
40	an  element is a kind of atom	nongold
41	legumes contain nitrogen	nongold
42	least is the opposite of greatest	nongold
43	denitrification is when nitrogen becomes part of the lithosphere	nongold
44	the nitrogen cycle is a cyclical process, with stages of nitrogen fixation, nitrification, assimilation, ammonification, denitrification	nongold
45	carbon dioxide can be found in the air	nongold
46	sulfur is a kind of element	nongold
47	a ratio is a measure of one measure over another measure; divided by another measure	nongold
48	high means a lot of something	nongold
49	to be made of means to consist of	nongold
50	an atom is a kind of object	nongold
51	accounting for means making up some amount	nongold
52	the air is a kind of substance	nongold
53	including means containing	nongold
54	one in  two means half; 50%	nongold
55	oxygen rich means a high amount of oxygen	nongold
56	to add means to increase	nongold
57	gaseous means of gas	nongold
58	quantity means amount	nongold
59	all elements are a kind of pure substance	nongold
60	Earth has air	nongold
61	oxygenated means having oxygen	nongold
62	an increase is the opposite of a decrease	nongold
63	extreme means very high in value	nongold
64	make means produce	nongold
65	saturation of oxygen means oxidized	nongold
66	a ratio is a measure of  one value divided by another value	nongold
67	elements in noble gases family are gases at room temperature	nongold
68	air is a kind of matter	nongold
69	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
70	concentration means amount	nongold
71	mostly means being the most	nongold
72	the majority of is similar to largest	nongold
73	to be formed by is similar to being produced by	nongold
74	nitrogen fixation is when nitrogen becomes fixed by bacteria in the soil	nongold
75	an element is a kind of  substance	nongold
76	composed of means made of	nongold
77	carbon dioxide is more dense than air	nongold
78	atom cannot be divided into smaller substances	nongold
79	increase means more	nongold
80	the parts of something make up that something	nongold
81	to be made of something means to be formed of that something	nongold
82	low is the opposite of high	nongold
83	level is similar to amount; quantity	nongold
84	an element is made of one kind of atoms	nongold
85	the waste of an animal contains nitrogen	nongold
86	the air is a kind of mixture	nongold
87	Earth's atmosphere has different layers	nongold
88	to cause means to make	nongold
89	guanine is a kind of nitrogenous base in DNA; RNA	nongold
90	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
91	a source of something emits; produces; generates; provides that something	nongold
92	to exhale means to release	nongold
93	low is similar to decrease	nongold
94	releasing something into the atmosphere increases the amount of that something in the atmosphere	nongold
95	the  chemical symbol for oxygen is O	nongold
96	water is made of hydrogen and oxygen	nongold
97	the melting point of oxygen is -361.8F; -218.8C; 54.4K	nongold
98	a type is synonymous with a kind	nongold
99	can be means able to be	nongold
