Question	Dust and ash entering the atmosphere as a result of volcanic eruptions can affect Earth's	question
Answer	weather and climate	answer
0	a volcanic eruption is a kind of change	nongold
1	to impact means to affect	nongold
2	climate is the usual kind of weather in a location over a period of time	gold
3	a climate is synonymous with an environment	nongold
4	impact means effect	nongold
5	smoke is similar to dust; ash	nongold
6	affected means changed	nongold
7	weather is a property of a environment	nongold
8	a volcano is a source of magma; lava	nongold
9	causing is a kind of affecting	nongold
10	temperature is a property of weather	nongold
11	a volcano is a kind of geological event	nongold
12	an erupting volcano releases sulfur gas and ash into the atmosphere	gold
13	a volcano is a kind of landform	nongold
14	to cause means to result in	nongold
15	change is a kind of impact	nongold
16	influence means effect	nongold
17	Earth is a kind of planet	nongold
18	to change means to have an effect	nongold
19	to cause means to have an effect	nongold
20	influence means impact	nongold
21	planets have climate	nongold
22	an increase is a kind of change	nongold
23	if something affects a part of something else then that something affects that something else	nongold
24	to change means to cause a change	nongold
25	atmosphere means  air	nongold
26	a volcanic eruption is a kind of quick process	nongold
27	a decrease is a kind of change	nongold
28	a cloud is a kind of weather	nongold
29	atmospheric means of the atmosphere	nongold
30	weather is  a measure of the condition of the air in a place at a certain time	nongold
31	dust is a kind of material	nongold
32	a factor impacts something	nongold
33	to be a source of something means to cause that something	nongold
34	volcanic eruptions early on Earth maybe caused a large proportion of the matter in hydrosphere	nongold
35	weather  usually happens in troposphere	nongold
36	an event is a kind of action	nongold
37	a volcano changes the environment around it by covering the environment in ash	nongold
38	a change is a kind of event	nongold
39	precipitation is a kind of weather	nongold
40	causing means influencing	nongold
41	precipitation is a property of weather	nongold
42	weathering is a kind of process	nongold
43	weather is a source of wind and water for the weathering process	nongold
44	volcanic ash in the atmosphere decreases the temperature by blocking the sun	nongold
45	the movement of tectonic plates causes volcanic eruptions	nongold
46	events occur at a specific place; at a specific time; with a specific frequency	nongold
47	action can cause change	nongold
48	storm is a kind of weather; weather event	nongold
49	to act on means to affect	nongold
50	to pass into means to enter	nongold
51	the atmosphere contains gases; liquids; solids	nongold
52	smoke from volcanic eruptions can disrupt sunlight from reaching Earth's surface	nongold
53	high is similar to increase	nongold
54	to cause something means to contribute to that something happening	nongold
55	a motion is a kind of event; action	nongold
56	to happen means to occur	nongold
57	An example of a change in climate is  the average amount of annual precipitation decreases	nongold
58	a process is a kind of event	nongold
59	an increase is the opposite of a decrease	nongold
60	air is a kind of gas	nongold
61	average amount of precipitation is a property of climate	nongold
62	the effects of something is a property of that something	nongold
63	to be formed by is to be the result of	nongold
64	volcanoes are most common along tectonic plate boundaries	nongold
65	reducing is a kind of change	nongold
66	a source of something emits; produces; generates; provides that something	nongold
67	can be means able to be	nongold
68	a weather report describes weather	nongold
69	air temperature is a kind of temperature	nongold
70	worldwide temperature means atmospheric temperature	nongold
71	gas is a kind of substance	nongold
72	extreme means very high in value	nongold
73	a result of something is evidence of that something	nongold
74	a cloud of dust and gas is a kind of feature	nongold
75	atmospheric disturbance is a kind of weather pattern	nongold
76	change is a kind of process	nongold
77	adding something is a kind of change	nongold
78	if something used to be in the past then that something  has changed	nongold
79	having an impact on something means altering that something	nongold
80	something that happens is a kind of event	nongold
81	Earth has air	nongold
82	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
83	water vapor has an impact on weather conditions associated with an air mass	nongold
84	air is a part of the environment	nongold
85	if something releases something else then that something is the source of that something else	nongold
86	cloudy is a kind of  weather	nongold
87	human activity changed the composition of the atmosphere over the last hundreds of years	nongold
88	if something is made by something else then that something is affected by that something else	nongold
89	sky conditions are a property of weather	nongold
90	to produce means to result in	nongold
91	a hemisphere is a part of Earth	nongold
92	a source of something increases the amount of that something	nongold
93	lava is a kind of matter	nongold
94	harming something has a  negative impact on; effect on that something	nongold
95	a cloud is a kind of object	nongold
96	the atmosphere is a kind of area	nongold
97	chemical weathering is a kind of weathering	nongold
98	weathering occurs at the surface of the Earth	nongold
99	magma is a kind of hot rock	nongold
