Question	Janet learns that Earth is tilted. Due to its tilt, some areas on the surface of Earth experience darkness for an entire day. Which plant process is affected most during this darkness?	question
Answer	photosynthesis	answer
0	darkness has a negative impact on photosynthesis	gold
1	a  plant requires sunlight for photosynthesis	gold
2	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
3	darkness occurs at night	nongold
4	a plant is a kind of living thing	nongold
5	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
6	a plant requires photosynthesis to grow; survive	nongold
7	to impact means to affect	gold
8	dark means a low amount of light	nongold
9	a plant is a kind of organism	nongold
10	affected means changed	nongold
11	photosynthesis is a kind of chemical  process	gold
12	photosynthesis stores; captures energy	nongold
13	a plant; living thing requires food for survival	nongold
14	plants are a source of oxygen through photosynthesis	nongold
15	due to means caused by	nongold
16	sunlight is a kind of light	gold
17	sunlight is a kind of solar energy	nongold
18	causing is a kind of affecting	nongold
19	the sunlight occurs during the day	nongold
20	photosynthesizing means performing photosynthesis	nongold
21	the photosynthetic life performs photosynthesis	nongold
22	dark is the opposite of light	gold
23	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
24	a source of something emits; produces; generates; provides that something	nongold
25	sunlight means solar energy	nongold
26	Earth's angle of tilt causes the length of day and night to vary	nongold
27	Earth is a kind of planet	nongold
28	vegetation means plants	nongold
29	impact means effect	nongold
30	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
31	an environment means an area	nongold
32	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
33	photosynthesis is a source of oxygen	nongold
34	an increase is the opposite of a decrease	nongold
35	to lower means to decrease	nongold
36	the day time is part of one day	nongold
37	to change means to have an effect	nongold
38	to cause means to have an effect	nongold
39	to act on means to affect	nongold
40	if something affects a part of something else then that something affects that something else	nongold
41	increase means more	nongold
42	high is similar to increase	nongold
43	if something is made by something else then that something is affected by that something else	nongold
44	the night time is part of one day	nongold
45	the sun is a source of radiation; heat called sunlight	nongold
46	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
47	a part of a process means a stage in a process	nongold
48	solar energy is a kind of heat energy	nongold
49	to be affected by something is similar to depending on something	nongold
50	a living thing is a kind of object	nongold
51	photosynthesis is a kind of chemical reaction	nongold
52	a process usually requires all of the stages in that process	nongold
53	green plants are a kind of producer	nongold
54	plant and animal matter means organic matter	nongold
55	an animal is a kind of living thing	nongold
56	all the time means at day and at night	nongold
57	cycles of day and night occur once per day	nongold
58	the sun is a source of light; light energy called sunlight	nongold
59	if something is required for a process then that something positively impacts that process	nongold
60	low is similar to decrease	nongold
61	if something is outside during the day then that something will receive sunlight	nongold
62	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
63	sunlight produces heat	nongold
64	change is a kind of impact	nongold
65	a process is a kind of event	nongold
66	if something causes a process then that something is required for that process	nongold
67	to reduce means to decrease	nongold
68	plants are a part of the environment	nongold
69	dead plants means dead plant material	nongold
70	a cycle is a kind of process	nongold
71	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	nongold
72	evaporation is a kind of process	nongold
73	solar energy is a kind of light	nongold
74	the tilt of Earth's axis causes certain latitudes of Earth to be heated at a greater rate	nongold
75	an increase is a kind of change	nongold
76	low means down	nongold
77	a human is a kind of animal	nongold
78	plant parts are made of plants	nongold
79	if something is a raw material in a process then that something is required for that process	nongold
80	a plants; living things require water for survival; to grow	nongold
81	a decrease is a kind of change	nongold
82	the leaves of a plant tilt in the direction of sunlight	nongold
83	area is similar to location	nongold
84	to add means to increase	nongold
85	a source of something increases the amount of that something	nongold
86	distorting is a kind of affecting	nongold
87	change is a kind of process	nongold
88	plants appearing on Earth is a kind of event	nongold
89	to slow; to slow down decreases speed	nongold
90	events occur at a specific place; at a specific time; with a specific frequency	nongold
91	night is low in light; in visibility	nongold
92	variable means able to change	nongold
93	an animal is a kind of organism	nongold
94	most means over 50% of something	nongold
95	greatest means largest; highest; most amount of something	nongold
96	harming something has a  negative impact on; effect on that something	nongold
97	answering questions requires information	nongold
98	the sun rising and setting causes cycles of day and night	nongold
99	less is similar to decrease	nongold
