Question	Which is an example of a physical change?	question
Answer	ice melting	answer
0	melting is a kind of phase change	gold
1	a phase change is a kind of physical change	gold
2	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
3	freezing is a kind of phase change	nongold
4	snow is a kind of ice	nongold
5	ice is a kind of solid	nongold
6	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
7	ice is cold in temperature	nongold
8	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
9	if something undergoes a physical change then the physical properties of that something will change	nongold
10	freezing causes a solid to form	nongold
11	freezing means cold temperatures	nongold
12	temperature is a measure of heat energy	nongold
13	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
14	An example of a physical change is breaking an object	nongold
15	snow is a kind of precipitation	nongold
16	frozen means solid	nongold
17	melting is a kind of process	nongold
18	a kind of something is an example of that something	nongold
19	solid is a kind of state of matter	gold
20	an increase is a kind of change	nongold
21	ice is colder than water in temperature	nongold
22	physical state means state of matter	nongold
23	ice crystals means  ice	nongold
24	state of matter means physical state	nongold
25	liquid is a kind of state of matter	gold
26	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
27	melting is when solids are heated above their melting point	nongold
28	change is a kind of process	nongold
29	a change is a kind of event	nongold
30	thawing is similar to melting	nongold
31	a glacier is a kind of body of water	nongold
32	ice is a kind of object	nongold
33	temperature changing can cause phase changes	nongold
34	if a substance is mixed with another substance then those substances will undergo physical change	nongold
35	a physical reaction is a kind of process	nongold
36	cycles of freezing and thawing water cause ice wedging	nongold
37	a decrease is a kind of change	nongold
38	to change means to cause a change	nongold
39	boiling is a kind of phase change	nongold
40	snow is cold	nongold
41	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
42	to add means to increase	nongold
43	water is a kind of liquid at room temperature	gold
44	forming something is a kind of change	nongold
45	evaporating is a kind of phase change	nongold
46	ice wedging is a kind of mechanical weathering	nongold
47	a solid is a kind of substance	nongold
48	phase means state	nongold
49	answering questions requires information	nongold
50	colder; cooler means lower in temperature	nongold
51	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
52	if the component of something changed , then the whole thing will change	nongold
53	state of matter at room temperature is a kind of physical property	nongold
54	water is a kind of matter	nongold
55	reducing is a kind of change	nongold
56	an event is a kind of action	nongold
57	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
58	change is a kind of impact	nongold
59	a process is a kind of event	nongold
60	adding something is a kind of change	nongold
61	ice is a kind of water phase	nongold
62	chemical change is the opposite of physical change	nongold
63	state of matter is a kind of physical property	nongold
64	to turn means to change	nongold
65	heating means adding heat	nongold
66	to lower means to decrease	nongold
67	increase means more	nongold
68	to change means to have an effect	nongold
69	changed is the opposite of unchanged	nongold
70	material means substance	nongold
71	ability to undergo a phase change is a property of a substance; material	nongold
72	variable means able to change	nongold
73	affected means changed	nongold
74	cold means low in temperature	nongold
75	unchanged means not changed	nongold
76	ice is a kind of food	nongold
77	state means form	nongold
78	something in a cold place becomes cold	nongold
79	something that happens is a kind of event	nongold
80	an adaptation is a kind of change	nongold
81	heat means heat energy	nongold
82	if something undergoes physical change then the chemical properties of that something will remain unchanged	nongold
83	a glacier is made of a large buildup of ice; snow	nongold
84	cooler means colder	nongold
85	high is similar to increase	nongold
86	mass has no impact on boiling; melting; freezing point	nongold
87	to convert means to change	nongold
88	to give off means to be the source of	nongold
89	becoming is similar to changing	nongold
90	water is a kind of polar substance	nongold
91	a motion is a kind of event; action	nongold
92	a component of something means a part of that something	nongold
93	to modify means to change	nongold
94	cooling is a kind of process	nongold
95	a component means a part of	nongold
96	transfer is a kind of change	nongold
97	heat means temperature increases	nongold
98	a liquid is a kind of substance	nongold
99	melting point means temperature at which a solid melts; above which a solid melts	nongold
