Question	Compared to the amount of hereditary information in a human body cell, how much hereditary information is contained in a human sex cell?	question
Answer	one-half the amount	answer
0	genetic; hereditary means of genes; heredity	nongold
1	one in  two means half; 50%	nongold
2	to be found in means to be contained in	nongold
3	inherited characteristics are a kind of hereditary information	nongold
4	a human cell is a kind of cell	nongold
5	if something is a part of something else then that something else contains that something	nongold
6	if something absorbs something else then that something will contain that something else	nongold
7	to contain something means to have that something	nongold
8	if something is a source of something else then that something usually contains that something else	nongold
9	a gene is a kind of unit of hereditary information	nongold
10	containing something is similar to providing that something	nongold
11	trait is a kind of genetic information	nongold
12	data means information	nongold
13	a human is a kind of animal	nongold
14	a body cell means a somatic cell	nongold
15	a sex cell of a human contains 23 chromosomes	gold
16	made up of means contains; made of	nongold
17	including means containing	nongold
18	human is a kind of organism	nongold
19	if something is made of something; a material then that something contains that something; that material	nongold
20	to contain means to have inside	nongold
21	if something contains something , then something is able to provide something	nongold
22	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
23	if something does not contain something else then that something lacks that something else	nongold
24	a sperm cell is a kind of  sex cell	nongold
25	an animal cell is a kind of cell	nongold
26	offspring receives half of the genes from each parent	nongold
27	genes contains genetic information	nongold
28	less is similar to decrease	nongold
29	genetic information is encoded in genetic code	nongold
30	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
31	little is similar to decrease	nongold
32	cells are a part of the body	nongold
33	gamete means sex cell	nongold
34	answering questions requires information	nongold
35	a lot means large in amount; quantity	nongold
36	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
37	increase means more	nongold
38	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
39	reproduction is when an organism passes genetic information from itself to its offspring	nongold
40	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
41	sexual reproduction is a kind of reproduction	nongold
42	asexual reproduction is when a single parent passes inherited traits to offspring	nongold
43	a human sperm cell has 23; twenty-three chromosomes	nongold
44	inherited characteristics can change over several generations	nongold
45	an animal is a kind of organism	nongold
46	a cell nucleus is a part of a cell	nongold
47	a human is a kind of mammal	nongold
48	an animal is a kind of living thing	nongold
49	the nucleus contains genetic material for reproduction	nongold
50	the body is a part of an organism	nongold
51	information in an organism's chromosomes cause genetic traits to be passed down to that organism's offspring	nongold
52	an increase is a kind of change	nongold
53	to be filled with means to contain	nongold
54	the reproductive system is a kind of body system	nongold
55	an increase is the opposite of a decrease	nongold
56	trait is synonymous with characteristic	nongold
57	amount is similar to number	nongold
58	high is similar to increase	nongold
59	the parent cell is the original cell	nongold
60	trait means property	nongold
61	meiosis produces four haploid sex cells from a diploid parent cell	nongold
62	animals are a part of the biological kingdom Animalia	nongold
63	genetic information can be used for making proteins	nongold
64	little means low in amount	nongold
65	a cell is very small	nongold
66	heredity is when genetic information is passed from one generation to the next	nongold
67	genetic variation is similar to trait variation	nongold
68	the number of body parts of an organism is an inherited characteristic	nongold
69	quantity means amount	nongold
70	a source of something emits; produces; generates; provides that something	nongold
71	most means over 50% of something	nongold
72	information is used to describe something	nongold
73	an organism is a living thing	nongold
74	comparing requires measuring	nongold
75	one is a kind of number	nongold
76	an asexually produced offspring is genetically identical to its parent	nongold
77	low is similar to decrease	nongold
78	reproductive behavior is an inherited characteristic	nongold
79	sexual reproduction increases genetic diversity	nongold
80	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
81	animals reproduce sexually	nongold
82	a mutation in the sex cells of a parent can cause a new trait to appear in the parent's offspring	nongold
83	sexual reproduction in animals is when egg; sperm join together	nongold
84	contain is similar to store	nongold
85	an egg cell is a kind of sex cell	nongold
86	a property is a kind of information	nongold
87	a body system is a part of the body; an animal	nongold
88	sexual reproduction is a source of genetic variation; naturally occurring variation in offspring; in a species	nongold
89	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
90	genes is a vehicle for passing genetic information from one generation to  the next	nongold
91	human is similar to individual	nongold
92	a father is a kind of male parent	nongold
93	genetic information can be used for repairing damage by proteins	nongold
94	containing something is similar to holding something	nongold
95	genetic segregation is when each sex cell receives one copy of each chromosome	nongold
96	contains means located in	nongold
97	a decrease is a kind of change	nongold
98	a source of something increases the amount of that something	nongold
99	an inherited characteristic is a kind of characteristic	nongold
