Question	Amanda is learning about different adaptations of animals. Which is an example of a behavioral adaptation?	question
Answer	migration of songbirds	answer
0	migration is a kind of adaptation	gold
1	migration is a kind of behavior	nongold
2	An example of an adaptation is moving fast	nongold
3	an adaptation is a kind of characteristic	nongold
4	an adaptation is an adaptive feature	nongold
5	Behavioral adaptation is a behavioral change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
6	an adaptation is a kind of change	nongold
7	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
8	a kind of something is an example of that something	gold
9	migration is when animals move to different locations in an annual cycle	nongold
10	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
11	a bird is a kind of animal	nongold
12	a bird is a kind of living thing	nongold
13	adaptation is when an organism develops a trait over time for survival	nongold
14	An example of migration is birds flying south in the winter	nongold
15	An example of an adaptation for flight in birds is feathers; wings; hollow bones	nongold
16	adaptations are used for survival	nongold
17	a behavior is a kind of characteristic	nongold
18	a hummingbird is a kind of animal	nongold
19	adapt is similar to evolve	nongold
20	an animal is a kind of living thing	nongold
21	a learned characteristic is a kind of acquired characteristic	nongold
22	an animal is a kind of organism	nongold
23	learning about something sometimes requires observing that something	nongold
24	learned behaviors are learned over the  lifetime of the animal	nongold
25	an organism is a living thing	nongold
26	migration is an instinctive behavior	gold
27	travel means to move	nongold
28	Physical adaptation; structural adaptation is a physical  change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
29	adapting is when a living thing responds to a change in an environment	nongold
30	an animal is a member of an animal species	nongold
31	to change means to become different	nongold
32	nest building is a kind of adaptation	nongold
33	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
34	a hummingbird is a kind of bird	nongold
35	motion; movement means moving; to move	nongold
36	adult birds usually fly	nongold
37	trait is synonymous with characteristic	nongold
38	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	gold
39	moving is similar to travelling	nongold
40	a living thing is a kind of object	nongold
41	motion is when moves an object; something to a direction	nongold
42	an amoeba is a kind of organism	nongold
43	if an animal is trained to do something then that something is a learned behavior	nongold
44	an increase is the opposite of a decrease	nongold
45	high is similar to increase	nongold
46	different is the opposite of the same	nongold
47	migration is when animals move themselves from a cooler climate to a warmer climate for the winter	nongold
48	reproductive behavior is an inherited characteristic	nongold
49	affected means changed	nongold
50	birds sometimes eat insects	nongold
51	life means living things	nongold
52	organisms mean life	nongold
53	to impact means to affect	nongold
54	An example of migration is moving to a warmer climate in the winter	nongold
55	movement is a kind of change	nongold
56	conditioned behavior is a kind of learned behavior	nongold
57	a motion is a kind of event; action	nongold
58	characteristic means property	nongold
59	A bird is a pollinating animal	nongold
60	an increase is a kind of change	nongold
61	locomotion is a generally learned behavior	nongold
62	actions mean behavior	nongold
63	a part of something means a characteristic of something	nongold
64	answering questions requires information	nongold
65	flying is a kind of locomotion	nongold
66	an inherited characteristic is a kind of characteristic	nongold
67	opposite is a kind of different	nongold
68	a process usually requires all of the stages in that process	nongold
69	a plant is a kind of organism	nongold
70	an animal requires energy to move	nongold
71	to be used for something means to be required by that something	nongold
72	species is an inherited characteristic	nongold
73	can be means able to be	nongold
74	an event is a kind of action	nongold
75	well-suited is similar to adapted	nongold
76	low is similar to decrease	nongold
77	an insect is a kind of animal	nongold
78	an animal; living thing requires nutrients for survival	nongold
79	some birds are predators	nongold
80	a source of something emits; produces; generates; provides that something	nongold
81	An example of an adaptation is camel humps	nongold
82	coloration is a kind of adaptation for hiding;camouflage	nongold
83	another means different	nongold
84	a reptile is a kind of animal	nongold
85	sound requires matter to travel	nongold
86	variable means able to change	nongold
87	if studying something is used to learn about something then that something is a source of information	nongold
88	An example of an adaptation is a  cactus spine	nongold
89	a part of a process means a stage in a process	nongold
90	floating on water is a kind of adaptation	nongold
91	trait means property	nongold
92	returning is a kind of movement	nongold
93	a process is a kind of event	nongold
94	determining is similar to learning	nongold
95	causing is a kind of affecting	nongold
96	impact means effect	nongold
97	animals learn some behaviors from watching their parents	nongold
98	storing water is a kind of adaptation	nongold
99	a mammal is a kind of animal	nongold
