Question	Which of the following devices relies on electromagnetic radiation in the radio wave region of the spectrum for operation?	question
Answer	cellular telephone	answer
0	a cellular telephone requires electromagnetic radiation in the radio wave region of the spectrum for operation	gold
1	to depend on; to rely on; to need means to require	gold
2	a telephone is a kind of electrical device for communication	gold
3	to be dependent on something means to depend on that something	nongold
4	a telephone is a kind of technology	nongold
5	to be used for something means to be required by that something	nongold
6	a telephone is used for communication by humans over long distances	nongold
7	radio wave is a kind of electromagnetic wave	nongold
8	radio signal is a kind of radio wave	nongold
9	a radio is a kind of electrical device	nongold
10	electromagnetic radiation means electromagnetic energy	nongold
11	a radio is used for communication	nongold
12	a range of a spectrum means a part of a spectrum	nongold
13	electromagnetic wave is a kind of  wave	nongold
14	telephones are used for communication by two people by transmitting sound	nongold
15	electromagnetic spectrum is bands; ranges of frequencies of light waves	nongold
16	visible light is a part of the electromagnetic spectrum	nongold
17	the cellular telephone was invented in 1973	nongold
18	radio transmitter emits radio waves	nongold
19	a telephone is a kind of tool	nongold
20	a machine is a kind of  device	nongold
21	radio station broadcasting is a source of radio waves	nongold
22	if something requires something else then that something requires a source of that something else	nongold
23	a device requires energy to operate	nongold
24	instrument means device	nongold
25	if something causes something else then that something else depends on that something	nongold
26	networks are used for transmitting signals by televisions; the Internet around the world	nongold
27	electromagnetic radiation is arranged in the electromagnetic spectrum by wavelength; frequency	nongold
28	answering questions requires information	nongold
29	emit means send out	nongold
30	the encoders in the telephone convert sound energy into electrical energy	nongold
31	the radio receives radio waves	nongold
32	electric devices require electrical energy to function	nongold
33	to provide something means to be the source of that something	nongold
34	electromagnetic radiation distorts the frequency of the radio waves	nongold
35	if something is required then that something must be provided	nongold
36	light is a kind of electromagnetic radiation	nongold
37	the function of something is what that something  is used to do	nongold
38	electrical signals are made of electrical energy	nongold
39	a device is a kind of object	nongold
40	device means tool	nongold
41	a source of something emits; produces; generates; provides that something	nongold
42	a radio contains a speaker	nongold
43	if something performs a task then that task is that something's function	nongold
44	wavelength is a property of wave	nongold
45	electromagnetic energy travels as electromagnetic waves	nongold
46	frequency is a property of a wave; a particel of light; an event	nongold
47	requiring something means needing that something	nongold
48	In a communication system a radio station tower has the role of transmitter	nongold
49	a wave is a kind of object	nongold
50	a radio converts electrical energy into vibrations; sound energy	nongold
51	to be required means to be necessary	nongold
52	something is used for that something's purpose	nongold
53	the range of visible light approximately is less than 10% in electromagnetic spectrum	nongold
54	a telephone contians an encoder	nongold
55	if something has a positive impact on something else then that something is important to that something else	nongold
56	if something requires something else then that something else is important to that something	nongold
57	a battery-operated device is a kind of electrical device	nongold
58	visible  light is the smallest range within the electromagnetic spectrum	nongold
59	emit means produce	nongold
60	electromagnetic waves can be  used to transmit information  through space	nongold
61	infrared wave is a kind of  electromagnetic wave	nongold
62	a radio is a kind of tool	nongold
63	electrical devices are used for industrial purposes; household purposes by humans	nongold
64	electromagnetic energy is a kind of energy	nongold
65	a complete electrical circuit is a source of  electrical energy	nongold
66	microwave is a kind of electromagnetic wave	nongold
67	being used for is similar to providing	nongold
68	all waves transfer; transmit energy from one place to another	nongold
69	ionizing radiation is a kind of electromagnetic wave	nongold
70	if something is powered by something else then that something requires a source of that something else	nongold
71	to help; to benefit means to be of use	nongold
72	if something is a raw material in a process then that something is required for that process	nongold
73	radiation is when electromagnetic waves transfers heat and light energy	nongold
74	if something transfers something else then that something is a source of something else	nongold
75	if something is a raw material then that something comes directly from a source	nongold
76	if something causes a process then that something is required for that process	nongold
77	radio waves spread in all directions	nongold
78	to transmit means to carry to another place	nongold
79	microwave is a part of the electromagnetic spectrum	nongold
80	to serve as means to be used as	nongold
81	to produce means to provide	nongold
82	the amount of something is similar to the availability of something	nongold
83	if something comes from something else then that something else is a source of that something	nongold
84	events occur at a specific place; at a specific time; with a specific frequency	nongold
85	something that is used for communication increases communication	nongold
86	a portable radio is a kind of radio	nongold
87	high frequency means above 8000 hertz in  frequency	nongold
88	a nonrenewable resource is limited in supply	nongold
89	electrical energy is a kind of energy	nongold
90	disrupting something from reaching something else decreases the availability of that something	nongold
91	a region is a kind of location	nongold
92	radiation is a kind of process	nongold
93	an object; material; substance comes from that object or material's source	nongold
94	requiring is similar to needing help	nongold
95	to power means to provide energy for	nongold
96	light is a kind of wave	nongold
97	an event is a kind of action	nongold
98	to send means to transfer	nongold
99	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
