Question	Two seismographs are placed 500 km from an active fault line, one on each side of the active fault line. During an earthquake, what most likely accounts for the different readings on the seismographs?	question
Answer	the different media through which the waves travel	answer
0	a seismograph is used to measure the earthquake waves	gold
1	a seismograph is used for measuring the size of an earthquake	nongold
2	a seismograph is a kind of tool for measuring the size of an earthquake	nongold
3	if a seismograph has different readings , then the wave it measured travel differently	gold
4	a seismometer is used to measure the strength or magnitude of an earthquake	nongold
5	media; medium means the material something travel through	nongold
6	waves travel differently in different media	gold
7	waves can travel through matter	nongold
8	an earthquake wave is a kind of wave	nongold
9	an earthquake usually occurs over a period of 10 to 30 seconds	nongold
10	earthquake causes seismic waves	nongold
11	earthquake  is a kind of vibration  of the ground	nongold
12	distance moved; distance travelled is a measure of how far an object moves	nongold
13	measuring requires reading a measurement	nongold
14	An example of waves traveling through different media is hearing people talking on the other side of a wall	nongold
15	answering questions requires information	nongold
16	to change means to become different	nongold
17	a wave is a kind of object	nongold
18	transmitance is when a wave goes through; transmits through a surface and travels in the  same direction relative to the angle of incidence	nongold
19	travel means to move	nongold
20	waves travel outward from the source	nongold
21	an earthquake is a kind of natural; geological event	nongold
22	often is similar to likely	nongold
23	two objects are usually different in size	nongold
24	earthquakes are most common along tectonic plate boundaries	nongold
25	different is the opposite of the same	nongold
26	all waves transfer; transmit energy from one place to another	nongold
27	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
28	meters;centimeters;kilometers are used to describe distance; describe length	nongold
29	events occur at a specific place; at a specific time; with a specific frequency	nongold
30	a tectonic plate moves along a fault line	gold
31	a vibration is similar to a wave	nongold
32	the refraction of seismic wave can be  used to interpret  the interior of structure of earth	nongold
33	opposite is a kind of different	nongold
34	if something moves then that something is in a different location	nongold
35	another means different	nongold
36	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
37	both means two	nongold
38	a measurement is a kind of data	nongold
39	reading  requires seeing	nongold
40	placement means a place  in an order	nongold
41	waves are made of moving water	nongold
42	a motion is a kind of event; action	nongold
43	a wave is formed by the vibration of the source spreading around from the source	nongold
44	as the wavelength; frequency of a wave changes , the speed of the wave in the same medium will usually stay the same	nongold
45	motion is when moves an object; something to a direction	nongold
46	speed is  a measure of how fast the wave passes the medium	nongold
47	transport means to move; to make travel	nongold
48	different materials usually have different properties	nongold
49	moving is similar to travelling	nongold
50	an earthquake changes Earth's surface quickly	nongold
51	furthest; farthest means greatest; most; highest in distance	nongold
52	located means situated	nongold
53	a device is a kind of object	nongold
54	an instrument is a piece of equipment	nongold
55	instrument means device	nongold
56	sound travels as longitudinal waves	nongold
57	emit means send out	nongold
58	to pass means to travel	nongold
59	instrument means tool	nongold
60	motion; movement means moving; to move	nongold
61	the type of material through which sound passes changes the speed  at which sound travels	nongold
62	affected means changed	nongold
63	identical is the opposite of different	nongold
64	place is synonymous with location	nongold
65	frequency is a property of a wave; a particel of light; an event	nongold
66	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
67	can be means able to be	nongold
68	length is a measure of distance from one end of an object to the other end of that object	nongold
69	a rock is a kind of object	nongold
70	variable means able to change	nongold
71	the ability to refract is a property of waves	nongold
72	a landform is a kind of object	nongold
73	high is similar to increase	nongold
74	grouping means putting; placing in different groups	nongold
75	stay the same means not changing	nongold
76	extreme means very high in value	nongold
77	reading is a kind of activity	nongold
78	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
79	measuring is used for describing an object	nongold
80	accounting for means making up some amount	nongold
81	place; location is synonymous with position	nongold
82	light waves travel as transverse waves	nongold
83	objects are made of materials; substances; matter	nongold
84	to be used for something means to be required by that something	nongold
85	as the distance from the wave source increases ,  the frequency of the waves will decrease	nongold
86	vibration is a kind of motion	nongold
87	to pass through means to move through	nongold
88	a surface is a part of an object	nongold
89	a source of something emits; produces; generates; provides that something	nongold
90	an object; material; substance comes from that object or material's source	nongold
91	an earthquake causes the ground to shake	nongold
92	recording is similar to measuring	nongold
93	setting is a kind of motion	nongold
94	if two things perform the same function then those two things are similar	nongold
95	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
96	far means great in distance	nongold
97	electromagnetic energy travels as electromagnetic waves	nongold
98	measuring sometimes requires  recording; learning an amount	nongold
99	a machine is a kind of  device	nongold
