Question	The chemical formula for water is H_{2}O. What does the formula show about each element in the compound?	question
Answer	the number of atoms of each element	answer
0	the number in chemical formula shows the number of atoms of each element in a molecule	gold
1	an atom is the smallest particle; unit that has the properties of an element	nongold
2	an element is made of one kind of atoms	nongold
3	an  element is a kind of atom	nongold
4	H2O means water	nongold
5	propane;C_{3}H_{8} is a kind of gas at room temperature	nongold
6	water is a kind of compound	gold
7	O2 means oxygen	nongold
8	atomic number is a property of elements	nongold
9	water is made of hydrogen and oxygen	nongold
10	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	gold
11	how many means what number	nongold
12	matter; materials; substances are made of atoms; particles	nongold
13	a compound can be chemically separated into the elements that it is made of	nongold
14	chemical reactions do not cause the total number of atoms to change	nongold
15	the basic unit of matter is atom	nongold
16	compound is a kind of chemical	nongold
17	oxygen  is a kind of element	nongold
18	an element is identified by its number of protons	nongold
19	the number of parts of something is a property of that something	nongold
20	atomic number means proton number	nongold
21	four is a kind of number	nongold
22	atoms are made of particles	nongold
23	water is a kind of matter	nongold
24	hydrogen is a kind of element	nongold
25	amount is similar to number	nongold
26	one is a kind of number	nongold
27	all elements are a kind of pure substance	nongold
28	a chemical compound is a kind of compound	nongold
29	carbon is a kind of element	nongold
30	a compound is made of two or more elements that have been chemically combined	nongold
31	a compound is a kind of substance	gold
32	atom cannot be divided into smaller substances	nongold
33	substances are made of elements	nongold
34	water is a kind of substance	nongold
35	an atom is a kind of object	nongold
36	if a substance is made of one element , then the substance is called an element	nongold
37	chemical compounds contain chemical bonds between atoms; between elements	nongold
38	an atom is made of protons; neutrons; electrons	nongold
39	an element is a kind of  substance	nongold
40	O is the chemical symbol for oxygen	nongold
41	nitrogen is a kind of element	nongold
42	a pure substance is made of only one kind of atom; molecule	nongold
43	when two substances together form a compound then those substances cannot be physically separated	nongold
44	the  chemical symbol for oxygen is O	nongold
45	a molecule is the smallest particle; unit that has the properties of a compound	nongold
46	An example of a chemical property is the elements a compound is made of	nongold
47	a compound is a kind of material	nongold
48	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
49	water is a kind of object	nongold
50	N means nitrogen	nongold
51	water is a kind of liquid at room temperature	nongold
52	water contains dissolved oxygen	nongold
53	many means high in number	nongold
54	if the outermost electron shell of an atom is full; complete , then the  element of those atoms will not react with other elements easily	nongold
55	the structure  of an atom can be used for identifying the element	nongold
56	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
57	chlorine is a kind of element	nongold
58	a carbohydrate is a kind of compound	nongold
59	a nonmetal is a kind of element	nongold
60	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
61	approximately means about	nongold
62	CO2 is a kind of chemical formula	nongold
63	a molecule is made of atoms chemically combined; bonded	nongold
64	substances are made of matter	nongold
65	electron configuration is a property of elements	nongold
66	to show means to display	nongold
67	combining; mixing two substances chemically causes chemical reactions	nongold
68	an element is a kind of material	nongold
69	the atomic number of elements increases by 1 from left to right on a row on the periodic table	nongold
70	hydrogen contains chemical energy	nongold
71	to show means to present	nongold
72	interatomic means existing or acting between atoms	nongold
73	answering questions requires information	nongold
74	to be made of something means to be formed of that something	nongold
75	state means form	nongold
76	heat means heat energy	nongold
77	an alkaline earth metal is a kind of element	nongold
78	nonmetal means nonmetals	nongold
79	an atom is exceptionally small in size	nongold
80	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
81	chemical reactions cause new substances; different substances to form	nongold
82	a metal is a kind of element	nongold
83	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
84	fewer means lower; less in number	nongold
85	a source of something emits; produces; generates; provides that something	nongold
86	water is a kind of polar substance	nongold
87	water exists in three states on Earth	nongold
88	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
89	composed of means made of	nongold
90	can be means able to be	nongold
91	ammonia is made of nitrogen and hydrogen	nongold
92	a proton is a part of an atom; an element	nongold
93	made up of means contains; made of	nongold
94	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
95	same means identical; equal in value; amount; number; quantity	nongold
96	liquid is a kind of state of matter	nongold
97	all the other means the rest of	nongold
98	material means substance	nongold
99	particles in objects are a kind of matter	nongold
