Question	A student climbs up a rocky mountain trail in Maine. She sees many small pieces of rock on the path. Which action most likely made the small pieces of rock?	question
Answer	ice breaking large rocks apart	answer
0	to break down means to break into smaller pieces	nongold
1	break apart means break down	nongold
2	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	gold
3	ice is a kind of object	nongold
4	breaking apart rocks can cause debris	nongold
5	cracking something may cause that something  to break apart	gold
6	ice is a kind of solid	nongold
7	a piece of something is a kind of object	nongold
8	a mountain is made of rocks; soil	nongold
9	a rock is a kind of object	nongold
10	icy means made of ice	nongold
11	a motion is a kind of event; action	nongold
12	a piece of an object is smaller in size than the whole object	nongold
13	a boulder is a kind of large rock	nongold
14	rock means stone	nongold
15	if an object is made of something then the parts of that object are made of that something	nongold
16	an event is a kind of action	nongold
17	an object is made of its parts	nongold
18	to be made of something means to be formed of that something	nongold
19	ice wedging is when ice causes rocks to crack by expanding in openings	gold
20	objects are made of materials; substances; matter	nongold
21	a student is a kind of human	nongold
22	to cause means to make	gold
23	to make means to form	nongold
24	a climber is a kind of human	nongold
25	a boulder is a kind of rock	nongold
26	if two objects move apart from each other then those two objects separate from each other	nongold
27	ice wedging is a kind of mechanical weathering	gold
28	break down means change from a whole into pieces	nongold
29	separating is similar to breaking	nongold
30	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
31	apart means away	nongold
32	a mountain is a kind of landform	nongold
33	action means activity	nongold
34	make means produce	nongold
35	small is the opposite of large	nongold
36	boulders; sand; gravel are formed by glaciers melting sometimes	nongold
37	take apart means break down	nongold
38	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
39	if an object breaks off of another object then that object is formed from the same materials as that other object	nongold
40	composed of means made of	nongold
41	mechanical weathering is when rocks are broken down by mechanical means	nongold
42	apart is the opposite of together	nongold
43	a living thing is a kind of object	nongold
44	forming is a kind of action	nongold
45	freezing causes a solid to form	nongold
46	if an object is made of a material then that object has the properties of that material	nongold
47	a mountain top is a part of a mountain	nongold
48	creating means making	nongold
49	if two things are made from the same objects; material then those two things are similar	nongold
50	summit means the top of the mountain	nongold
51	to create means to make	nongold
52	sometimes piles of rock are formed by  melting glaciers depositing rocks	nongold
53	ice is cold in temperature	nongold
54	seeing small things is difficult	nongold
55	an part of an object is smaller than the entire object	nongold
56	a human is a kind of animal	nongold
57	a rock is usually a solid	nongold
58	action can cause change	nongold
59	revolving is a kind of action	nongold
60	materials are made of matter	nongold
61	a glacier causes mechanical weathering	nongold
62	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
63	made up of means contains; made of	nongold
64	break down is the opposite of put together	nongold
65	freezing means cold temperatures	nongold
66	to see means to look	nongold
67	a piece is a part of a whole	nongold
68	a pebble is a kind of small rock	nongold
69	ice is colder than water in temperature	nongold
70	to cause an event means to make that event more likely	nongold
71	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
72	snow is a kind of ice	nongold
73	a glacier is made of ice	nongold
74	separate is similar to break down	nongold
75	if two objects are apart from each other then matter is between those two objects	nongold
76	motion; movement means moving; to move	nongold
77	largest means greatest in size	nongold
78	rock is a kind of material	nongold
79	to be made of means to consist of	nongold
80	furthest; farthest means greatest; most; highest in distance	nongold
81	substances are made of matter	nongold
82	actions mean behavior	nongold
83	often is similar to likely	nongold
84	an animal is a kind of living thing	nongold
85	Earth has a rocky terrain in some places	nongold
86	a mountain is high in altitude	nongold
87	a glacier is made of a large buildup of ice; snow	nongold
88	becoming is a kind of action	nongold
89	substances are made of elements	nongold
90	breaking down is a kind of forming	nongold
91	water is a kind of matter	nongold
92	Mars contains ice	nongold
93	many means high in number	nongold
94	water is a kind of object	nongold
95	ice is a kind of food	nongold
96	An example of a physical change is breaking an object	nongold
97	a source of something emits; produces; generates; provides that something	nongold
98	cycles of freezing and thawing water cause ice wedging	gold
99	a landform is a kind of object	nongold
