Question	What is the most common element found in the compounds that make up ocean water?	question
Answer	oxygen	answer
0	the compounds that make up ocean water are made of mostly oxygen	nongold
1	to be found in means to be contained in	nongold
2	made up of means contains; made of	nongold
3	if something is a part of something then that something can be found in that something	nongold
4	water is made of hydrogen and oxygen	gold
5	oceans contains most of  earth's water	nongold
6	oxygen  is a kind of element	gold
7	found in means existing in	nongold
8	water is a kind of compound	gold
9	a body of water contains water	nongold
10	made of is similar to contains	nongold
11	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
12	water is a kind of substance	nongold
13	most means over 50% of something	nongold
14	an ocean is a kind of body of water	gold
15	to be made of something means to be formed of that something	nongold
16	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
17	substances are made of elements	nongold
18	a compound can be chemically separated into the elements that it is made of	nongold
19	composed of means made of	nongold
20	if a substance is made of one element , then the substance is called an element	nongold
21	hydrogen is a kind of element	nongold
22	sea means ocean	nongold
23	water contains dissolved oxygen	nongold
24	An example of a chemical property is the elements a compound is made of	nongold
25	the ocean contains large amounts of salt water	nongold
26	something that contains water is similar to a body of water	nongold
27	all elements are a kind of pure substance	nongold
28	a compound is a kind of substance	nongold
29	an element is a kind of  substance	nongold
30	water is a kind of liquid at room temperature	nongold
31	oceans are the source of most of water vapor in the atmosphere	nongold
32	a body of water is a source of water	nongold
33	if something is a part of something else then that something else contains that something	nongold
34	the formation of organic rocks is usually found in ocean	nongold
35	composition means the (materials, substances) of which something is composed	nongold
36	if something is a source of something else then that something usually contains that something else	nongold
37	compound is a kind of chemical	nongold
38	if something is made of something; a material then that something contains that something; that material	nongold
39	chemical composition is a kind of property	nongold
40	a liquid is a kind of substance	nongold
41	contains means located in	nongold
42	nitrogen is a kind of element	nongold
43	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
44	to be made of means to consist of	nongold
45	a chemical compound is a kind of compound	nongold
46	a body of water is a kind of environment	nongold
47	oxygen is a part of many organic molecules	nongold
48	if something requires something else then that something else may be common in that something	nongold
49	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
50	the Earth's atmosphere is made of 78 percent nitrogen by mass	nongold
51	if something is dissolved , then that something is the solute	nongold
52	composition is a property of an object; matter	nongold
53	if something absorbs something else then that something will contain that something else	nongold
54	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
55	oxygen rich means a high amount of oxygen	nongold
56	oxygen is a kind of gas at room temperature	nongold
57	the parts of something make up that something	nongold
58	a compound is made of two or more elements that have been chemically combined	nongold
59	a nonmetal is a kind of element	nongold
60	substances have chemical properties	nongold
61	salt water is made of salt and water	nongold
62	organic compounds contain hydrogen	nongold
63	a pure substance is made of only one kind of atom; molecule	nongold
64	hydrochloric acid is made of hydrogen chloride dissolved in water	nongold
65	oceans cover 70% of the surface of the earth	nongold
66	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
67	carbon is a kind of element	nongold
68	Atlantic Ocean is a kind of ocean	nongold
69	an  element is a kind of atom	nongold
70	water is a kind of matter	nongold
71	an element is made of one kind of atoms	nongold
72	if something is made of something else then that something can be broken down into that something else	nongold
73	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
74	chemical compounds contain chemical bonds between atoms; between elements	nongold
75	usually means most of the time	nongold
76	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
77	chemicals means substances	nongold
78	oceans are located on Earth	nongold
79	elements in alkaline earth metals family reacts with water actively	nongold
80	mostly means being the most	nongold
81	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
82	water exists in three states on Earth	nongold
83	organisms are made of organic compounds	nongold
84	water vapor is found in the atmosphere	nongold
85	an atom is the smallest particle; unit that has the properties of an element	nongold
86	chlorine is a kind of element	nongold
87	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
88	classifying is when one sorts something by kind; type	nongold
89	classifying means grouping objects; materials by their properties	nongold
90	nonmetal means nonmetals	nongold
91	Earth contains water; ice; (steam, water vapor)	nongold
92	a solid is a kind of substance	nongold
93	the Arctic Ocean is a kind of ocean	nongold
94	the melting point of oxygen is -361.8F; -218.8C; 54.4K	nongold
95	the chemistry of something is similar to what that something is made of	nongold
96	a  chemical property is a kind of  property	nongold
97	a halogen is a kind of element	nongold
98	in common is similar to the same	nongold
99	make means produce	nongold
