Question	Which two body systems work together to transport oxygen to the cells?	question
Answer	respiratory and circulatory	answer
0	the circulatory system is a kind of human; organ; body system	gold
1	the respiratory system transfers oxygen to the circulatory system	gold
2	the circulatory system brings oxygen from the lungs to the rest of the body	nongold
3	the circulatory system absorbs; carries food; substances; oxygen from the digestive and respiratory systems to the rest of the body	nongold
4	the respiratory system is a kind of human; organ; body system	gold
5	the lungs are a part of the respiratory system	nongold
6	capillaries  are a part of the circulatory system	nongold
7	organ system means body system	nongold
8	circulation the circulatory system transports blood throughout the body	nongold
9	a body system is a part of the body; an animal	nongold
10	an organ system is made of different parts of the body working together	nongold
11	the lungs are a part of the body of an animal used for breathing air	nongold
12	blood is a vehicle for carrying oxygen from the lungs to the cells; rest of the body	nongold
13	the heart is a part of the circulatory system	nongold
14	blood is a part of the circulatory system	nongold
15	an animal cell is a kind of cell	nongold
16	an animal; bacterium requires oxygen for survival; to breathe	nongold
17	the respiratory system takes in oxygen from the air	nongold
18	the circulatory system absorbs; carries food; substances from the digestive system to the rest of the body	nongold
19	a body system is a kind of object	nongold
20	breathing  is when a lung converts from oxygen in air into oxygen in blood	nongold
21	atmosphere means  air	nongold
22	bringing oxygen to the body is a kind of function	nongold
23	the excretory system is a kind of body system	nongold
24	to bring means to transport	nongold
25	breathing in is when animals inhale air into their lungs	nongold
26	exhaling  is when an animal expels air from the lungs	nongold
27	the respiratory system performs respiration	nongold
28	breathing is a kind of  function	nongold
29	a lung is a kind of organ for breathing air	nongold
30	veins; arteries are a part of the circulatory system	nongold
31	cells are a part of the body	gold
32	to carry means to transport	nongold
33	a body cell means a somatic cell	nongold
34	to exhale means to release	nongold
35	air is a kind of gas	nongold
36	an animal is a kind of organism	nongold
37	all animals breathe	nongold
38	both means two	nongold
39	a plant cell is a kind of cell	nongold
40	breathing is a kind of process	nongold
41	breathing out is when animals exhale carbon dioxide from their lungs into the air	nongold
42	the function of something is what that something  is used to do	nongold
43	blood absorbs oxygen in the lungs	nongold
44	answering questions requires information	nongold
45	breathing is when animals convert oxygen into carbon dioxide	nongold
46	to breathe in means to absorb air	nongold
47	oxygen is a kind of gas at room temperature	nongold
48	a living thing is made of cells	nongold
49	a cell is a kind of object	nongold
50	an organism is a living thing	nongold
51	an animal is a kind of living thing	nongold
52	transport means to move; to make travel	nongold
53	to transfer is similar to transport	gold
54	transporting is a kind of function	nongold
55	cells require oxygen for fuel	nongold
56	if two things perform the same function then those two things are similar	nongold
57	the body is a part of an organism	nongold
58	to work means to function	nongold
59	a human cell is a kind of cell	nongold
60	gas is a kind of substance	nongold
61	all cells perform cellular respiration	nongold
62	a mechanism is a kind of system that performs a function	nongold
63	life means living things	nongold
64	gaseous means of gas	nongold
65	lungs are used for breathing air by land animals; birds	nongold
66	an event is a kind of action	nongold
67	system means a set of objects	nongold
68	internal organs are a part of the body	nongold
69	breath contains water vapor	nongold
70	a component of something means a part of that something	nongold
71	the diaphragm is a part of the respiratory system	nongold
72	a component means a part of	nongold
73	the atmosphere contains gases; liquids; solids	nongold
74	bringing substances to the body is a kind of function	nongold
75	red blood cells carry oxygen throughout the body	nongold
76	a source of something emits; produces; generates; provides that something	nongold
77	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
78	a part of a process means a stage in a process	nongold
79	form is similar to body	nongold
80	an animal requires air for survival	nongold
81	oxygen is more common than hydrogen on Earth	nongold
82	gas is a kind of material	nongold
83	if something causes a process then that something is required for that process	nongold
84	a process is a kind of event	nongold
85	can be means able to be	nongold
86	oxygen  is a kind of element	nongold
87	the air is a kind of substance	nongold
88	to be used for something means to be required by that something	nongold
89	nitrogen is a kind of gas	nongold
90	tissue is a kind of group of cells with a common structure that work together to perform a similar function	nongold
91	death means to die	nongold
92	air is a kind of matter	nongold
93	emit means produce	nongold
94	to emit means to release	nongold
95	a human is a kind of animal	nongold
96	a process usually requires all of the stages in that process	nongold
97	oxygenated means having oxygen	nongold
98	basic life functions occur in the cells of organisms	nongold
99	the absorption of oxygen through the blood occurs in the lungs	nongold
