Question	What would most likely be measure during an investigation of the water cycle?	question
Answer	precipitation amounts	answer
0	rainfall means the amount of precipitation	nongold
1	investigating sometimes requires measuring	gold
2	the water cycle occurs on Earth	nongold
3	In the water cycle , collection as snow; collection as ice can follow precipitation	nongold
4	investigating a stage of something means investigating that something	gold
5	In the water cycle , precipitation always follows transportation	nongold
6	precipitation is a stage in the water cycle process	gold
7	An example of a physical cycle is the water cycle	nongold
8	a cycle happens; occurs repeatedly	nongold
9	In the water cycle , runoff can follow precipitation	nongold
10	rainfall means precipitation	nongold
11	In the water cycle , precipitation can follow condensation	nongold
12	rain is a kind of precipitation	nongold
13	In the water cycle , melting snow; melting ice always follows collection as snow; collection as ice	nongold
14	In the water cycle , runoff always follows collection as snow; collection as ice	nongold
15	precipitation is when water falls from the sky	gold
16	investigating is a kind of process	nongold
17	investigating requires gathering information	nongold
18	measures of length; measures of distance are used to measure the amount of rainfall	nongold
19	investigation sometimes requires experimentation	nongold
20	rainfall is the amount of rain an area receives	nongold
21	a cycle is a kind of process	nongold
22	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
23	precipitation is a kind of weather	nongold
24	rain is a kind of water	nongold
25	measuring sometimes requires  recording; learning an amount	gold
26	studying is similar to investigating	nongold
27	snow is a kind of precipitation	nongold
28	rain; snow falls	nongold
29	In the water cycle , collection in bodies of water can follow runoff	nongold
30	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
31	examining sometimes requires measuring	nongold
32	runoff is a stage in the water cycle process	nongold
33	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
34	most means over 50% of something	nongold
35	storms;rain cause bodies of water to increase amount of water they contain	nongold
36	In the water cycle , evaporation always follows collection in bodies of water	nongold
37	a storm is a source of precipitation	nongold
38	evaporation is when water is drawn back up into the air in the water cycle	nongold
39	quantity means amount	nongold
40	measuring requires reading a measurement	nongold
41	precipitation is a property of weather	nongold
42	greatest means largest; highest; most amount of something	nongold
43	making a valid conclusion in an investigation requires collecting relevant evidence	nongold
44	evaporation is a stage in the water cycle process	nongold
45	an increase is a kind of change	nongold
46	investigating the life cycle of a living thing requires that living thing to be alive	nongold
47	water absorbs solar energy in the water cycle	nongold
48	precipitation is a kind of natural occurrence; cause	nongold
49	snowfall means the amount of precipitation in snow form	nongold
50	increase means more	nongold
51	hail is a kind of precipitation; ice	nongold
52	answering questions requires information	nongold
53	average amount of precipitation is a property of climate	nongold
54	as the amount of rainfall increases in an area , the amount of available water in that area will increase	nongold
55	In the water cycle , infiltration can follow runoff	nongold
56	In the water cycle , collection in groundwater always follows infiltration	nongold
57	rain is a source of water	nongold
58	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
59	measuring is a kind of observing	nongold
60	examining is a kind of process	nongold
61	a lot means large in amount; quantity	nongold
62	a measurement is a kind of data	nongold
63	storm is a kind of weather; weather event	nongold
64	cycles of day and night occur once per day	nongold
65	a measure of time is a length of time	nongold
66	high is similar to increase	nongold
67	calculation means measurement	nongold
68	making a valid conclusion in an investigation requires a testable hypothesis	nongold
69	property is similar to measurement	nongold
70	transpiration is a kind of process of the water cycle	nongold
71	water is a kind of matter	nongold
72	In the water cycle , transportation can follow condensation	nongold
73	an event is a kind of action	nongold
74	drought is when amount of precipitation decreases	nongold
75	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
76	In the water cycle , plant uptake can follow collection in groundwater	nongold
77	precipitation is a kind of  natural process	nongold
78	a decrease is a kind of change	nongold
79	rainstorm means rain storm	nongold
80	determining often requires measuring; observing	nongold
81	the glaciers has the role of storing fresh water in the water cycle	nongold
82	inspect; observe means examine	nongold
83	to lower means to decrease	nongold
84	a thunderstorm is a kind of storm	nongold
85	rainwater is a kind of water	nongold
86	a type is synonymous with a kind	nongold
87	unit is similar to part	nongold
88	how long something takes is a kind of measurement of time	nongold
89	recording an observation sometimes requires measuring	nongold
90	largest amount means most	nongold
91	higher means greater; above in value; amount; number	nongold
92	In the water cycle , condensation always follows evaporation	nongold
93	a stream is a kind of body of water	nongold
94	clouds produce precipitation	nongold
95	a unit for measuring time is a kind of time interval	nongold
96	a process is a kind of event	nongold
97	greater means higher; more in value	nongold
98	condensation is a stage in the water cycle process	nongold
99	flowing is a kind of motion	nongold
