Question	Most underground caves are formed by the action of water on	question
Answer	limestone	answer
0	a cavern is a cave	gold
1	a cavern is formed by carbonic acid in groundwater seeping through rock and dissolving limestone	gold
2	limestone is formed by water evaporating from a solution of water and minerals	nongold
3	sinkholes; caves are formed by precipitation; infiltration	nongold
4	forming is a kind of action	nongold
5	to cause the formation of means to form	nongold
6	a cavern is a kind of land form	nongold
7	most means over 50% of something	nongold
8	an event is a kind of action	nongold
9	flowing is a kind of action	nongold
10	limestone is a kind of sedimentary rock	nongold
11	groundwater is a kind of water	gold
12	underground means under ground	gold
13	underground means buried deep below other rocks	nongold
14	groundwater is located under ground	gold
15	usually means most of the time	nongold
16	to be formed by is to be the result of	nongold
17	form means kind	nongold
18	the formation of something is a kind of process	nongold
19	to be made of something means to be formed of that something	nongold
20	mostly means being the most	nongold
21	to form means to create	nongold
22	all minerals are formed by natural geological processes	nongold
23	dissolving is a kind of action	gold
24	ground water is a kind of water	nongold
25	breaking down is a kind of forming	nongold
26	to change into means to form	nongold
27	action means activity	nongold
28	a rock is usually a solid	nongold
29	something in the soil is located underground	nongold
30	to be formed by is similar to being produced by	nongold
31	greatest means largest; highest; most amount of something	nongold
32	a motion is a kind of event; action	nongold
33	a body of water contains water	nongold
34	revolving is a kind of action	nongold
35	the formation of rock is a kind of process	nongold
36	a whole is formed by its parts	nongold
37	action can cause change	nongold
38	deepest means greatest in depth	nongold
39	water is a kind of substance	nongold
40	burning is a kind of action	nongold
41	a landform is a kind of natural formation	nongold
42	forming something is a kind of change	nongold
43	to make means to form	nongold
44	a process is a kind of event	nongold
45	a mineral is a kind of solid; natural material	nongold
46	to be formed means to be originated	nongold
47	rock is a kind of material	nongold
48	if something is made of something else then the formation of that something requires that something else	nongold
49	rock means stone	nongold
50	composed of means made of	nongold
51	metamorphosis is a kind of process	nongold
52	a source of something emits; produces; generates; provides that something	nongold
53	rock is made of minerals	nongold
54	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
55	formation of a state of matter is a kind of process	nongold
56	becoming is a kind of action	nongold
57	passing is a kind of action	nongold
58	class is a measure of how a rock is formed	nongold
59	to be made of means to consist of	nongold
60	forming is similar to converting	nongold
61	no longer means used to be	nongold
62	water causes the most soil and rock erosion	nongold
63	state means form	nongold
64	can be means able to be	nongold
65	to happen means to occur	nongold
66	made up of means contains; made of	nongold
67	high is similar to increase	nongold
68	a rock is a kind of object	nongold
69	H2O means water	nongold
70	an increase is a kind of change	nongold
71	typically means usually	nongold
72	an aquifer contains groundwater	nongold
73	leaving something on is a kind of action	nongold
74	to create means to make	nongold
75	if something releases something else then that something is the source of that something else	nongold
76	a component means a part of	nongold
77	a mineral is a kind of object	nongold
78	products are formed; are produced; are created	nongold
79	a type is synonymous with a kind	nongold
80	settling is a kind of action	nongold
81	to act on means to affect	nongold
82	water is a part of an environment	nongold
83	a body of water is a source of water	nongold
84	placing is a kind of action	nongold
85	stalactites are formed by deposition	nongold
86	water exists in three states on Earth	nongold
87	a part of a process means a stage in a process	nongold
88	squeezing is a kind of action	nongold
89	to lower means to decrease	nongold
90	weathering is a kind of process	nongold
91	a body of water is a kind of environment	nongold
92	a stream is a kind of body of water	nongold
93	water is a kind of matter	nongold
94	if something transfers something else then that something is a source of something else	nongold
95	erosion is a kind of process	nongold
96	if something is made of something else then that something can be broken down into that something else	nongold
97	water is a kind of liquid at room temperature	nongold
98	deeper means greater in depth	nongold
99	chemical weathering is a kind of weathering	nongold
