Question	Which of the following is a consumer?	question
Answer	rabbit	answer
0	a rabbit is a kind of animal	gold
1	a rabbit is a kind of mammal	nongold
2	a rabbit is a kind of prey	nongold
3	an animal is a kind of consumer	nongold
4	a consumer is a kind of organism	nongold
5	rabbits eat plants	gold
6	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	gold
7	a rabbit is a kind of herbivore	nongold
8	a producer is a kind of living thing	nongold
9	an animal is a kind of living thing	nongold
10	to eat means to consume food	nongold
11	an animal is a kind of organism	nongold
12	a product is a kind of object	nongold
13	a living thing is a kind of object	nongold
14	an animal needs to eat food for nutrients	nongold
15	food is a kind of object	nongold
16	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
17	consumption means use	nongold
18	green plants provide food for themselves; animals; consumers by performing photosynthesis	gold
19	food is what an animal eats	nongold
20	a hare is similar to a rabbit	nongold
21	an animal; living thing requires nutrients for survival	nongold
22	a consumer can not produce its own food	nongold
23	a hare is a kind of animal	nongold
24	consumers eat other organisms	gold
25	a plant; living thing requires food for survival	nongold
26	a source of something emits; produces; generates; provides that something	nongold
27	a food contains nutrients for living things	nongold
28	a producer is a source of energy for consumers	nongold
29	a producer produces its own food	nongold
30	to depend on; to rely on; to need means to require	nongold
31	trait is synonymous with characteristic	nongold
32	a rabbit cannot fly; climb	nongold
33	providing something means making;delivering something	nongold
34	an organism is a living thing	nongold
35	producer is a kind of role in the food chain process; in an ecosystem	nongold
36	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
37	herbivore means first-level consumer	nongold
38	a human is a kind of animal	nongold
39	some rabbits live in forests	nongold
40	food is a kind of substance	nongold
41	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
42	answering questions requires information	nongold
43	to be used for something means to be required by that something	nongold
44	living things eat their food source	nongold
45	food is a source of energy for animals; plants	nongold
46	a jackrabbit is a kind of rabbit	nongold
47	a type is synonymous with a kind	nongold
48	food is a kind of resource	nongold
49	an animal is a member of an animal species	nongold
50	an object is an item	nongold
51	diet means what an animal eats	nongold
52	long ears are a part of a rabbit	nongold
53	to produce means to provide	nongold
54	make means produce	nongold
55	emit means produce	nongold
56	products are formed; are produced; are created	nongold
57	a mammal is a kind of animal	nongold
58	trait means property	nongold
59	to be affected by something is similar to depending on something	nongold
60	can be means able to be	nongold
61	an object; material; substance comes from that object or material's source	nongold
62	to be dependent on something means to depend on that something	nongold
63	producers pass materials they use through the food chain	nongold
64	a cat is a kind of animal	nongold
65	taking in something means receiving; absorbing; getting something	nongold
66	provide is similar to give; make	nongold
67	toad is a kind of animal	nongold
68	an part of an object is smaller than the entire object	nongold
69	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
70	if an organism eats something then that something is a source of frood to that organism	nongold
71	if something is given off of something , then something is the product of something	nongold
72	one can get something from a source	nongold
73	person is synonymous with human	nongold
74	when an animal eats or drinks something , that animal tastes that something	nongold
75	foxes eat rabbits	nongold
76	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
77	a supply of something is a source of that something	nongold
78	an object has properties	nongold
79	requiring something means needing that something	nongold
80	material means substance	nongold
81	taking is the opposite of giving; leaving	nongold
82	quantity means amount	nongold
83	affected means changed	nongold
84	greatest means largest; highest; most amount of something	nongold
85	to produce means to create	nongold
86	if something causes a process then that something is required for that process	nongold
87	form means kind	nongold
88	the amount of something is similar to the availability of something	nongold
89	prey is a kind of food for predators	nongold
90	variable means able to change	nongold
91	what something needs is a property of that something	nongold
92	to give is similar to to cause	nongold
93	generate means produce	nongold
94	a human is a kind of mammal	nongold
95	to be formed by is similar to being produced by	nongold
96	to transfer means to bring; to get something to	nongold
97	if something is a raw material in a process then that something is required for that process	nongold
98	to create means to make	nongold
99	if something requires something else then that something requires a source of that something else	nongold
