Question	Fourth graders are planning a roller-skate race. Which surface would be the best for this race?	question
Answer	blacktop	answer
0	a roller skate is a kind of vehicle	gold
1	wheels are a part of roller skates	gold
2	best means most positive	nongold
3	race is when vehicles; humans compete	gold
4	blacktop means asphalt	gold
5	better means good	nongold
6	a surface is a part of an object	nongold
7	a surface is a kind of object	nongold
8	good means positive	nongold
9	a surface is a part of a material	nongold
10	helping means something can be done; completed more easily; better	nongold
11	high is similar to increase	nongold
12	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
13	negative impact is the opposite of positive impact	nongold
14	to improve means to have a positive impact	nongold
15	a roller coaster  is a kind of  object	nongold
16	desirable result means positive impact	nongold
17	to be good for means to have a positive impact on	nongold
18	high-quality means positive	nongold
19	a board is a kind of object	nongold
20	start of a race is located at the beginning of a track	nongold
21	solution is similar to a positive impact	nongold
22	an increase is the opposite of a decrease	nongold
23	to slow; to slow down decreases speed	nongold
24	low is similar to decrease	nongold
25	greatest means largest; highest; most amount of something	nongold
26	helping something has a  positive impact on that something	nongold
27	impact means effect	nongold
28	less is similar to decrease	nongold
29	high means a lot of something	nongold
30	result means outcome	nongold
31	a terrain contains a surface	nongold
32	fastest means greatest in  speed	nongold
33	lowest means least in value; amount; number	nongold
34	to lower means to decrease	nongold
35	finish of a race is located at the end of a track	nongold
36	black is a kind of color	nongold
37	to add means to increase	nongold
38	wheels; gears usually move against other surfaces	nongold
39	a machine is a kind of object	nongold
40	faster means an increase; higher in speed	nongold
41	greater means higher; more in value	nongold
42	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
43	affected means changed	nongold
44	person is synonymous with human	nongold
45	lower means less	nongold
46	a type is synonymous with a kind	nongold
47	low is the opposite of high	nongold
48	least is the opposite of greatest	nongold
49	higher means greater; above in value; amount; number	nongold
50	speed is a property of an object and includes values of slow; fast	nongold
51	an part of an object is smaller than the entire object	nongold
52	a motion is a kind of event; action	nongold
53	speed is a measure of how fast an object is moving	nongold
54	motion is when moves an object; something to a direction	nongold
55	answering questions requires information	nongold
56	to try means to make an effort	nongold
57	a negative impact is a kind of consequence; risk	nongold
58	a human is a kind of animal	nongold
59	motion; movement means moving; to move	nongold
60	a process is a kind of event	nongold
61	an animal is a kind of living thing	nongold
62	stop; stopped means zero; 0; no speed	nongold
63	if an object is black then that object absorbs all visible light; heat	nongold
64	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
65	low means down	nongold
66	flat means level	nongold
67	flatness is a property of a surface; the shape of an object and includes ordered values of uneven; flat	nongold
68	a living thing is a kind of object	nongold
69	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
70	if a wheel travels on a surface then the wheel touches that surface	nongold
71	adverse effect means negative impact	nongold
72	riding something is to move that thing over a surface	nongold
73	surfaces sometimes cause objects to break	nongold
74	if something is required for a process then that something positively impacts that process	nongold
75	except means not	nongold
76	riding is a kind of motion	nongold
77	extreme means very high in value	nongold
78	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
79	furthest; farthest means greatest; most; highest in distance	nongold
80	black is dark in color	nongold
81	slowest means lowest in  speed	nongold
82	a vehicle is a kind of object	nongold
83	less is the opposite of more	nongold
84	something that happens is a kind of event	nongold
85	an animal is a kind of organism	nongold
86	form means kind	nongold
87	closer means lower; less; a decrease in distance	nongold
88	to turn means to change	nongold
89	meters;centimeters;kilometers are used to describe distance; describe length	nongold
90	counter means reduce; stop; resist	nongold
91	faster means increased rate	nongold
92	problem is similar to issue	nongold
93	increase means more	nongold
94	speed up means increase	nongold
95	the bottom is the lowest part of something	nongold
96	little means low in amount	nongold
97	rate is similar to speed	nongold
98	little is similar to decrease	nongold
99	wheels are a part of a car	nongold
