Question	Which statement best describes the motion of water molecules as the water changes state from steam to liquid?	question
Answer	The molecules move slower and occupy less space.	answer
0	as the temperature of a substance; of an object decreases , the molecules in that substance will move slower; closer	gold
1	steam is a kind of gas	gold
2	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
3	as the temperature of a substance increases , the molecules in that substance will move faster; farther apart	nongold
4	faster means an increase; higher in speed	nongold
5	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
6	steam;water vapor is a kind of water above 100 degrees celsius	nongold
7	motion; movement means moving; to move	gold
8	to slow; to slow down decreases speed	nongold
9	less is similar to decrease	nongold
10	water is a kind of liquid at room temperature	nongold
11	closer means lower; less; a decrease in distance	gold
12	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
13	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
14	a molecule is a kind of particle	nongold
15	temperature is a measure of heat energy	nongold
16	fast is the opposite of slow	nongold
17	distance is a property of space and includes ordered values of close; far	gold
18	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
19	steam is hot in temperature	nongold
20	space is a vacuum	nongold
21	water is a kind of substance	nongold
22	water vapor;steam cooling causes that water vapor;steam to condense	nongold
23	steam; water vapor is a kind of water phase	nongold
24	size; amount of space means volume	nongold
25	vapor is synonymous with gas	nongold
26	less is the opposite of more	nongold
27	gas is a kind of state of matter	nongold
28	particles in a liquid are slower than particles in a gas	nongold
29	place means space	nongold
30	heat means heat energy	nongold
31	faster means increased rate	nongold
32	heating means adding heat	nongold
33	a liquid is a kind of substance	nongold
34	speed is a property of an object and includes values of slow; fast	nongold
35	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	gold
36	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
37	matter; materials; substances are made of atoms; particles	nongold
38	substances are made of molecules	nongold
39	lower means less	nongold
40	water is an thermal; thermal energy conductor	nongold
41	water is colder than steam in temperature	nongold
42	temperature is a measure of kinetic energy of molecules	nongold
43	fastest means greatest in  speed	nongold
44	heat means temperature increases	nongold
45	phase changes change the arrangement of molecules in a substance; in a sample	gold
46	liquid is a kind of state of matter	nongold
47	water is a kind of matter	nongold
48	Earth contains water; ice; (steam, water vapor)	nongold
49	particles in a solid are slower than particles in a liquid	nongold
50	a molecule is a kind of object	nongold
51	boiling is a kind of phase change	nongold
52	gas is a kind of substance	nongold
53	adding heat means increasing temperature	nongold
54	particles in a liquid are close to each other	nongold
55	heat energy can change the state of matter	nongold
56	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
57	increase means more	nongold
58	a state is a kind of place	nongold
59	if a substance has volume , then the substance takes up space	nongold
60	an increase is the opposite of a decrease	nongold
61	gas is a kind of object	nongold
62	heat energy is synonymous with thermal energy	nongold
63	water is a kind of object	nongold
64	movement is a kind of change	nongold
65	boiling is when liquids are heated above their boiling point	nongold
66	a particle is a kind of object	nongold
67	to add means to increase	nongold
68	to lower means to decrease	nongold
69	atoms are made of particles	nongold
70	atoms in a gas move independently of one another	nongold
71	as temperature increases , the speed of molecules will increase	nongold
72	solid is a kind of state of matter	nongold
73	a solid is a kind of substance	nongold
74	smaller means less; lower in size	nongold
75	a decrease is a kind of change	nongold
76	a pure substance is made of only one kind of atom; molecule	nongold
77	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
78	furthest; farthest means greatest; most; highest in distance	nongold
79	less means a reduced amount	nongold
80	matter is made of molecules	nongold
81	to place in is similar to to move to	nongold
82	less dense liquids; particles in liquids; materials float liquids; particiles in liquids; materials that are more dense	nongold
83	particles in objects are a kind of matter	nongold
84	heat means the transfer of thermal energy	nongold
85	objects are made of materials; substances; matter	nongold
86	celestial bodies; celestial objects are found in space	nongold
87	an increase is a kind of change	nongold
88	high speed means fast	nongold
89	to reduce means to decrease	nongold
90	condensing is when gasses are  cooled below their boiling point	nongold
91	as the temperature of a liquid increases , that liquid will evaporate quicker	nongold
92	variable means able to change	nongold
93	fewer means lower; less in number	nongold
94	rotation is a kind of motion	nongold
95	a molecule is exceptionally small in size	nongold
96	state means form	nongold
97	low is similar to decrease	nongold
98	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
99	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
