Question	Which of the following is a central role of carbon in the chemistry of living organisms?	question
Answer	Carbon can form many types of molecules with covalent bonds.	answer
0	many types of molecules can be formed by carbon with covalent bonds	gold
1	a type is synonymous with a kind	nongold
2	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
3	a molecule is made of atoms chemically combined; bonded	nongold
4	an organism is a living thing	gold
5	living things are made of organic molecules	nongold
6	form means kind	nongold
7	role means function	nongold
8	purpose means role	nongold
9	life means living things	nongold
10	part means role	nongold
11	the function of something is what that something  is used to do	nongold
12	to be involved in something means to have a role in something	nongold
13	substances are made of molecules	nongold
14	organisms are made of organic compounds	nongold
15	organisms are made of carbon	gold
16	the chemistry of something is similar to what that something is made of	gold
17	a type of something is a kind of property of that something	nongold
18	oxygen is a part of many organic molecules	nongold
19	carbon is a kind of element	nongold
20	an organism is made of organic matter	nongold
21	chemical compounds contain chemical bonds between atoms; between elements	nongold
22	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
23	a living thing is made of cells	nongold
24	an animal is a kind of living thing	nongold
25	organisms mean life	nongold
26	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
27	to be made of something means to be formed of that something	gold
28	living things perform biological processes	nongold
29	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
30	producer is a kind of role in the food chain process; in an ecosystem	nongold
31	classifying is when one sorts something by kind; type	nongold
32	role is similar to importance	nongold
33	a living thing is a kind of object	nongold
34	function is similar to purpose	nongold
35	a bonding property is a kind of chemical property	nongold
36	an organism is a source of organic matter	nongold
37	to cause the formation of means to form	nongold
38	to make means to form	nongold
39	forming something is a kind of change	nongold
40	a plant is a kind of organism	nongold
41	to have a function is similar to to be responsible for	nongold
42	chemical reactions cause new substances; different substances to form	nongold
43	if a living thing requires something then that something has a positive impact on that living thing	nongold
44	living things carry out basic life functions	nongold
45	variety means different kinds; different types	nongold
46	matter is made of molecules	nongold
47	a source of something emits; produces; generates; provides that something	nongold
48	products are formed; are produced; are created	nongold
49	a plant is a kind of living thing	nongold
50	the bonds of chemical compounds contain chemical energy	nongold
51	a role in the ecosystem is a role in the food chain process	nongold
52	to be a vehicle for is a kind of function	nongold
53	to change into means to form	nongold
54	a molecule is exceptionally small in size	nongold
55	to form means to create	nongold
56	forming is similar to converting	nongold
57	can be means able to be	nongold
58	a kind of something is an example of that something	nongold
59	if something performs a task then that task is that something's function	nongold
60	to be formed by is similar to being produced by	nongold
61	matter; materials; substances are made of atoms; particles	nongold
62	to be used for something means to be required by that something	nongold
63	a part of a living thing is a natural structure	nongold
64	substances are made of matter	nongold
65	organic compounds are made of carbon chains with other elements attached to it	nongold
66	a pure substance is made of only one kind of atom; molecule	nongold
67	providing structure is a kind of function	nongold
68	a function is a kind of characteristic	nongold
69	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
70	substances have chemical properties	nongold
71	something is used for that something's purpose	nongold
72	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
73	producing is a kind of function	nongold
74	compound is a kind of chemical	nongold
75	providing is a kind of function	nongold
76	to be formed by is to be the result of	nongold
77	a molecule is the smallest particle; unit that has the properties of a compound	nongold
78	a molecule is a kind of object	nongold
79	carbohydrates are made of glucose molecules bonding together	nongold
80	a molecule is a kind of particle	nongold
81	breaking down is a kind of forming	nongold
82	to create means to make	nongold
83	if something is made of something else then that something can be broken down into that something else	nongold
84	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
85	if something causes a process then that something is required for that process	nongold
86	to generate means to form	nongold
87	plant and animal matter means organic matter	nongold
88	state means form	nongold
89	atom cannot be divided into smaller substances	nongold
90	synthesis means to make	nongold
91	composed of means made of	nongold
92	forming is a kind of action	nongold
93	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
94	living organisms require organic compounds to survive	nongold
95	materials are made of matter	nongold
96	a process is a kind of event	nongold
97	causing is a kind of function	nongold
98	to produce means to create	nongold
99	biotic means living	nongold
