Question	All organisms classified in kingdom Animalia must also be classified as which of the following?	question
Answer	Eukaryota	answer
0	animals are a part of the biological kingdom Animalia	gold
1	eukaryotes are a part of the biological domain Eukaryota	gold
2	an animal is a kind of eukaryote	gold
3	a kingdom is a kind of taxonomic rank	nongold
4	biological kingdoms are made of organisms	nongold
5	Plantae is a kind of biological kingdom	nongold
6	a fungus is a kind of eukaryote	nongold
7	to belong to a class means to be a kind of something	nongold
8	a kind of something is classified as that something	nongold
9	classifying is when one sorts something by kind; type	gold
10	an animal is a kind of living thing	nongold
11	an organism is a living thing	nongold
12	an animal is a kind of organism	gold
13	must have means require	nongold
14	an animal is a member of an animal species	nongold
15	Protista is a kind of biological kingdom	nongold
16	category means kind	nongold
17	to classify means to decide what class something belongs to	nongold
18	living things can all reproduce	nongold
19	classify is similar to characterize	nongold
20	classifying requires comparing	nongold
21	plants are part of the bilogical kingdom Plantae	nongold
22	organisms mean life	nongold
23	to categorize means to classify	nongold
24	all living things have life cycles	nongold
25	including means containing	nongold
26	to be made of something means to be formed of that something	nongold
27	to be found in means to be contained in	nongold
28	a structure of something is synonymous with a part of that something	nongold
29	classifying means grouping objects; materials by their properties	nongold
30	a plant is a kind of organism	nongold
31	a living thing is a kind of object	nongold
32	Fungi is a kind of biological kingdom	nongold
33	life means living things	nongold
34	classification is a kind of process	nongold
35	composed of means made of	nongold
36	made of is similar to contains	nongold
37	a domain is the broadest group into which organisms can be classified	nongold
38	a diatom is a kind of organism	nongold
39	sorting is similar to classifying	nongold
40	made up of means contains; made of	nongold
41	if two organisms are more closely related , then the two  organisms will be classifed in a class	nongold
42	cannot means not be able to	nongold
43	paramecia are a part of the biological kingdom Protista	nongold
44	all living things grow	nongold
45	all living things are made of cells according to the cell theory	nongold
46	a reptile is a kind of animal	nongold
47	United Kingdom is located in the northern hemisphere	nongold
48	a living thing is made of cells	nongold
49	to be used for something means to be required by that something	nongold
50	a plant is a kind of living thing	nongold
51	answering questions requires information	nongold
52	unique  is the opposite of diverse	nongold
53	the properties of something are used for describing that something	nongold
54	species means a group of like organisms	nongold
55	all the other means the rest of	nongold
56	biotic means living	nongold
57	genes can be used for classifying  organisms	nongold
58	genetic; hereditary means of genes; heredity	nongold
59	an animal cell is a kind of cell	nongold
60	living things perform biological processes	nongold
61	if something is a part of something else then that something else contains that something	nongold
62	fungi are part of the biological kingdom Fungi	nongold
63	embryos are a stage in the animal development process	nongold
64	a protozoan is a kind of animal	nongold
65	each is similar to individual	nongold
66	to be made of means to consist of	nongold
67	the properties of something can be used to identify; used to describe that something	nongold
68	can be means able to be	nongold
69	to tell the difference between things means to classify those things	nongold
70	a cell is a kind of object	nongold
71	a source of something emits; produces; generates; provides that something	nongold
72	mammals is a kind of class	nongold
73	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
74	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
75	contains means located in	nongold
76	to belong to a group means to be classified in that group	nongold
77	if a cell can not specialize then that cell must perform all life functions	nongold
78	organisms move through the stages of the life cycle	nongold
79	euglena is a kind of organism	nongold
80	classifying is a kind of science process	nongold
81	identifying is similar to determining	nongold
82	if something is made of something; a material then that something contains that something; that material	nongold
83	the cell is the smallest unit of an organism that can perform all of the processes of life	nongold
84	an animal; living thing requires nutrients for survival	nongold
85	a bacterium is a kind of organism	nongold
86	evolution is a kind of process	nongold
87	a worm is a kind of animal	nongold
88	affected means changed	nongold
89	examining structures at the molecular level is being used to reclassify organisms	nongold
90	according to is similar to be determined by	nongold
91	both means two	nongold
92	Ethiopia is located in the southern hemisphere	nongold
93	placement means a place  in an order	nongold
94	a multicellular organism is a kind of living thing	nongold
95	genotype of  an organism means the genes of  an organism	nongold
96	the nucleus contains genetic material for reproduction	nongold
97	a plant is a member of a plant species	nongold
98	living things in the same class are  more closely related than living things in different classes	nongold
99	organisms are made of carbon	nongold
