Question	Many scientists theorize that global warming will melt the polar ice caps. What would most likely happen if the polar ice caps melted?	question
Answer	Ocean levels would increase.	answer
0	the melting of ice caps causes the ocean water level  to rise	nongold
1	the polar ice caps are made of ice	gold
2	global warming is when worldwide temperature increases	nongold
3	as the amount of water in a body of water increases , the water levels will rise; increase especially at the edge of that body of water	gold
4	as the amount of water in a body of water decreases , the water levels will decrease	nongold
5	an ocean is a kind of body of water	gold
6	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
7	water level is similar to ocean level	nongold
8	adding heat means increasing temperature	nongold
9	heat means temperature increases	nongold
10	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	gold
11	to add means to increase	nongold
12	water is a kind of polar substance	nongold
13	increase means more	nongold
14	ice sheet; polar ice sheet is a kind of glacier	nongold
15	to reduce means to decrease	nongold
16	cooling means temperature decreases	nongold
17	an increase is a kind of change	nongold
18	a scientist is a kind of human	nongold
19	ocean temperatures change slowly	nongold
20	a decrease is a kind of change	nongold
21	as distance to an ocean decreases , the temperature will decrease	nongold
22	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
23	to happen means to occur	nongold
24	to lower means to decrease	nongold
25	melting is a kind of phase change	nongold
26	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
27	an increase is the opposite of a decrease	nongold
28	temperature  rise means temperature increase	nongold
29	if the glaciers melt , then the fresh water stored in glaciers will decrease	nongold
30	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
31	as the surface area of a body of water increases , evaporation of that body of water will increase	nongold
32	high is similar to increase	nongold
33	temperature is a measure of heat energy	nongold
34	melting is when solids are heated above their melting point	nongold
35	water is a kind of liquid at room temperature	nongold
36	ice is a kind of solid	nongold
37	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
38	low is similar to decrease	nongold
39	as the amount of a source of something decreases , the amount of that something will decrease	nongold
40	something that happens is a kind of event	nongold
41	temperature changing can cause phase changes	nongold
42	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
43	a change is a kind of event	nongold
44	less is similar to decrease	nongold
45	freezing is a kind of phase change	nongold
46	heat means heat energy	nongold
47	if the atmospheric temperature rises then the glaciers will melt	nongold
48	sea means ocean	nongold
49	a source of something increases the amount of that something	nongold
50	if something emits something else then that something increases the amount of that something else	nongold
51	as the  level of water rises , the amount of available land will decrease	nongold
52	warmer means greater; higher in temperature; warmth	nongold
53	melting is a kind of process	nongold
54	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
55	the Arctic Ocean is a kind of ocean	nongold
56	a glacier is a kind of body of water	nongold
57	as temperature during the day increases , the temperature in an environment will increase	nongold
58	when water freezes , that water expands	nongold
59	a process is a kind of event	nongold
60	cold means low in temperature	nongold
61	heating means adding heat	nongold
62	as the amount of water in a body of water increases , the amount of water  evaporated from the body of water will increase	nongold
63	to change means to cause a change	nongold
64	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
65	as the cause of something decreases , that something will decrease	nongold
66	warm means medium heat energy; temperature	nongold
67	polar regions are cold in temperature	nongold
68	a glacier is made of a large buildup of ice; snow	nongold
69	ice crystals means  ice	nongold
70	evaporation causes amount of water to decrease	nongold
71	cycles of freezing and thawing water cause ice wedging	nongold
72	colder; cooler means lower in temperature	nongold
73	temperature drop means temperature decrease	nongold
74	as the temperature of a liquid increases , the rate of evaporation of that liquid will increase	nongold
75	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
76	hot means high in heat energy; temperature	nongold
77	ice is a kind of water phase	nongold
78	level is similar to amount; quantity	nongold
79	too much is similar to increase	nongold
80	variable means able to change	nongold
81	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
82	change is a kind of impact	nongold
83	affected means changed	nongold
84	freezing means cold temperatures	nongold
85	ice is a kind of object	nongold
86	water is a kind of substance	nongold
87	extreme means very high in value	nongold
88	a glacier is made of ice	nongold
89	oceans contains most of  earth's water	nongold
90	a body of water contains water	nongold
91	temperature rise means become warmer	nongold
92	as the altitude increases ,  the temperature of the air will increase in the stratosphere	nongold
93	scientists make observations	nongold
94	temperature is a property of weather	nongold
95	greater means higher; more in value	nongold
96	if something causes an increase in something else then that something produces that something else	nongold
97	warm means warm temperature	nongold
98	often is similar to likely	nongold
99	oceans cover 70% of the surface of the earth	nongold
