Question	Falling and rising air and water molecules inside of clouds are believed to be factors in the formation of lightning. Which kind of energy transfer is taking place to cause this weather phenomenon?	question
Answer	mechanical to electrical	answer
0	the formation of lightning converts mechanical energy into electrical energy	gold
1	lightning is a kind of weather phenomenon	gold
2	a cloud is a kind of weather	nongold
3	lightning is a kind of electricity	nongold
4	mechanical energy is a kind of energy	nongold
5	rising is a kind of motion	nongold
6	convert is similar to transfer	gold
7	a cloud is a kind of object	nongold
8	transfer is a kind of change	nongold
9	lightning occurs during lightning storms; thunderstorms	nongold
10	lightning is a kind of electrical discharge	gold
11	take place means happen	nongold
12	electrical energy is a kind of energy	nongold
13	falling means moving downward	gold
14	to transfer is similar to transport	nongold
15	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
16	to conduct is similar to to transfer	nongold
17	rising means moving upward	gold
18	transfer is a kind of process	nongold
19	a type is synonymous with a kind	nongold
20	a molecule is a kind of object	nongold
21	water is a kind of matter	nongold
22	lightning is the source of thunder	nongold
23	form means kind	nongold
24	clouds are made of water vapor; rain droplets	nongold
25	substances are made of molecules	nongold
26	electricity means electrical energy	nongold
27	to drop means to fall	nongold
28	storm is a kind of weather; weather event	nongold
29	matter is made of molecules	nongold
30	lightning causes thunder	nongold
31	the formation of something is a kind of process	nongold
32	a thunderstorm is a kind of storm	nongold
33	clouds are formed by water vapor rising into colder regions of the atmosphere and condensing	nongold
34	vibration is a kind of motion	nongold
35	air is a kind of matter	nongold
36	to cause the formation of means to form	nongold
37	An example of mechanical energy is an object in motion	gold
38	clouds are usually found in the sky	nongold
39	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
40	dropping something causes that something to fall	nongold
41	rising means height; altitude increases	nongold
42	temperature is a measure of kinetic energy of molecules	nongold
43	water is a kind of substance	nongold
44	a factor impacts something	nongold
45	rolling down is similar to falling	nongold
46	air is a kind of gas	nongold
47	to cause an event is similar to being involved in that event	nongold
48	the air is a kind of substance	nongold
49	clouds are located in the atmosphere	nongold
50	lightning produces electromagnetic radiation of a wide range	nongold
51	kinetic energy is a kind of mechanical energy	nongold
52	events occur at a specific place; at a specific time; with a specific frequency	nongold
53	matter; materials; substances are made of atoms; particles	nongold
54	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
55	falling means height decreases	nongold
56	to happen means to occur	nongold
57	a process is a kind of event	nongold
58	something that happens is a kind of event	nongold
59	to cause means to have an effect	nongold
60	transferring is moving from one place to another place	nongold
61	energy conversion is similar to energy transformation	nongold
62	cloudy is a kind of  weather	nongold
63	formation of a state of matter is a kind of process	nongold
64	rising means elevation	nongold
65	a motion is a kind of event; action	nongold
66	forming is similar to converting	nongold
67	to flow is similar to to transfer	nongold
68	to convert means to change	nongold
69	forming something is a kind of change	nongold
70	if something transfers something else then that something is a source of something else	nongold
71	weather  usually happens in troposphere	nongold
72	to send means to transfer	nongold
73	a change is a kind of event	nongold
74	energy transformation means one kind of energy changes into another kind of energy	nongold
75	substances are made of matter	nongold
76	to pass means to transfer	nongold
77	tornado is a kind of weather	nongold
78	mechanical energy can  cause objects to move	nongold
79	to be a source of something means to cause that something	nongold
80	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
81	causing means influencing	nongold
82	rain is a kind of water	nongold
83	a molecule is exceptionally small in size	nongold
84	to change means to cause a change	nongold
85	all waves transfer; transmit energy from one place to another	nongold
86	to be made of something means to be formed of that something	nongold
87	come down is similar to falling	nongold
88	if something is made of something else then the formation of that something requires that something else	nongold
89	to be formed by is similar to being produced by	nongold
90	clouds produce rain	nongold
91	the sun rising is a kind of event	nongold
92	a source of something emits; produces; generates; provides that something	nongold
93	thunder is a kind of sound	nongold
94	can be means able to be	nongold
95	water is a kind of liquid at room temperature	nongold
96	an increase is a kind of change	nongold
97	to change means to have an effect	nongold
98	if something is made by something else then that something is affected by that something else	nongold
99	rain is a kind of precipitation	nongold
