Question	Sharpening a pencil and tearing paper are examples of physical changes. Which statement describes why these are physical changes?	question
Answer	There is a change in the appearance of the objects.	answer
0	a pencil is a kind of object	gold
1	tearing means  ripping	nongold
2	appearance is a property of objects; materials	nongold
3	tearing an object changes that object's shape	gold
4	An example of a physical change is breaking an object	nongold
5	a paper is a kind of object	gold
6	sharpening an object causes that object to change shape	gold
7	appearance is sometimes a physical property	gold
8	paper is a kind of material	nongold
9	appearance  is a kind of physical property	nongold
10	objects are made of materials; substances; matter	nongold
11	shredding is similar to tearing	nongold
12	materials are made of matter	nongold
13	a living thing is a kind of object	nongold
14	a kind of something is an example of that something	nongold
15	sharpness is a property of shape	nongold
16	tearing means changing a whole into pieces	nongold
17	physical state means state of matter	nongold
18	if something undergoes a physical change then the physical properties of that something will change	gold
19	how something  appears is how that something  looks	nongold
20	appearing is similar to seeming	nongold
21	tearing is a kind of damage	nongold
22	the properties of something are used for describing that something	nongold
23	a surface is a part of a material	nongold
24	state of matter means physical state	nongold
25	a surface is a part of an object	nongold
26	a sheet of paper is a kind of object	nongold
27	a phase change is a kind of physical change	nongold
28	to change means to cause a change	nongold
29	if an object is made of a material then that object has the properties of that material	nongold
30	a tool is a kind of object	nongold
31	variable means able to change	nongold
32	state of matter is a kind of physical property	nongold
33	occur is similar to appear	nongold
34	affected means changed	nongold
35	movement is a kind of change	nongold
36	a surface is a kind of object	nongold
37	an increase is a kind of change	nongold
38	a piece of something is a kind of object	nongold
39	shape is a property of the appearance of an object	gold
40	chemical change is the opposite of physical change	nongold
41	color is a kind of physical; visual property	nongold
42	surfaces sometimes cause objects to break	nongold
43	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
44	an animal is a kind of living thing	nongold
45	color is a property of  an object; a material	nongold
46	to scrape means to scratch	nongold
47	an part of an object is smaller than the entire object	nongold
48	paper is flexible	nongold
49	material means substance	nongold
50	a decrease is a kind of change	nongold
51	a change is a kind of event	nongold
52	solid is a kind of state of matter	nongold
53	an object has properties	nongold
54	metal is a kind of material	nongold
55	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
56	substances are made of matter	nongold
57	matter; materials; substances are made of atoms; particles	nongold
58	to look like means to have the visual properties of	nongold
59	a physical property is a kind of property	nongold
60	person is synonymous with human	nongold
61	cutting an object requires mechanical force	nongold
62	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
63	cutting requires rigid tools	nongold
64	if an object is made of something then the parts of that object are made of that something	nongold
65	an object is made of its parts	nongold
66	a piece of an object is smaller in size than the whole object	nongold
67	shape is a kind of physical property	nongold
68	unchanged means not changed	nongold
69	both means two	nongold
70	form means kind	nongold
71	paper is recyclable	nongold
72	to reduce means to decrease	nongold
73	high is similar to increase	nongold
74	to add means to increase	nongold
75	striking is a kind of movement	nongold
76	paper burns	nongold
77	the properties of something can be used to identify; used to describe that something	nongold
78	as the thickness of an object increases , the resistance to tearing; to breaking will increase	nongold
79	counter means reduce; stop; resist	nongold
80	a sheet of is similar to a piece of	nongold
81	a paper clip is a kind of object	nongold
82	strong means high in strength	nongold
83	breaking down into pieces is a kind of change in shape	nongold
84	the effects of something is a property of that something	nongold
85	friction occurs when two object's surfaces move against each other	nongold
86	something that happens is a kind of event	nongold
87	as amount; size of something increases , the intensive properties of that something will not change	nongold
88	to convert means to change	nongold
89	an increase is the opposite of a decrease	nongold
90	shape is a property of an object	nongold
91	changed is the opposite of unchanged	gold
92	a hand is a kind of object	nongold
93	wood is a kind of object	nongold
94	as the state  of matter changes , the color of the object will stay the same	nongold
95	reducing is a kind of change	nongold
96	friction causes speed to decrease	nongold
97	variability of shape; variability of volume is a kind of physical property	nongold
98	strength is a property of an object; a material	nongold
99	motion; movement means moving; to move	nongold
