Question	Why is it better to wear a white T-shirt than a dark blue T-shirt in the summer?	question
Answer	Light-colored clothes reflect more sunlight than dark-colored clothes.	answer
0	darker objects absorb more light than light colored objects	nongold
1	white is a kind of color	nongold
2	dark means dark in color	nongold
3	blue is a kind of color	nongold
4	if an object is white then that object reflects all visible light	nongold
5	white objects absorbs the least sunlight	nongold
6	a shirt is a kind of article of clothing	gold
7	daylight means sunlight	nongold
8	color is a property of  an object; a material	nongold
9	bright means bright; light in color	nongold
10	better means good	gold
11	if an object is black then that object absorbs all visible light; heat	nongold
12	if an object reflects a light of a certain color then the object appears to be that color	nongold
13	a white object reflects all visible light	gold
14	reflecting light; sound is the opposite of absorbing light; sound	gold
15	black objects absorbs the most sunlight	nongold
16	brightness means amount of light	nongold
17	sunshine means sunlight	nongold
18	summer is a kind of season	nongold
19	dark is the opposite of light	gold
20	summer has the most sunlight	nongold
21	sunlight is a kind of light	gold
22	if an object is blue then that object reflects only blue light	nongold
23	objects of other colors absorbs less amount of sunlight than black objects	nongold
24	a blue object reflects only blue light	nongold
25	increase means more	nongold
26	dark means a low amount of light	nongold
27	reflection is when light is reflected from one object; one place to  another object; another place	nongold
28	coloration means a thing's color	nongold
29	green is a kind of color	nongold
30	the amount of daylight is greatest in the summer	nongold
31	winter is the opposite of summer	nongold
32	shiny things; objects reflect light	nongold
33	best means most positive	nongold
34	if an object reflects more light then that object is more easily seen	nongold
35	to bounce back means to reflect	nongold
36	bright means a lot of light	nongold
37	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
38	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	gold
39	color is a kind of physical; visual property	nongold
40	if an object is blue , then that object absorbs all the lights except blue light	nongold
41	winter is a kind of season	nongold
42	to receive sunlight means to absorb sunlight	nongold
43	sunlight means solar energy	nongold
44	a human is a kind of animal	nongold
45	an increase is the opposite of a decrease	nongold
46	shade means low sunlight	nongold
47	intensity of sunlight is similar to amount of sunlight	nongold
48	Autumn is a kind of season	nongold
49	appearance is a property of objects; materials	nongold
50	summer follows spring	nongold
51	as lightness in color of an object increases , the ability of that object to reflect light will increase	gold
52	the sun is a source of light; light energy called sunlight	nongold
53	to put on means to wear	nongold
54	winter means environmental; outdoor temperature decreases	nongold
55	the amount of daylight is least in the winter	nongold
56	spring is a kind of season	nongold
57	to be good for means to have a positive impact on	nongold
58	coloration means a pattern of colors	nongold
59	sunlight is a kind of solar energy	nongold
60	a sunny day has  lots of sunlight	nongold
61	reflection is a property of light	nongold
62	less is similar to decrease	nongold
63	receiving sunlight  is synonymous with absorbing sunlight	nongold
64	An example of camouflage is when something is; has the same color as its environment	nongold
65	daylight occurs during the day	nongold
66	spring follows winter	nongold
67	if something is outside during the day , then that something will reflect enough light to be seen	nongold
68	when the seasons change from the summer to the fall , the amount of daylight will decrease	nongold
69	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
70	if something is outside during the day then that something will receive sunlight	nongold
71	less is the opposite of more	nongold
72	gray is a combination of black and white	nongold
73	white light is made of all colors of visible light combined	nongold
74	black is dark in color	nongold
75	black is a kind of color	nongold
76	fall is a kind of season	nongold
77	winter is a part of the year	nongold
78	the sun is a source of radiation; heat called sunlight	nongold
79	the sunlight occurs during the day	nongold
80	a living thing is a kind of object	nongold
81	An example of camouflage is when something changes color in order to have the same color as its environment	nongold
82	high is similar to increase	nongold
83	low is similar to decrease	nongold
84	to lower means to decrease	nongold
85	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
86	to reduce means to decrease	nongold
87	to look like means to have the visual properties of	nongold
88	if a living thing requires something then that something has a positive impact on that living thing	nongold
89	spring has warm temperatures; weather	nongold
90	light means light energy	nongold
91	being in the sun is synonymous with being in the sunlight	nongold
92	greater means higher; more in value	nongold
93	as the sunlight absorbed by the object increases ,  the temperature of the object  will increase more	nongold
94	resemble means look like	nongold
95	negative impact is the opposite of positive impact	nongold
96	fall follows summer	nongold
97	fall means autumn	nongold
98	purple;violet;magenta is a kind of color	nongold
99	objects are made of materials; substances; matter	nongold
