Question	The periodic table provides information about the atoms of different elements. Which is a characteristic of an atom determines what element it is?	question
Answer	number of protons	answer
0	a proton is a part of an atom; an element	gold
1	atomic number means proton number	nongold
2	an atom is made of protons; neutrons; electrons	nongold
3	protons are found in the nucleus of an atom	nongold
4	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
5	protons are a kind of subatomic particle	nongold
6	atomic number is a property of elements	nongold
7	proton is a kind of subatomic particles	nongold
8	an element is identified by its number of protons	gold
9	an atom is the smallest particle; unit that has the properties of an element	gold
10	how many means what number	nongold
11	trait is synonymous with characteristic	nongold
12	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
13	amount is similar to number	nongold
14	the Periodic Table is a table displays elements	nongold
15	a part of something means a characteristic of something	nongold
16	one is a kind of number	nongold
17	the nucleus of an atom is usually made of both protons and neutrons	nongold
18	an  element is a kind of atom	nongold
19	the number of parts of something is a property of that something	gold
20	what an object is made of is a kind of characteristic	nongold
21	characteristic means property	gold
22	the atomic number of elements increases by 1 from left to right on a row on the periodic table	nongold
23	four is a kind of number	nongold
24	an element is made of one kind of atoms	nongold
25	trait means property	nongold
26	answering questions requires information	nongold
27	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
28	feature is synonymous with characteristic	nongold
29	the number in chemical formula shows the number of atoms of each element in a molecule	nongold
30	matter; materials; substances are made of atoms; particles	nongold
31	knowing the properties of something means knowing information about that something	nongold
32	an atom is a kind of object	nongold
33	many means high in number	nongold
34	identifying is similar to determining	gold
35	data means information	nongold
36	protons and neutrons are formed during nuclear fusion	nongold
37	a property is a kind of information	nongold
38	determining often requires measuring; observing	nongold
39	an electron is a kind of charged particle	nongold
40	a table is a kind of object	nongold
41	composition is a kind of information	nongold
42	determine is similar to cause	nongold
43	an atom is exceptionally small in size	nongold
44	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
45	information is used to describe something	nongold
46	an element is a kind of  substance	nongold
47	the structure  of an atom can be used for identifying the element	nongold
48	the periodic table is arranged in rows and columns	nongold
49	a Periodic Table is a kind of scientific  model	nongold
50	if an object has a negative net charge then that object contains more electrons than protons	nongold
51	to impact means to affect	nongold
52	a molecule is made of atoms chemically combined; bonded	nongold
53	atoms are made of particles	nongold
54	causing is a kind of affecting	nongold
55	different types of matter have different chemical properties	nongold
56	to change means to become different	nongold
57	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
58	electron configuration is a property of elements	nongold
59	chemical reactions do not cause the total number of atoms to change	nongold
60	hydrogen is a kind of element	nongold
61	elements in group 18 on the Periodic Table of Elements have full; complete outer electron shells	nongold
62	electrons surround; orbit the nucleus of an atom	nongold
63	to cause means to have an effect	nongold
64	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
65	a description sometimes provides information	nongold
66	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	nongold
67	hydrogen is located on the left side; first column on the periodic table	nongold
68	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
69	trait is a kind of genetic information	nongold
70	all elements are a kind of pure substance	nongold
71	the basic unit of matter is atom	nongold
72	to be made of something means to be formed of that something	nongold
73	opposite is a kind of different	nongold
74	an element is a kind of material	nongold
75	carbon is a kind of element	nongold
76	different is the opposite of the same	nongold
77	if a substance is made of one element , then the substance is called an element	nongold
78	fewer means lower; less in number	nongold
79	a source of something emits; produces; generates; provides that something	nongold
80	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
81	helium; neon; argon; krypton; xenon; radon is located in noble gases family; group 18 on the periodic table	nongold
82	if something is made by something else then that something is affected by that something else	nongold
83	elements in the same group on the Periodic Table of Elements have similar properties	nongold
84	provide is similar to give; make	nongold
85	if two elements are next to each other  on the Periodic Table , then the two elements will have similar size of atoms	nongold
86	determining is similar to learning	nongold
87	a halogen is a kind of element	nongold
88	interatomic means existing or acting between atoms	nongold
89	the effects of something is a property of that something	nongold
90	composed of means made of	nongold
91	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
92	to classify means to decide what class something belongs to	nongold
93	largest amount means most	nongold
94	N means newton	nongold
95	classifying means grouping objects; materials by their properties	nongold
96	indication is similar to a piece of information	nongold
97	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
98	fewest means lowest; least in number	nongold
99	substances are made of elements	nongold
