Question	Many bacteria are decomposer organisms. Which of the following statements best describes how these bacteria help make soil more fertile?	question
Answer	The bacteria break down plant and animal matter.	answer
0	a bacterium is a kind of decomposer	nongold
1	a decomposer is usually a bacterium; fungus	nongold
2	decomposition is when a decomposer breaks down dead organisms	gold
3	bacteria is a kind of living thing	nongold
4	a decomposer is a kind of living thing	gold
5	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	gold
6	a bacterium is a kind of organism	nongold
7	bacteria is a part of soil	nongold
8	a microorganism is a kind of decomposer	nongold
9	fertile soil is high in quality	gold
10	dead organisms are the source of nutrients for decomposers	nongold
11	plant and animal matter means organic matter	gold
12	a plant is a kind of organism	gold
13	a plant is a kind of living thing	nongold
14	soil fertility means the ability of soil to sustain plant growth	nongold
15	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
16	In the food chain process bacteria have the role of decomposer	nongold
17	soil contains nutrients for plants	nongold
18	an animal is a kind of living thing	nongold
19	to decompose means to decay	nongold
20	to split means to break down	nongold
21	decomposition increases the  amount of nutrients; nitrogen in the soil	gold
22	In the food chain process fungi have the role of decomposer	nongold
23	an organism is a living thing	gold
24	a plant requires soil for survival; to grow	nongold
25	break down means change from a whole into pieces	nongold
26	helping something has a  positive impact on that something	nongold
27	break apart means break down	nongold
28	decomposition  increases amount of organic matter in soil	nongold
29	to break down means to break into smaller pieces	nongold
30	soil is a kind of material	nongold
31	dissolving is similar to breaking down	nongold
32	an animal is a kind of organism	gold
33	helping means something can be done; completed more easily; better	nongold
34	soil is made of solid particles	nongold
35	green plants are a kind of producer	nongold
36	to be used  for something means to help to do that something	nongold
37	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
38	an organism is made of organic matter	gold
39	to help; to benefit means to be of use	nongold
40	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	gold
41	best means most positive	nongold
42	an organism is a source of organic matter	nongold
43	soil is usually part of an environment	nongold
44	to decompose means to separate	nongold
45	crumble means break down	nongold
46	to cause means to make	nongold
47	separate is similar to break down	nongold
48	breaking down is a kind of forming	nongold
49	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
50	the properties of something are used for describing that something	nongold
51	breaking down is a kind of function	nongold
52	take apart means break down	nongold
53	substances are made of matter	nongold
54	nutrients are a kind of matter	nongold
55	to help means to aid	nongold
56	many means high in number	nongold
57	cracking something may cause that something  to break apart	nongold
58	high is similar to increase	nongold
59	changes in the pH of soil can cause plants to die	nongold
60	decomposing is similar to separating	nongold
61	make means produce	nongold
62	when plant parts are mixed with soil then the amount  of oganic matter in the soil will increase	nongold
63	providing something means making;delivering something	nongold
64	a producer is a kind of living thing	nongold
65	soil is a renewable resource for growing plants	nongold
66	renewing soil increases nutrients in the soil	nongold
67	increase means more	gold
68	negative impact is the opposite of positive impact	nongold
69	a worm is a kind of decomposer	nongold
70	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
71	if a living thing requires something then that something has a positive impact on that living thing	nongold
72	if something is made of something else then that something can be broken down into that something else	nongold
73	soil is a kind of nonliving thing	nongold
74	soil contains water; humus; weathered rocks; organic matter	nongold
75	a plant; living thing requires nutrients to grow	nongold
76	to add means to increase	nongold
77	bacteria is small; microscopic in size	nongold
78	decomposition is a kind of process	nongold
79	helping means to assist in a change	nongold
80	plant parts are made of plants	nongold
81	break down is the opposite of put together	nongold
82	a plant; living thing requires food for survival	nongold
83	an animal; living thing requires nutrients for survival	nongold
84	biotic means living	nongold
85	requiring is similar to needing help	nongold
86	a plant is a member of a plant species	nongold
87	an earthworm is a kind of decomposer	nongold
88	bacteria is a kind of pathogen sometimes	nongold
89	materials are made of matter	nongold
90	a source of something emits; produces; generates; provides that something	nongold
91	a fungus is a kind of organism	nongold
92	low quality soil has a small; a low number of nutrients	nongold
93	a plant is made of plant cells	nongold
94	organisms mean life	nongold
95	if something causes a process then that something is required for that process	nongold
96	plants are a part of the environment	nongold
97	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
98	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
99	soil is found on the surface of the Earth	nongold
