Question	Compared to Earth, the Moon is	question
Answer	drier.	answer
0	drier means lower in amount of water; wetness; moisture	gold
1	the Moon has less water; air than Earth	gold
2	a moon is a kind of celestial object; body	nongold
3	the Moon is Earth's moon	nongold
4	the Moon is closer to the Earth than the Sun	nongold
5	Earth is a kind of planet	nongold
6	the moon is the celestial object that is closest to the  Earth	nongold
7	a planet's  moon is smaller than that planet	nongold
8	the moon is less bright than the sun	nongold
9	a planet is a kind of celestial object; body	nongold
10	moons are large; solid; spherical	nongold
11	to lower means to decrease	nongold
12	dry means low in amount of water; wetness; moisture	nongold
13	the moon does not contain air; water	nongold
14	less is similar to decrease	nongold
15	to reduce means to decrease	nongold
16	low is similar to decrease	nongold
17	colder; cooler means lower in temperature	nongold
18	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
19	an increase is the opposite of a decrease	nongold
20	the new moon is when the dark half of the moon faces the Earth	nongold
21	the moon orbits the Earth	nongold
22	high is similar to increase	nongold
23	lower means less	gold
24	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
25	type of moon; kind of moon means moon phase	nongold
26	closer means lower; less; a decrease in distance	nongold
27	the earth has more mass than the moon	nongold
28	the new moon is when the lighted half of the moon faces the Sun	nongold
29	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
30	wet is the opposite of dry	nongold
31	Earth is a planet that is closer to the  Sun than Jupiter	nongold
32	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
33	acidic means low; 0 to 6 in pH	nongold
34	little is similar to decrease	nongold
35	to slow; to slow down decreases speed	nongold
36	low means down	nongold
37	drying means amount of water; amount of liquid; wetness decreases	nongold
38	harming something has a  negative impact on; effect on that something	nongold
39	poor health;bad health;unhealthy is the opposite of good health;healthy	nongold
40	the sun is a source of light; light energy called sunlight	nongold
41	requiring is similar to needing help	nongold
42	lowest means least in value; amount; number	nongold
43	extreme means very high in value	nongold
44	low is the opposite of high	nongold
45	a moon is located in space	nongold
46	nonliving; non-living; die is the opposite of living; alive; live	nongold
47	a new moon is a kind of phase of the moon	nongold
48	too much is similar to increase	nongold
49	temperature is a measure of heat energy	nongold
50	smaller means less; lower in size	nongold
51	comparing requires measuring	nongold
52	to add means to increase	nongold
53	counter means reduce; stop; resist	nongold
54	an animal is a kind of living thing	nongold
55	a living thing is a kind of object	nongold
56	a decrease is a kind of change	nongold
57	to cause means to make	nongold
58	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
59	to give is similar to to cause	nongold
60	cold means low in temperature	nongold
61	hot is the opposite of  cold	nongold
62	the moon reflects sunlight towards the Earth	nongold
63	lighter means lower; less in weight	nongold
64	being unhealthy has a negative impact on an organism	nongold
65	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
66	a full moon is a kind of phase of the moon	nongold
67	Earth is the planet that is third closest to the  Sun	nongold
68	near; close is the opposite of far; away	nongold
69	a human is a kind of animal	nongold
70	weaker is the opposite of stronger	nongold
71	to turn means to change	nongold
72	to a  human a air; environment temperature of 0 C to 10 C is considered cold	nongold
73	dying is the opposite of living; surviving	nongold
74	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
75	the  moon's surface contains flat areas	nongold
76	a moon is a kind of satellite	nongold
77	affected means changed	nongold
78	weak means low in strength	nongold
79	fewer means lower; less in number	nongold
80	each of the moon's phases occurs once per month	nongold
81	comparing requires observing that something	nongold
82	to change means to cause a change	nongold
83	dark means a low amount of light	nongold
84	a new moon occurs 14 days after a full moon	nongold
85	heat means heat energy	nongold
86	toward is the opposite of away	nongold
87	not is similar to the opposite of	nongold
88	dark is the opposite of light	nongold
89	hot means high in heat energy; temperature	nongold
90	to a  human a air; environment temperature of -273 C to 0 C is considered very cold	nongold
91	staying means not changing	nongold
92	answering questions requires information	nongold
93	a phase of the moon is a kind of state	nongold
94	cooler means colder	nongold
95	moisture means liquid; liquid water	nongold
96	greatest means largest; highest; most amount of something	nongold
97	little means low in amount	nongold
98	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
99	less is the opposite of more	nongold
