Question	Which of these geographic features most directly influences the climate of Nevada by limiting the amount of water vapor that can reach the state and fall as rain?	question
Answer	Sierra Nevada Mountains	answer
0	mountains can limit the water vapor reaching a location	gold
1	the Sierra Nevada is a kind of mountain range	gold
2	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
3	Nevada is a state located in the United States of America	gold
4	the climate in Nevada is low in humidity	nongold
5	precipitation is when water falls from the sky	nongold
6	to limit means to decrease	nongold
7	influence means effect	nongold
8	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
9	rain is a kind of precipitation	nongold
10	influence means impact	nongold
11	rain; snow falls	nongold
12	rain is a kind of water	nongold
13	if water vapor is limited to reach a location , then that location    will be dry	nongold
14	a restriction can be used to limit something; keep something low	nongold
15	a mountain; mountain range is a kind of environment	nongold
16	a climate is synonymous with an environment	nongold
17	rainfall means the amount of precipitation	nongold
18	rainfall means precipitation	nongold
19	a state is a kind of place	nongold
20	rain is a source of water	nongold
21	cause is similar to influence	gold
22	a mountain is a kind of land feature	nongold
23	impact means effect	nongold
24	precipitation is a kind of weather	nongold
25	precipitation is a property of weather	nongold
26	to change means to have an effect	nongold
27	an area receiving rain means rain falling in that area	nongold
28	to impact means to affect	nongold
29	rainfall is the amount of rain an area receives	nongold
30	limiting a source of something tht has a negative impact on something else has a  positive impact on that something else	nongold
31	vapor is synonymous with gas	nongold
32	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
33	change is a kind of impact	nongold
34	climate is the usual kind of weather in a location over a period of time	nongold
35	temperature is a property of weather	nongold
36	precipitation is a kind of natural occurrence; cause	nongold
37	to cause means to have an effect	nongold
38	a mountain range contains mountains	gold
39	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
40	a decrease is a kind of change	nongold
41	storms;rain cause bodies of water to increase amount of water they contain	nongold
42	the surface of the Earth contains mountains	nongold
43	temperature is a measure of heat energy	nongold
44	state means form	nongold
45	rainwater is a kind of water	nongold
46	to reduce means to decrease	nongold
47	Nevada produces more gold than any other state	nongold
48	to lower means to decrease	nongold
49	a region is similar to an environment	nongold
50	Nevada has abundant sunshine	nongold
51	having an impact on something means altering that something	nongold
52	a body of water is a kind of land feature	nongold
53	affected means changed	nongold
54	a mountain is made of rocks; soil	nongold
55	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
56	An example of a change in climate is  the average amount of annual precipitation decreases	nongold
57	landform means surface feature; physical feature; land feature	nongold
58	an increase is the opposite of a decrease	nongold
59	weather is a property of a environment	nongold
60	causing is a kind of affecting	nongold
61	mountains can  cause the water in the air mass to condense	nongold
62	water vapor has an impact on weather conditions associated with an air mass	nongold
63	an environment is a kind of place	nongold
64	high is similar to increase	nongold
65	water vapor is found in the atmosphere	nongold
66	an environment means an area	nongold
67	low is similar to decrease	nongold
68	fall means autumn	nongold
69	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
70	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
71	precipitation is a kind of  natural process	nongold
72	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
73	a mountain is a kind of landform	nongold
74	average amount of precipitation is a property of climate	nongold
75	less is similar to decrease	nongold
76	if something is required for a process then that something positively impacts that process	nongold
77	an increase is a kind of change	nongold
78	water is a part of an environment	nongold
79	a mountain is high in altitude	nongold
80	dropping something causes that something to fall	nongold
81	water vapor is a kind of greenhouse gas	nongold
82	many mountain ranges are no longer covered in water	nongold
83	water is a kind of substance	nongold
84	place means area	nongold
85	reducing is a kind of change	nongold
86	extreme means very high in value	nongold
87	heat has a great impact on weather	nongold
88	to drop means to fall	nongold
89	fall is a kind of season	nongold
90	to add means to increase	nongold
91	a structure is a kind of feature	nongold
92	if something affects a part of something else then that something affects that something else	nongold
93	region means place	nongold
94	An example of moisture is water vapor in the atmosphere	nongold
95	clouds are made of water vapor; rain droplets	nongold
96	weather  usually happens in troposphere	nongold
97	water vapor condensing in clouds causes rain	nongold
98	phase means state	nongold
99	limiting something is a kind of activity	nongold
