Question	Bluebirds prefer to live near open, grassy places. Where would you most likely find a bluebird?	question
Answer	a ball field	answer
0	a ball field is open; grassy	gold
1	a field is a kind of habitat	nongold
2	bluebirds live in open spaces; grassy spaces	gold
3	near means close	nongold
4	near; close is the opposite of far; away	nongold
5	a field is a kind of environment	nongold
6	place is synonymous with location	nongold
7	near means local	nongold
8	place means area	nongold
9	attracting something to a location causes that something  to be near that location	nongold
10	a ball is a kind of object	nongold
11	a bird is a kind of animal	nongold
12	a bird is a kind of living thing	nongold
13	an animal is a kind of living thing	nongold
14	far is the opposite of close	nongold
15	animals; living things live and feed in their habitats; near their habitats	nongold
16	seeking something means trying to find; searching for something	nongold
17	an environment is a kind of place	nongold
18	area is similar to location	nongold
19	finding something means locating that something	nongold
20	if something is located  in somewhere , then something can be found in somewhere	nongold
21	if something is located in some place , then the presence of that something can be found in that location	nongold
22	close means low in distance	nongold
23	an environment means an area	nongold
24	blue is a kind of color	nongold
25	a living thing is a kind of object	nongold
26	an animal is a kind of organism	nongold
27	surroundings means environment	nongold
28	habitat is similar to environment	nongold
29	most predators live in; live near the same environment as their prey	nongold
30	organisms; living things live in their habitat; their home	nongold
31	an animal requires a habitat for survival	nongold
32	an organism is a living thing	nongold
33	place means space	nongold
34	if something does not move then that something can be found in the same location	nongold
35	a field contains soil	nongold
36	a plant is a kind of living thing	nongold
37	a landform is a kind of place	nongold
38	a landform is a kind of place	nongold
39	search for means seek to find	nongold
40	a plant; living thing requires food for survival	nongold
41	if something is a part of something then that something can be found in that something	nongold
42	a plant is a kind of organism	nongold
43	to be in danger means to be around; to be near something dangerous	nongold
44	finding something requires sensing that something	nongold
45	if something required by something else is in a place then that something else may be in that place	nongold
46	a mammal is a kind of animal	nongold
47	if a living thing requires something then that something has a positive impact on that living thing	nongold
48	A bird is a pollinating animal	nongold
49	some birds are predators	nongold
50	a blue jay is a kind of bird	nongold
51	objects in an environment are a part of that environment	nongold
52	an animal; living thing requires nutrients for survival	nongold
53	an insect is a kind of animal	nongold
54	to detect means to find	nongold
55	spot means location	nongold
56	hiding means visibility; ability to be seen decreases for camouflage	nongold
57	a plant requires a habitat for survival	nongold
58	a human is a kind of animal	nongold
59	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
60	being around something means surrounding  that something	nongold
61	to see means to look	nongold
62	organisms are a part of an environment	nongold
63	an insect is a kind of prey	nongold
64	grass is a kind of green plant	nongold
65	sight means to see	nongold
66	a butterfly is a kind of organism	nongold
67	life means living things	nongold
68	organisms can be found in their habitats	nongold
69	closer means lower; less; a decrease in distance	nongold
70	place; location is synonymous with position	nongold
71	the location of an object can be used to describe that object	nongold
72	a landform is a kind of object	nongold
73	an animal is a member of an animal species	nongold
74	a source of something emits; produces; generates; provides that something	nongold
75	a population is made of one type of organism in an area	nongold
76	a tennis ball is a kind of ball	nongold
77	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
78	often is similar to likely	nongold
79	color is a kind of physical; visual property	nongold
80	discovering something usually requires seeing that something	nongold
81	green is a kind of color	nongold
82	usually something can be found  near a source in greater concentrations	nongold
83	a type is synonymous with a kind	nongold
84	survive means live	nongold
85	survive means live	nongold
86	a butterfly is a kind of insect	nongold
87	harming something has a  negative impact on; effect on that something	nongold
88	sensing food has a positive impact on finding food	nongold
89	a bird is warm-blooded	nongold
90	a duck is a kind of bird	nongold
91	plants are a part of the environment	nongold
92	a hummingbird is a kind of bird	nongold
93	nonliving; non-living; die is the opposite of living; alive; live	nongold
94	studying moving habits requires knowing location	nongold
95	An insect is a pollinating animal	nongold
96	found in means existing in	nongold
97	not looking means not seeing	nongold
98	a hummingbird is a kind of animal	nongold
99	feeling is when an living thing senses through touch	nongold
