Question	The interaction of the skeletal and muscular systems to produce locomotion is coordinated by which human body system?	question
Answer	nervous	answer
0	locomotion means movement	gold
1	the skeletal system is a kind of body system	gold
2	a skeletal system is a part of an animal	nongold
3	the nervous system is a part of the body of an animal	nongold
4	the muscular system is a kind of body; organ system	gold
5	the nervous system is a kind of body; organ system	gold
6	the nervous system contains nerves	nongold
7	the muscular and nervous systems working together causes a reflex	nongold
8	the nervous system is the vehicle for controlling the body	gold
9	the muscular system contains muscles	gold
10	locomotion is a generally learned behavior	nongold
11	the nervous system is used for controlling the body	nongold
12	a body system is a part of the body; an animal	nongold
13	a human is a kind of animal	nongold
14	nervous system is an electrical; electric conductor	nongold
15	a source of something emits; produces; generates; provides that something	nongold
16	generate means produce	nongold
17	skeletal system is made of bones	gold
18	the brain can control animal body through the nervous system	nongold
19	a body system is a kind of object	nongold
20	an animal is a kind of living thing	nongold
21	converting is similar to producing	nongold
22	human is a kind of organism	nongold
23	to contribute is similar to produce	nongold
24	an animal is a kind of organism	nongold
25	producing is a kind of function	nongold
26	the skeletal system gives structure to the body in animals	nongold
27	producing is similar to causing	nongold
28	organ system means body system	nongold
29	the body is a part of an organism	nongold
30	limbs are part of an animal	nongold
31	an organism is a living thing	nongold
32	to produce means to provide	nongold
33	a neuron is a kind of nervous system cell	nongold
34	a mechanism is a kind of system that performs a function	nongold
35	internal organs are a part of the body	nongold
36	a human is a kind of mammal	nongold
37	living things perform biological processes	nongold
38	emit means produce	nongold
39	organs are a smaller level of organization than organ systems in living things	nongold
40	to produce means to create	nongold
41	make means produce	nongold
42	an animal's brain controls that animal	nongold
43	to produce means to result in	nongold
44	a skeletal system is a part of an animal for providing support; providing shape; providing protection	nongold
45	the skeleton is a part of the skeletal system	nongold
46	to be formed by is similar to being produced by	nongold
47	an organ system is made of different parts of the body working together	nongold
48	tissues are a smaller level of organization than organs in living things	nongold
49	flying is a kind of locomotion	nongold
50	producing is a kind of process	nongold
51	muscle tissue is a kind of tissue	nongold
52	the nervous system sends observations in the form of electrical signals to the rest of the body	nongold
53	products are formed; are produced; are created	nongold
54	the spinal cord is a part of the central nervous system	nongold
55	a brain is a part of an animal	nongold
56	the brain is a part of the central nervous system	nongold
57	system means a set of objects	nongold
58	a bone is a part of a body	nongold
59	some mature animals can do types of locomotion that immature animals cannot do	nongold
60	a brain is a kind of internal organ	nongold
61	the neuron is the smallest functional unit; structural unit of the nervous system	nongold
62	a component means a part of	nongold
63	system is similar to structure	nongold
64	bone cells are a part of the body	nongold
65	the brain is a part of the body	nongold
66	a process is a kind of event	nongold
67	an event is a kind of action	nongold
68	the function of something is what that something  is used to do	nongold
69	a reaction is a kind of process	nongold
70	a process usually requires all of the stages in that process	nongold
71	to generate means to create	nongold
72	muscle cells are a part of muscles	nongold
73	to generate means to form	nongold
74	a living thing is a kind of object	nongold
75	a component of something means a part of that something	nongold
76	can be means able to be	nongold
77	the endocrine system is a kind of body; organ system	nongold
78	motion; movement means moving; to move	nongold
79	forming is a kind of action	nongold
80	action means activity	nongold
81	causing is a kind of function	nongold
82	a living thing is made of cells	nongold
83	the body of an animal contains arteries; veins	nongold
84	a part of a process means a stage in a process	nongold
85	producing is similar to releasing	nongold
86	anatomy studies the body structure of organisms	nongold
87	muscular movement helps animals move	nongold
88	if something causes an increase in something else then that something produces that something else	nongold
89	creating is similar to causing	nongold
90	the digestive system is a kind of body; human system	nongold
91	a physical reaction is a kind of process	nongold
92	if something is made by something else then that something is affected by that something else	nongold
93	a part of a living thing is a natural structure	nongold
94	to be involved in something means to have a role in something	nongold
95	legs are usually a part of an animal	nongold
96	revolving is a kind of action	nongold
97	an animal requires stamina; cardiovascular efficiency to succeed at physical activities	nongold
98	actions mean behavior	nongold
99	causing is similar to generating	nongold
