Question	According to a pH scale, which pH would be the strongest acid?	question
Answer	3	answer
0	weak means low in strength	nongold
1	strong means high in strength	nongold
2	acidic means low; 0 to 6 in pH	gold
3	pH is a measure of acidity of a substance ranging from 0 to 14	gold
4	weaker is the opposite of stronger	nongold
5	an acid is acidic	nongold
6	greatest means largest; highest; most amount of something	nongold
7	P means phosphorus	nongold
8	pure water is neutral; 7 in pH level	nongold
9	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
10	a scale is hard	nongold
11	neutral means 7 in pH	nongold
12	if something weakens , then that something is weaker	nongold
13	high is similar to increase	nongold
14	according to is similar to be determined by	nongold
15	strength is a kind of property	nongold
16	strength is a property of an object; a material	nongold
17	lowest means least in value; amount; number	gold
18	acid rain is acidic	nongold
19	acid can cause chemical change	nongold
20	a base is basic	nongold
21	a scale is a part of a fish	nongold
22	furthest; farthest means greatest; most; highest in distance	nongold
23	being stronger usually has a positive impact on an organism's; living thing's health	nongold
24	a human is a kind of animal	nongold
25	an acid is often sour in taste	nongold
26	cytosine is a kind of nitrogenous base in DNA; RNA	nongold
27	DNA is a kind of nucleic acid	nongold
28	least is the opposite of greatest	nongold
29	an acid is corrosive	nongold
30	greater means higher; more in value	nongold
31	a scale is used for measuring weight	nongold
32	guanine is a kind of nitrogenous base in DNA; RNA	nongold
33	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
34	heaviest means greatest mass; weight	nongold
35	RNA is a kind of nucleic acid	nongold
36	lower means less	nongold
37	Vitamin D strengthens; heals bones	nongold
38	if something is strong then that something  does not break easily	nongold
39	an animal is a kind of organism	nongold
40	all elements are a kind of pure substance	nongold
41	chlorine is a kind of green, poisonous gas	nongold
42	higher means greater; above in value; amount; number	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	vinegar is a kind of acid	nongold
45	chlorine is a kind of element	nongold
46	extreme means very high in value	nongold
47	An example of a chemical change is acid breaking down substances	nongold
48	neutralization is when an acid and a base react to form water and salt	nongold
49	hydrochloric acid is a kind of acid	nongold
50	a molecule is the smallest particle; unit that has the properties of a compound	nongold
51	less is similar to decrease	nongold
52	made up of means contains; made of	nongold
53	both means two	nongold
54	digestion is when stomach acid breaks down food	nongold
55	glycogen is a kind of substance	nongold
56	measuring requires reading a measurement	nongold
57	not is similar to the opposite of	nongold
58	acidic rainwater contains acid	nongold
59	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
60	if something is dissolved , then that something is the solute	nongold
61	guanine; G is the complementary base of cytosine; C in DNA	nongold
62	an animal is a kind of living thing	nongold
63	propane;C_{3}H_{8} is a kind of gas at room temperature	nongold
64	an animal's scales are small in size	nongold
65	a mammal is a kind of animal	nongold
66	highest means largest; greatest; most in height	nongold
67	unbalanced is the opposite of balanced	nongold
68	a ratio is a measure of one measure over another measure; divided by another measure	nongold
69	low is similar to decrease	nongold
70	a nutrient is a kind of chemical compound	nongold
71	a  chemical property is a kind of  property	nongold
72	an event is a kind of action	nongold
73	weakness has a negative impact on an animal's survival; health; ability to reproduce	nongold
74	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
75	largest means greatest in size	nongold
76	composed of means made of	nongold
77	can be means able to be	nongold
78	low is the opposite of high	nongold
79	affected means changed	nongold
80	Fluorine(F); Chlorine(Cl); Bromine(Br); Iodine(I); Astatine(At) is located in halogens family; group 17 on the periodic table	nongold
81	uracil is a kind of nitrogenous base in RNA	nongold
82	adenine is a kind of nitrogenous base in DNA; RNA	nongold
83	nitrogen is a kind of element	nongold
84	stomach acid contains enzymes	nongold
85	a ratio is a measure of  one value divided by another value	nongold
86	a chemical property is the opposite of a physical property	nongold
87	soft is a kind of hardness	nongold
88	a worm is a kind of animal	nongold
89	water is a kind of compound	nongold
90	reptiles have scales	nongold
91	to lower means to decrease	nongold
92	N means nitrogen	nongold
93	an element is a kind of  substance	nongold
94	a compound can be chemically separated into the elements that it is made of	nongold
95	reactive is the opposite of unreactive	nongold
96	a  solute is a part of a solution	nongold
97	chemically unreactive is similar to stable	nongold
98	a factor impacts something	nongold
99	organisms are made of organic compounds	nongold
