Question	In any physical or chemical process, what two quantities are always conserved?	question
Answer	matter and total energy	answer
0	matter; energy is always conserved in any physical or chemical process	gold
1	quantity means amount	nongold
2	chemical energy is a kind of energy	nongold
3	both means two	nongold
4	to conserve means to not change	nongold
5	matter; materials; substances are made of atoms; particles	nongold
6	when one kind of energy changes into another kind of energy , the total amount of energy is constant	nongold
7	substances are made of matter	nongold
8	particles in objects are a kind of matter	nongold
9	heat is a kind of energy	nongold
10	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
11	food is a kind of chemical energy	nongold
12	physical state means state of matter	nongold
13	a process is a kind of event	nongold
14	state of matter means physical state	nongold
15	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
16	a physical reaction is a kind of process	nongold
17	all elements are a kind of pure substance	nongold
18	objects are made of materials; substances; matter	nongold
19	all the other means the rest of	nongold
20	answering questions requires information	nongold
21	an event is a kind of action	nongold
22	solid is a kind of state of matter	nongold
23	heat means heat energy	nongold
24	objects contain chemical energy	nongold
25	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
26	different substances usually have different amount of chemical energy	nongold
27	a cycle is a kind of process	nongold
28	state of matter is a kind of physical property	nongold
29	material means substance	nongold
30	variable means able to change	nongold
31	a component of something means a part of that something	nongold
32	an increase is a kind of change	nongold
33	a reaction is a kind of process	nongold
34	gas is a kind of state of matter	nongold
35	change is a kind of process	nongold
36	atoms are made of particles	nongold
37	formation of a state of matter is a kind of process	nongold
38	can be means able to be	nongold
39	a chemical reaction is a kind of process	nongold
40	liquid is a kind of state of matter	nongold
41	a component means a part of	nongold
42	a particle is a kind of object	nongold
43	100% probability means always	nongold
44	a source of something emits; produces; generates; provides that something	nongold
45	if something causes a process then that something is required for that process	nongold
46	state means form	nongold
47	an element is a kind of  substance	nongold
48	a process usually requires all of the stages in that process	nongold
49	matter is made of molecules	nongold
50	a pure substance is made of only one kind of atom; molecule	nongold
51	same means identical; equal in value; amount; number; quantity	nongold
52	compressibility is a property of  matter and includes ordered values of compressible; not compressible	nongold
53	materials are made of matter	nongold
54	definite is the opposite of variable	nongold
55	one in  two means half; 50%	nongold
56	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
57	usually means most of the time	nongold
58	an  element is a kind of atom	nongold
59	an atom is a kind of object	nongold
60	mechanical energy is a kind of energy	nongold
61	water is a kind of matter	nongold
62	made up of means contains; made of	nongold
63	a living thing is a kind of object	nongold
64	a part of a process means a stage in a process	nongold
65	composed of means made of	nongold
66	substances are made of elements	nongold
67	refraction is a kind of process	nongold
68	chemical change is the opposite of physical change	nongold
69	if something undergoes physical change then the chemical properties of that something will remain unchanged	nongold
70	chemicals means substances	nongold
71	once per means every	nongold
72	stay the same means not changing	nongold
73	if something is made of something else , then that something else will be the component of that something	nongold
74	replace means change from one thing into  another	nongold
75	hydrogen contains chemical energy	nongold
76	increase means more	nongold
77	if something gains something from something else then that something else is a source of that something	nongold
78	air is a kind of matter	nongold
79	to be used for something means to be required by that something	nongold
80	to depend on; to rely on; to need means to require	nongold
81	high is similar to increase	nongold
82	phase means state	nongold
83	a molecule is a kind of particle	nongold
84	the effects of something is a property of that something	nongold
85	a ratio is a measure of one measure over another measure; divided by another measure	nongold
86	energy transformation means one kind of energy changes into another kind of energy	nongold
87	thermal energy is a kind of energy	nongold
88	not is similar to the opposite of	nongold
89	seconds are a kind of unit for measuring time	nongold
90	a source of something increases the amount of that something	nongold
91	a motion is a kind of event; action	nongold
92	electrical energy is a kind of energy	nongold
93	an element is made of one kind of atoms	nongold
94	chemical reactions cause new substances; different substances to form	nongold
95	a change is a kind of event	nongold
96	something that happens is a kind of event	nongold
97	nuclear energy is a kind of energy	nongold
98	chemical reactions do not cause the total number of atoms to change	nongold
99	a decrease is a kind of change	nongold
