Question	In the morning, students observed puddles of water all over the playground. What would best explain why the playground was dry in the afternoon?	question
Answer	The water evaporated during the day.	answer
0	a puddle is a kind of body of water	gold
1	dry means low in amount of water; wetness; moisture	nongold
2	drying means amount of water; amount of liquid; wetness decreases	nongold
3	wet is the opposite of dry	nongold
4	afternoon is a part of day time	nongold
5	the afternoon is  a part of the day	nongold
6	moist means high in moisture	nongold
7	a dry environment is low in availability of water	nongold
8	playground is located outside	gold
9	moisture means liquid; liquid water	nongold
10	the sunlight occurs during the day	nongold
11	water is a kind of liquid at room temperature	nongold
12	drying up means losing all water	nongold
13	a wet object is a source of water	nongold
14	drier means lower in amount of water; wetness; moisture	nongold
15	if something is outside during the day then that something will receive sunlight	gold
16	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
17	heat means heat energy	nongold
18	the highest temperatures of a day are recorded during afternoon	nongold
19	if a liquid disappears then that liquid probably evaporated	nongold
20	a student is a kind of human	nongold
21	a liquid is a kind of substance	nongold
22	water is a kind of substance	nongold
23	temperature is a measure of heat energy	nongold
24	evaporation causes amount of water to decrease	nongold
25	as dryness increases in an environment , the available water in that environment will decrease	nongold
26	to reduce means to decrease	nongold
27	to lower means to decrease	nongold
28	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
29	absorbing sunlight causes objects to heat	nongold
30	adding heat means increasing temperature	nongold
31	heating means adding heat	nongold
32	if water vapor is limited to reach a location , then that location    will be dry	nongold
33	to be submerged means to be placed under	nongold
34	dry conditions can cause fire	nongold
35	An example of evaporation is a body of water drying up by absorbing heat energy	gold
36	daytime means day	nongold
37	an increase is the opposite of a decrease	nongold
38	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
39	low is similar to decrease	nongold
40	daylight occurs during the day	nongold
41	a human is a kind of animal	nongold
42	if something is caused by something else , then that something can be explained by that something else	nongold
43	storing water increases the water available to organisms in a dry environment	nongold
44	if heat is added to a substance then that substance absorbs that heat	nongold
45	water is a part of an environment	nongold
46	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
47	absorbing energy causes objects; materials; substances to heat	nongold
48	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
49	sunlight produces heat	nongold
50	to add means to increase	nongold
51	the day time is part of one day	nongold
52	high is similar to increase	nongold
53	as temperature during the day increases , the temperature in an environment will increase	nongold
54	as the amount of water in a body of water increases , the amount of water  evaporated from the body of water will increase	nongold
55	daily means every day; once per day	nongold
56	an animal is a kind of living thing	nongold
57	a source of something emits; produces; generates; provides that something	nongold
58	humidity is a property of  weather and include ordered values of dry; humid	nongold
59	heat energy is synonymous with thermal energy	nongold
60	moist means humid	nongold
61	heat means temperature increases	nongold
62	to limit means to decrease	nongold
63	if the surface of an object contains something then that object is covered with that something	nongold
64	water is an thermal; thermal energy conductor	nongold
65	the night time is part of one day	nongold
66	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
67	intense heat has a negative impact on an organism	nongold
68	an animal is a kind of organism	nongold
69	a body of water is a kind of environment	nongold
70	the night has cooler temperatures than the day	nongold
71	damp means a large amount of water	nongold
72	to receive sunlight means to absorb sunlight	nongold
73	a body of water contains water	nongold
74	if one surface; one substance; one object touches something then one is exposed to that something	nongold
75	a solid is a kind of substance	nongold
76	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
77	washing out means being moved from  by water	nongold
78	to wash away is a kind of movement by moving water	nongold
79	all the time means at day and at night	nongold
80	going to school generally occurs during the day	nongold
81	a decrease is a kind of change	nongold
82	sunlight means solar energy	nongold
83	daylight means sunlight	nongold
84	receiving sunlight  is synonymous with absorbing sunlight	gold
85	an object; material; substance comes from that object or material's source	nongold
86	if an object; something is in the sunlight then that object; that something will absorb solar energy	gold
87	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
88	usually a slide is located at a playground	nongold
89	boiling is when liquids are heated above their boiling point	nongold
90	solar energy is a kind of heat energy	gold
91	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
92	a body of water is a source of water	nongold
93	person is synonymous with human	nongold
94	objects are made of materials; substances; matter	nongold
95	observe means see	nongold
96	a park is a kind of environment	nongold
97	water is a kind of object	nongold
98	absorbance is when a wave absorbs at; stops at a surface	nongold
99	heat means the transfer of thermal energy	nongold
