Question	What tool would be most useful to calculate the volume of a glass prism?	question
Answer	ruler	answer
0	a prism is made of glass	nongold
1	a prism is a kind of object	nongold
2	a prism is a kind of tool for refracting light	nongold
3	a prism is used for refracting light	nongold
4	a ruler is a kind of tool for measuring length	gold
5	a prism refracts light	nongold
6	to measure means to calculate	gold
7	calculation means measurement	nongold
8	instrument means tool	nongold
9	glass is a kind of object	nongold
10	a tool is a kind of object	nongold
11	glass is a kind of solid at room temperature	nongold
12	a ruler is used for measuring the length of an object	gold
13	glass is a kind of material	nongold
14	useful means able to be used	nongold
15	glass is a kind of medium	nongold
16	size; amount of space means volume	gold
17	an instrument is a piece of equipment	nongold
18	timing; multiplying is a kind of calculating	nongold
19	the volume of an object can be used to describe  the size of that object	nongold
20	objects are made of materials; substances; matter	nongold
21	measuring requires reading a measurement	nongold
22	volume is a property of matter	nongold
23	glass is recyclable	nongold
24	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects	nongold
25	instrument means device	nongold
26	glass is a kind of open container	nongold
27	a graduated cylinder is used to measure volume of a liquid; of an object	nongold
28	can be means able to be	nongold
29	calculating is similar to estimating	nongold
30	if a property affects a value then that property is needed to calculate that value	nongold
31	round means circular in shape	nongold
32	materials are made of matter	nongold
33	an object is made of its parts	nongold
34	glass is a kind of product	nongold
35	unit is similar to part	nongold
36	milliliters is a kind of unit for measuring volume of liquids	nongold
37	property is similar to measurement	nongold
38	a simple machine is a kind of tool	nongold
39	Matter in the solid phase has definite volume	nongold
40	a glass contains water	nongold
41	composed of means made of	nongold
42	answering questions requires information	nongold
43	the function of something is what that something  is used to do	nongold
44	substances are made of matter	nongold
45	glass is durable	nongold
46	Matter in the liquid phase has definite volume	nongold
47	a measuring cup is a kind of tool for measuring the volume of substances	nongold
48	inventing a tool allows; enables that tool to be used	nongold
49	calculating speed requires knowing distance travelled	nongold
50	milliliters ( mL ) is a metric unit used for measuring volume generally used for values between 1.0 and 1000.0	nongold
51	if something is made of something else then that something can be broken down into that something else	nongold
52	most means over 50% of something	nongold
53	an increase is a kind of change	nongold
54	glass can be reused many times	nongold
55	a component means a part of	nongold
56	matter; materials; substances are made of atoms; particles	nongold
57	a piece is a part of a whole	nongold
58	measuring is used for describing an object	nongold
59	a measuring cup is used for measuring the volume of substances	nongold
60	cubic centimeter ( cm^3 ) is a metric unit used for measuring volume	nongold
61	glass; objects made of glass cause refraction of light	nongold
62	if an object is made of something then the parts of that object are made of that something	nongold
63	to be made of something means to be formed of that something	nongold
64	liters are a kind of unit for measuring volume of liquids	nongold
65	device means tool	nongold
66	to carry means to move something	nongold
67	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
68	cubic meter ( m^3 ) is a metric unit used for measuring volume	nongold
69	an event is a kind of action	nongold
70	according to is similar to be determined by	nongold
71	volume is an extensive property	nongold
72	coins are usually round	nongold
73	a source of something emits; produces; generates; provides that something	nongold
74	a magnifying glass is a kind of tool for observing small things	nongold
75	liquid is a kind of state of matter	nongold
76	to create means to make	nongold
77	useful means good to use	nongold
78	to be made of means to consist of	nongold
79	to carry means to transport	nongold
80	carrying something means moving that something	nongold
81	a motion is a kind of event; action	nongold
82	a type is synonymous with a kind	nongold
83	liters ( L ) is a metric unit used for measuring volume generally used for values between 1.0 and 50000000.0	nongold
84	rod is cylindrical in shape	nongold
85	to produce means to create	nongold
86	yards ( yd ) are a  imperial unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
87	to put on means to wear	nongold
88	variable means able to change	nongold
89	glass is made of sand	nongold
90	to make means to form	nongold
91	high is similar to increase	nongold
92	form means kind	nongold
93	a device is a kind of object	nongold
94	same means identical; equal in value; amount; number; quantity	nongold
95	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
96	a measurement is a kind of data	nongold
97	a process is a kind of event	nongold
98	a load of bricks is a kind of object	nongold
99	to be helpful means to help to do	nongold
