Question	Nonrenewable sources of energy have limited supplies. Researchers are developing devices that will make renewable energy more available. Which is a source of renewable energy?	question
Answer	wind	answer
0	wind is a source of energy	gold
1	wind is a renewable; inexhaustible resource	gold
2	a nonrenewable resource is limited in supply	nongold
3	wind is used for producing electricity	nongold
4	fossil fuels are a nonrenewable resource	nongold
5	renewable resources are often available for many years	nongold
6	a supply of something is a source of that something	nongold
7	a renewable resource is a kind of natural resource	nongold
8	fossil fuels are a kind of energy resource	nongold
9	renewable is the opposite of nonrenewable	nongold
10	an energy source is a kind of resource	gold
11	a source of something supplies that something	nongold
12	if a resource is limited in supply then that resource will run out	nongold
13	researcher is a kind of scientist	nongold
14	developing means making	nongold
15	if a resource is limited in supply then that resource needs to be replaced	nongold
16	a fossil fuel is a kind of natural resource	nongold
17	a scientist is a kind of human	nongold
18	a source of something emits; produces; generates; provides that something	nongold
19	resources becoming available has a positive impact on the things that need those resources	nongold
20	an inexhaustible resource is a kind of renewable resource	nongold
21	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
22	to depend on; to rely on; to need means to require	nongold
23	to be used for something means to be required by that something	nongold
24	instrument means device	nongold
25	solar energy is a renewable; inexhaustible resource	nongold
26	to provide something means to be the source of that something	nongold
27	oil is a kind of fossil fuel	nongold
28	the supply of an inexhaustible resource does not change over a long period of time	nongold
29	if something requires something else then that something requires a source of that something else	nongold
30	as the use of a resource decreases , the length of time that resource will be available increases	nongold
31	a source of something increases the amount of that something	nongold
32	resources sometimes are used for energy	nongold
33	oil is a nonrenewable resource	nongold
34	wind means moving air	nongold
35	increase means more	nongold
36	as the use of renewable resources use of renewable resources increases , use of nonrenewable resources will decrease	nongold
37	a device requires energy to operate	nongold
38	fuel supply is a kind of resource	nongold
39	answering questions requires information	nongold
40	if something causes a process then that something is required for that process	nongold
41	less is similar to decrease	nongold
42	if something is powered by something else then that something requires a source of that something else	nongold
43	if something comes from something else then that something else is a source of that something	nongold
44	windy means high wind speeds	nongold
45	where something  comes from is a source of that something	nongold
46	inexhaustible means always available	nongold
47	high is similar to increase	nongold
48	developing means growing	nongold
49	a wind turbine is a kind of windmill	nongold
50	requiring something means needing that something	nongold
51	if a resource is limited in supply then that resource should be recycled	nongold
52	petroleum is a kind of fossil fuel	nongold
53	to provide means to supply	nongold
54	an increase is the opposite of a decrease	nongold
55	if something is required for a process then that something positively impacts that process	nongold
56	as a system; a device grows old , that system; device will use more energy	nongold
57	if something is a raw material in a process then that something is required for that process	nongold
58	to cause means to make	nongold
59	natural gas is a nonrenewable resource	nongold
60	fossil fuels have high potential energy	nongold
61	developing means creating; inventing	nongold
62	the amount of something is similar to the availability of something	nongold
63	device means tool	nongold
64	making something requires resources	nongold
65	an event is a kind of action	nongold
66	research is used for learning	nongold
67	a renewable resource is a kind of naturally replaced resource	nongold
68	a generator is a kind of  device	nongold
69	natural gas is a kind of fossil fuel	nongold
70	renewable resources can be used over again	nongold
71	less is the opposite of more	nongold
72	an increase is a kind of change	nongold
73	make means produce	nongold
74	to power means to provide energy for	nongold
75	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
76	less means a reduced amount	nongold
77	oil is a kind of energy resource	nongold
78	oil is a source of energy	nongold
79	a process is a kind of event	nongold
80	a component means a part of	nongold
81	a component of something means a part of that something	nongold
82	if something generates energy for something else then that something powers that something else	nongold
83	producing renewable electric energy requires renewable resources	nongold
84	something is used for that something's purpose	nongold
85	the function of something is what that something  is used to do	nongold
86	if something is a raw material then that something comes directly from a source	nongold
87	emit means produce	nongold
88	if something transfers something else then that something is a source of something else	nongold
89	if something emits something else then that something increases the amount of that something else	nongold
90	wind speed is a property of weather	nongold
91	if something releases something else then that something is the source of that something else	nongold
92	if something causes an increase in something else then that something produces that something else	nongold
93	renewable resources are replenished more quickly than they are used	nongold
94	a producer is a source of energy for consumers	nongold
95	a part of a process means a stage in a process	nongold
96	to be formed by is similar to being produced by	nongold
97	fuel is a kind of energy source	nongold
98	a machine is a kind of  device	nongold
99	generate means produce	nongold
