Question	A class is studying the density of rock samples. What scientific equipment do they need to determine the density of the rock samples?	question
Answer	graduated cylinder and balance	answer
0	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects	gold
1	a graduated cylinder is used to measure volume of a liquid; of an object	gold
2	an instrument is a piece of equipment	gold
3	a graduated cylinder is a kind of container	nongold
4	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
5	a balance is used for measuring mass;weight of an object; of a substance	gold
6	determining often requires measuring; observing	gold
7	a balance is a kind of instrument for measuring mass; measuring weight	gold
8	to depend on; to rely on; to need means to require	nongold
9	instrument means tool	nongold
10	sample is similar to small amount of substance; matter	nongold
11	density is a measure of mass of an object over volume; divided by volume	gold
12	lab equipment is often used for measuring; observing	nongold
13	to study means to examine	nongold
14	studying is similar to observing	nongold
15	dense means high in density	nongold
16	a rock is a kind of object	gold
17	scientists make observations	nongold
18	density is a kind of physical property	nongold
19	studying is similar to investigating	nongold
20	rock is a kind of material	nongold
21	instrument means device	nongold
22	to be used for something means to be required by that something	nongold
23	answering questions requires information	nongold
24	unbalanced is the opposite of balanced	nongold
25	to belong to a class means to be a kind of something	nongold
26	a scientist is a kind of human	nongold
27	objects are made of materials; substances; matter	nongold
28	class is a measure of how a rock is formed	nongold
29	examining sometimes requires measuring	nongold
30	a tool is a kind of object	nongold
31	device means tool	nongold
32	measuring requires reading a measurement	nongold
33	inspect; observe means examine	nongold
34	experimentation requires measuring	nongold
35	studying  something usually requires seeing that something	nongold
36	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
37	a student is a kind of human	nongold
38	classifying means grouping objects; materials by their properties	nongold
39	a machine is a kind of  device	nongold
40	a machine is a kind of object	nongold
41	examining is a kind of process	nongold
42	if an object is made of a material then that object has the properties of that material	nongold
43	if an object has a small volume and large mass , then the object will  have a high density	nongold
44	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
45	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
46	high is similar to increase	nongold
47	a device is a kind of object	nongold
48	affected means changed	nongold
49	a rain gauge is a kind of graduated cylinder	nongold
50	mass is a measure of the amount of matter in an object	nongold
51	as the mass of an object increases , the density of that object will increase	nongold
52	materials are made of matter	nongold
53	measuring is used for describing an object	nongold
54	measuring is a kind of observing	nongold
55	can be means able to be	nongold
56	experiment is synonymous with test	nongold
57	matter; materials; substances are made of atoms; particles	nongold
58	as the volume of an object decreases , the density of that object will increase	nongold
59	material means substance	nongold
60	both means two	nongold
61	variable means able to change	nongold
62	a simple machine is a kind of tool	nongold
63	observations; data are a part of the results of an experiment	nongold
64	an part of an object is smaller than the entire object	nongold
65	particles in objects are a kind of matter	nongold
66	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
67	calculation means measurement	nongold
68	if something is made of something; a material then that something contains that something; that material	nongold
69	mass; weight is a property of matter; objects; materials	nongold
70	length is a part of size	nongold
71	determining is similar to learning	nongold
72	property is similar to measurement	nongold
73	classifying is when one sorts something by kind; type	nongold
74	to measure means to calculate	nongold
75	determining is similar to controlling	nongold
76	counter means reduce; stop; resist	nongold
77	variability of shape; variability of volume is a kind of physical property	nongold
78	substances are made of matter	nongold
79	determine is similar to cause	nongold
80	a classroom is a kind of a room	nongold
81	the function of something is what that something  is used to do	nongold
82	measuring is a kind of science skill	nongold
83	milliliters is a kind of unit for measuring volume of liquids	nongold
84	identifying is similar to determining	nongold
85	density is an intensive property	nongold
86	calculating is similar to estimating	nongold
87	investigating sometimes requires measuring	nongold
88	an increase is a kind of change	nongold
89	researcher is a kind of scientist	nongold
90	requiring something means needing that something	nongold
91	the properties of something can be used to identify; used to describe that something	nongold
92	size; amount of space means volume	nongold
93	a structure of something is synonymous with a part of that something	nongold
94	a source of something emits; produces; generates; provides that something	nongold
95	to add means to increase	nongold
96	to be required means to be necessary	nongold
97	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
98	as amount; size of something increases , the intensive properties of that something will not change	nongold
99	a mineral is a kind of object	nongold
