Question	A student is measuring the distance a car travels down a ramp using yards. Which measurement is most similar in length when using the metric system of measurement?	question
Answer	meter	answer
0	a meter is a kind of unit for measuring distance; measuring length	nongold
1	a ramp is a kind of object	nongold
2	distance moved; distance travelled is a measure of how far an object moves	nongold
3	length is a measure of distance from one end of an object to the other end of that object	nongold
4	length is a part of size	nongold
5	meters;centimeters;kilometers are used to describe distance; describe length	nongold
6	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	gold
7	a car is a kind of object	nongold
8	a car is a kind of vehicle	nongold
9	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
10	a yard is  0.9144 meter	gold
11	travel means to move	nongold
12	a student is a kind of human	nongold
13	yards ( yd ) are a  imperial unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
14	a vehicle is a kind of tool for travel; transport	nongold
15	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
16	miles are a kind of unit for measuring distance	nongold
17	a car is a kind of automobile	nongold
18	a vehicle is a kind of object	nongold
19	a vehicle is used for travel	nongold
20	a velocity is a measure of a speed in a direction	nongold
21	humans ride vehicles	nongold
22	length is a property of the shape of an object	nongold
23	length of time means period of time	nongold
24	a meter stick is a kind of tool for measuring length; measuring distance	nongold
25	property is similar to measurement	nongold
26	width is a property of size; shape and includes ordered values of narrow; wide	nongold
27	an automobile is a kind of vehicle	nongold
28	rolling down a ramp is a kind of rolling	nongold
29	a measure of time is a length of time	nongold
30	a centimeter is used for measuring short lengths; short distances	nongold
31	motion is when moves an object; something to a direction	nongold
32	high is similar to increase	nongold
33	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
34	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
35	a meter stick is used to measure distance; height; length	nongold
36	measuring sometimes requires  recording; learning an amount	nongold
37	a car moves on a road	nongold
38	speed is a measure of how fast an object is moving	nongold
39	a human is a kind of animal	nongold
40	long means great in length	nongold
41	millimeters ( mm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 100.0	nongold
42	moving is similar to travelling	nongold
43	a centimeter is a kind of unit of measurement	nongold
44	furthest; farthest means greatest; most; highest in distance	nongold
45	transport means to move; to make travel	nongold
46	a surface is a part of an object	nongold
47	size; amount of space means volume	nongold
48	if a  car is being driven , then the car will be moving	nongold
49	system means a set of objects	nongold
50	wheels are a part of a car	nongold
51	according to is similar to be determined by	nongold
52	shortest means least; smallest in length	nongold
53	if two things are made from the same objects; material then those two things are similar	nongold
54	level is similar to amount; quantity	nongold
55	height is a measure of length from the top of an object to the bottom of an object	nongold
56	as an object is moving down , the speed of the object  will increase	nongold
57	if two things perform the same function then those two things are similar	nongold
58	same means identical; equal in value; amount; number; quantity	nongold
59	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
60	decimeters ( dm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 10.0	nongold
61	if something is copied then that something will be the same; similar; identical	nongold
62	measures of length; measures of distance are used to measure the amount of rainfall	nongold
63	motion; movement means moving; to move	nongold
64	a speedometer is a part of an automobile	nongold
65	can be means able to be	nongold
66	to pass means to travel	nongold
67	not is similar to the opposite of	nongold
68	greatest means largest; highest; most amount of something	nongold
69	picometer ( pm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
70	height is a property of the size of an object	nongold
71	a road is a kind of object	nongold
72	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
73	determining often requires measuring; observing	nongold
74	building something often requires measuring the materials	nongold
75	seconds are a kind of unit for measuring time	nongold
76	a surface is a part of a material	nongold
77	shorter means decreased length	nongold
78	square meter ( m^2 ) is a metric unit used for measuring area	nongold
79	calculating speed requires knowing distance travelled	nongold
80	miles ( mi ) are a  imperial unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
81	travelling requires  navigation	nongold
82	similar means in common	nongold
83	quantity means amount	nongold
84	m/s means meters per second	nongold
85	longest means greatest in length	nongold
86	an part of an object is smaller than the entire object	nongold
87	seconds are used to measure time	nongold
88	rate is similar to speed	nongold
89	constant is similar to same	nongold
90	less is similar to decrease	nongold
91	form means kind	nongold
92	answering questions requires information	nongold
93	speed is a property of an object and includes values of slow; fast	nongold
94	low means down	nongold
95	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
96	affected means changed	nongold
97	measuring is used for describing an object	nongold
98	variable means able to change	nongold
99	unit is similar to part	nongold
