Question	Which sense is used to determine an object's texture?	question
Answer	touch	answer
0	determining often requires measuring; observing	gold
1	feeling is when an living thing senses through touch	gold
2	texture means how an object feels	gold
3	touch is a kind of sense	gold
4	the texture of an object can sometimes be told by looking at the object	nongold
5	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
6	touch can be used for detecting texture	nongold
7	smooth is a kind of texture	nongold
8	the senses are used for making observations	gold
9	touching something means feeling that something	gold
10	a surface is a part of an object	nongold
11	the shape  of an object can be discovered through feeling that object; touching that object	nongold
12	identifying is similar to determining	nongold
13	sight is a kind of sense	nongold
14	an animal is a kind of living thing	nongold
15	a surface is a kind of object	nongold
16	eyes can sense;detect light energy for seeing	nongold
17	a human is a kind of animal	nongold
18	a sense is a kind of ability	nongold
19	sense is a kind of characteristic of an animal	nongold
20	to touch means to contact	nongold
21	a surface is a part of a material	nongold
22	texture is a kind of physical property	nongold
23	seeing is used for sensing visual things	nongold
24	a living thing is a kind of object	nongold
25	a landform is a kind of object	nongold
26	an animal is a kind of organism	nongold
27	objects are made of materials; substances; matter	nongold
28	the luster of an object can be determined by looking at that object	nongold
29	landform means surface feature; physical feature; land feature	nongold
30	determining the type of an organism requires having information about that organism	nongold
31	smell is a kind of sense	nongold
32	according to is similar to be determined by	nongold
33	determining is similar to learning	nongold
34	taste is a kind of sense	nongold
35	a face is often a part of an animal	nongold
36	soft is a kind of touch sensation	nongold
37	touching is when a body part makes contact with the surface of an object	nongold
38	determine is similar to cause	nongold
39	an object is an item	nongold
40	sensory organs are used for sensing	nongold
41	a tool is a kind of object	nongold
42	hearing is a kind of sense	nongold
43	depth is a property of the shape of an object	nongold
44	an part of an object is smaller than the entire object	nongold
45	human skin is a kind of object	nongold
46	a body part is a kind of object	nongold
47	determining is similar to controlling	nongold
48	being  on something; placed in something; placed over something means touching  that something	nongold
49	surface area is a property of shape	nongold
50	hearing is used for sensing sound by animals	nongold
51	shape is a property of an object	nongold
52	senses are an inherited characteristic	nongold
53	skin is a kind of material	nongold
54	color is a property of  an object; a material	nongold
55	measuring is used for describing an object	nongold
56	if an animal's skin looks like something then that animal looks like that something	nongold
57	eyes are used for seeing by animals by sensing light	nongold
58	length is a property of the shape of an object	nongold
59	luster is a property of  an object; a material and includes ordered values of dull; shiny	nongold
60	to look like means to have the visual properties of	nongold
61	a wall is a kind of surface	nongold
62	a sharp sense is an enhanced sense	nongold
63	rough is the opposite of smooth	nongold
64	a structure is a kind of feature	nongold
65	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
66	materials are made of matter	nongold
67	skin is a part of an animal; plant	nongold
68	image means visual depiction of an object	nongold
69	a hand is a kind of object	nongold
70	the head is a part of an animal	nongold
71	surface type is a kind of characteristic	nongold
72	a rough surface is a part of sandpaper	nongold
73	high is similar to increase	nongold
74	structure is a property of an object; a material; a substance	nongold
75	felt is high in roughness	nongold
76	if one surface; one substance; one object touches something then one is exposed to that something	nongold
77	thickness is a property of an object and includes ordered  values of thin; thick	nongold
78	composition is a property of an object; matter	nongold
79	to rub; to rub together means to move against	nongold
80	an object is made of its parts	nongold
81	a structure of something is synonymous with a part of that something	nongold
82	rubbing against something is a kind of contact	nongold
83	an organism is a living thing	nongold
84	what an object is made of is a kind of characteristic	nongold
85	a hand is a part of the body	nongold
86	an object has properties	nongold
87	a speck is a kind of solid object	nongold
88	the properties of something can be used to identify; used to describe that something	nongold
89	heat means heat energy	nongold
90	a wall is a kind of object	nongold
91	can be means able to be	nongold
92	a source of something emits; produces; generates; provides that something	nongold
93	a part of a living thing is a natural structure	nongold
94	sharpness is a property of shape	nongold
95	an object; material; substance comes from that object or material's source	nongold
96	color is a kind of physical; visual property	nongold
97	a piece of something is a kind of object	nongold
98	eyes are a part of a human for seeing	nongold
99	a kind of something is an example of that something	nongold
