Question	Which of the following occurs during photosynthesis?	question
Answer	CO2 and H2O are converted to carbohydrates.	answer
0	CO2 means carbon dioxide	gold
1	H2O means water	gold
2	a carbohydrate is a kind of compound	nongold
3	food contains carbohydrates	nongold
4	carbohydrates are made of sugars	nongold
5	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
6	forming is similar to converting	nongold
7	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	gold
8	to happen means to occur	nongold
9	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
10	CO2 is a kind of chemical formula	nongold
11	O2 means oxygen	nongold
12	to transform means to convert	nongold
13	sugar is a kind of  simple carbohydrate	nongold
14	converting is similar to producing	nongold
15	carbohydrates are made of glucose molecules bonding together	nongold
16	a source of something emits; produces; generates; provides that something	nongold
17	carbohydrates store chemical energy	nongold
18	carbohydrates are a vehicle for storing;transporting energy	nongold
19	carbohydrates are used for storing;transporting energy	nongold
20	photosynthesis is a kind of chemical  process	nongold
21	photosynthesis is a kind of chemical reaction	nongold
22	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
23	to convert means to change	nongold
24	green plants are a kind of producer	nongold
25	conversion is a kind of process	nongold
26	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
27	photosynthesis is a source of oxygen	nongold
28	the photosynthetic life performs photosynthesis	nongold
29	starch is a kind of  complex carbohydrate	nongold
30	to turn means to convert	nongold
31	products are formed; are produced; are created	nongold
32	nitrogen is a kind of nutrient for plant growth	nongold
33	converting is similar to releasing	nongold
34	N means nitrogen	nongold
35	In the food chain process a  green plant has the role of  producer	nongold
36	photosynthesizing means performing photosynthesis	nongold
37	a food contains nutrients for living things	nongold
38	plants are a source of oxygen through photosynthesis	nongold
39	a plant is a kind of organism	nongold
40	plant cells can perform photosynthesis	nongold
41	all cells perform cellular respiration	nongold
42	a nutrient is a kind of chemical compound	nongold
43	synthesize means to make	nongold
44	to be formed by is similar to being produced by	nongold
45	a process is a kind of event	nongold
46	a producer produces its own food	nongold
47	emit means produce	nongold
48	synthesis means to make	nongold
49	a part of a process means a stage in a process	nongold
50	an event is a kind of action	nongold
51	cellular respiration is a kind of process	nongold
52	In the photosynthesis process oxygen has the role of  waste product	nongold
53	converting is a kind of function	nongold
54	a cycle happens; occurs repeatedly	nongold
55	make means produce	nongold
56	a process usually requires all of the stages in that process	nongold
57	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
58	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
59	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
60	a fungus is a kind of organism	nongold
61	cellular respiration is cellular digestion	nongold
62	something that happens is a kind of event	nongold
63	respiration releases energy	nongold
64	ATP is formed by the breakdown of molecules of glucose	nongold
65	if something transfers something else then that something is a source of something else	nongold
66	decomposition is a stage in the carbon cycle process	nongold
67	if something releases something else then that something is the source of that something else	nongold
68	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
69	convert is similar to transfer	nongold
70	a step in a process means a stage in a process	nongold
71	nutrients are a kind of substance	nongold
72	producing is similar to releasing	nongold
73	a cell absorbs nutrients	nongold
74	nutrients are a kind of matter	nongold
75	if something gains something from something else then that something else is a source of that something	nongold
76	to be used for something means to be required by that something	nongold
77	a producer is a source of sugar; food energy in an ecosystem	nongold
78	forming is a kind of action	nongold
79	organisms are made of carbon	nongold
80	chemical reactions cause chemical change	nongold
81	an increase is a kind of change	nongold
82	a component means a part of	nongold
83	sunlight is a kind of solar energy	nongold
84	to produce means to create	nongold
85	a change is a kind of event	nongold
86	chemical reactions cause new substances; different substances to form	nongold
87	converting is similar to generating	nongold
88	carbon is a kind of element	nongold
89	if an event occurs by adding something then that event requires that something	nongold
90	where something  comes from is a source of that something	nongold
91	to create means to make	nongold
92	converting is similar to turning into	nongold
93	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
94	an organism breaking down sugar is a source of carbon dioxide; water	nongold
95	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
96	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
97	a component of something means a part of that something	nongold
98	a  plant requires sunlight for photosynthesis	nongold
99	to contribute is similar to produce	nongold
