Question	Which sentence about the periodic table of elements is true?	question
Answer	Metals are found on the left side of the periodic table.	answer
0	metals are found on the left side of the periodic table of elements	gold
1	alkali metals are located on the left side; first column on the periodic table	nongold
2	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
3	to be found in means to be contained in	nongold
4	if something is a part of something then that something can be found in that something	nongold
5	a metal is a kind of element	nongold
6	hydrogen is located on the left side; first column on the periodic table	nongold
7	the Periodic Table is a table displays elements	nongold
8	an alkaline earth metal is a kind of element	nongold
9	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
10	metals are made of metal	nongold
11	the periodic table is arranged in rows and columns	nongold
12	noble gases are located on the rightmost side   of the periodic table	nongold
13	the majority of the elements on the periodic table are metals	nongold
14	found in means existing in	nongold
15	elements in the same group on the Periodic Table of Elements have similar properties	nongold
16	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
17	the most reactive metals are located on the column at the far left side of the periodic table	nongold
18	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
19	metal is a kind of substance	nongold
20	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
21	metal is a kind of material	nongold
22	the most reactive nonmetals are located on the second column from the right side of the periodic table	nongold
23	all elements are a kind of pure substance	nongold
24	an element is a kind of  substance	nongold
25	a table is a kind of object	nongold
26	substances are made of elements	nongold
27	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
28	a physical property is a kind of property	nongold
29	made up of means contains; made of	nongold
30	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
31	an element is a kind of material	nongold
32	a group; family in the periodic table means a column in the periodic table	nongold
33	magnesium is a kind of alkaline earth metal	nongold
34	an  element is a kind of atom	nongold
35	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
36	objects are made of materials; substances; matter	nongold
37	iron is a kind of element	nongold
38	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
39	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
40	iron is a kind of metal	nongold
41	materials are made of matter	nongold
42	substances are made of matter	nongold
43	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
44	an element is made of one kind of atoms	nongold
45	nonmetals are found to the right of the zigzag line on the periodic table	nongold
46	aluminum is a kind of metal	nongold
47	state of matter is a kind of physical property	nongold
48	a  chemical property is a kind of  property	nongold
49	made of is similar to contains	nongold
50	a chemical property is the opposite of a physical property	nongold
51	state of matter means physical state	nongold
52	physical state means state of matter	nongold
53	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
54	gold is a kind of metal	nongold
55	matter; materials; substances are made of atoms; particles	nongold
56	composed of means made of	nongold
57	if something is made of something; a material then that something contains that something; that material	nongold
58	zinc is a kind of metal	nongold
59	classifying is when one sorts something by kind; type	nongold
60	can be means able to be	nongold
61	material means substance	nongold
62	approximately means about	nongold
63	a metal is usually a solid at room temperature	nongold
64	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
65	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
66	if something does not move then that something can be found in the same location	nongold
67	classifying means grouping objects; materials by their properties	nongold
68	aluminum is a kind of matter	nongold
69	solid is a kind of state of matter	nongold
70	if a substance is made of one element , then the substance is called an element	nongold
71	if something is located  in somewhere , then something can be found in somewhere	nongold
72	to be filled with means to contain	nongold
73	to be made of something means to be formed of that something	nongold
74	aluminum is a kind of element	nongold
75	contains means located in	nongold
76	chemical composition is a kind of property	nongold
77	if something is a part of something else then that something else contains that something	nongold
78	hydrogen is a kind of element	nongold
79	to be made of means to consist of	nongold
80	composition is a property of an object; matter	nongold
81	an atom is the smallest particle; unit that has the properties of an element	nongold
82	material composition is a kind of chemical property	nongold
83	if something is made of something else then that something can be broken down into that something else	nongold
84	an object is made of its parts	nongold
85	a Periodic Table is a kind of scientific  model	nongold
86	an event is a kind of action	nongold
87	particles in objects are a kind of matter	nongold
88	if an object is made of a material then that object has the properties of that material	nongold
89	carbon is a kind of element	nongold
90	a source of something emits; produces; generates; provides that something	nongold
91	nonmetal means not metal	nongold
92	metal is an  electrical; electrical energy conductor	nongold
93	the atomic number of elements increases by 1 from left to right on a row on the periodic table	nongold
94	state means form	nongold
95	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
96	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
97	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
98	ferrous metals contain iron	nongold
99	steel is a kind of metal	nongold
