Question	White light can be separated into all of its component colors by	question
Answer	passing the light through a prism.	answer
0	a prism refracts light	gold
1	a prism is made of glass	nongold
2	a prism is a kind of object	nongold
3	a prism is used for refracting light	nongold
4	a prism is a kind of tool for refracting light	nongold
5	white light is made of all colors of visible light combined	gold
6	to disperse means to separate	nongold
7	white is a kind of color	nongold
8	to pass through means to move through	nongold
9	refracting sunlight; light causes sunlight; light to split into different colors	nongold
10	a rainbow is formed by refraction of light by separating light; splitting light into all different colors	gold
11	passage is passing	nongold
12	to pass means to travel	nongold
13	separating is similar to breaking	nongold
14	a component means a part of	nongold
15	to decompose means to separate	nongold
16	decomposing is similar to separating	nongold
17	sunlight is a kind of light	nongold
18	green is a kind of color	nongold
19	to group means to separate	nongold
20	color is a kind of physical; visual property	nongold
21	to cross means to pass	nongold
22	black is a kind of color	nongold
23	to pass into means to enter	nongold
24	if something is insoluble in something , then they will remain separated	nongold
25	color is a property of  an object; a material	nongold
26	light means light energy	nongold
27	passing through is similar to entering	nongold
28	a white object reflects all visible light	nongold
29	if an object is white then that object reflects all visible light	nongold
30	can be means able to be	nongold
31	visible light is a kind of  light	nongold
32	objects are made of materials; substances; matter	nongold
33	refraction of light can split light into lights of different color	nongold
34	bright means bright; light in color	nongold
35	materials are made of matter	nongold
36	visible light is made of lights of different colors including violet, blue, green, yellow, orange, red light	nongold
37	red is a kind of color	nongold
38	passing is a kind of action	nongold
39	media; medium means the material something travel through	nongold
40	light is a kind of wave	nongold
41	light is made of photons	nongold
42	to illuminate means to light up	nongold
43	if something is made of something else , then that something else will be the component of that something	nongold
44	sunlight is made of all colors in the rainbow	nongold
45	transferring a section of something requires separating the section of something	nongold
46	to pass means to occur	nongold
47	if an object is black then that object absorbs all visible light; heat	nongold
48	substances are made of matter	nongold
49	to run through means to transfer	nongold
50	black is dark in color	nongold
51	to undergo is similar to to pass through	nongold
52	a component of something means a part of that something	gold
53	to pass means to transfer	nongold
54	pulling away is similar to separating	nongold
55	matter; materials; substances are made of atoms; particles	nongold
56	UV light is a kind of light	nongold
57	coloration means a thing's color	nongold
58	matter is made of molecules	nongold
59	separate is similar to break down	nongold
60	the rainbow is made of all different colors in visible light	gold
61	visible lights can be divided into smaller ranges of light waves by the range of colors	nongold
62	a source of something emits; produces; generates; provides that something	nongold
63	black objects absorbs the most sunlight	nongold
64	composed of means made of	nongold
65	classifying means grouping objects; materials by their properties	nongold
66	a living thing is a kind of object	nongold
67	to split means to divide	nongold
68	purple;violet;magenta is a kind of color	nongold
69	light rays means light	nongold
70	if something is made of something else then that something can be broken down into that something else	nongold
71	travel means to move	nongold
72	all the other means the rest of	nongold
73	color is an intensive property	nongold
74	red light has the longest wavelength	nongold
75	form means kind	nongold
76	a mixture of solids can be easily separated	nongold
77	if an object reflects a light of a certain color then the object appears to be that color	nongold
78	classifying is when one sorts something by kind; type	nongold
79	particles in objects are a kind of matter	nongold
80	to shine means to emit light	nongold
81	to create means to make	nongold
82	blue is a kind of color	nongold
83	snow is white in color	nongold
84	all elements are a kind of pure substance	nongold
85	gray is a combination of black and white	nongold
86	dark means dark in color	nongold
87	if an object is translucent , then some light will shine through that object	nongold
88	each is simiar to one	nongold
89	to produce means to create	nongold
90	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
91	to split means to break down	nongold
92	no light shines through an opaque object	nongold
93	answering questions requires information	nongold
94	yellow is a kind of color	nongold
95	composition is a property of an object; matter	nongold
96	to be made of means to consist of	nongold
97	a human is a kind of animal	nongold
98	substances are made of molecules	nongold
99	to receive sunlight means to absorb sunlight	nongold
