Question	A researcher is conducting an investigation to determine if water temperature affects the growth rate of a certain type of fish in a lake. Which unit would the researcher use when determining the mass of the fish?	question
Answer	grams	answer
0	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	gold
1	a gram  is a kind of unit for measuring mass	gold
2	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
3	a fish is a kind of aquatic animal	nongold
4	a fish is a kind of animal	gold
5	determining often requires measuring; observing	gold
6	a lake is a kind of body of water	nongold
7	researcher is a kind of scientist	nongold
8	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
9	density is a measure of mass of an object over volume; divided by volume	nongold
10	a kilogram is a kind of unit for measuring mass	nongold
11	a type is synonymous with a kind	nongold
12	a fish lives in water	nongold
13	an animal is a kind of living thing	gold
14	mass is similar to size	nongold
15	a pond is a kind of body of water	nongold
16	an ounce is a kind of unit for measuring mass	nongold
17	investigating sometimes requires measuring	nongold
18	mass is a measure of the amount of matter in an object	nongold
19	an aquatic animal is a kind of animal	nongold
20	a living thing is a kind of object	gold
21	temperature changing does not cause mass to change	nongold
22	mass; weight is a property of matter; objects; materials	gold
23	a fish is a kind of scaled animal	nongold
24	growth means size;number;value;strength increases	nongold
25	a pond is smaller; shallower than a lake	nongold
26	mass is a property of objects; matter	nongold
27	water is a kind of liquid at room temperature	nongold
28	as the mass of an object increases , the density of that object will increase	nongold
29	an animal is a kind of organism	nongold
30	a scientist is a kind of human	nongold
31	aquatic animal means water animal	nongold
32	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
33	temperature is a measure of heat energy	nongold
34	a pond is a kind of environment	nongold
35	determining the type of an organism requires having information about that organism	nongold
36	examining sometimes requires measuring	nongold
37	kg means kilograms	nongold
38	investigation sometimes requires experimentation	gold
39	weight is a measure of the force of the gravity on the mass of an object	nongold
40	a meter is a kind of unit for measuring distance; measuring length	nongold
41	scientists make observations	nongold
42	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
43	high is similar to increase	nongold
44	unit is similar to part	nongold
45	to impact means to affect	nongold
46	an increase is a kind of change	nongold
47	impact means effect	nongold
48	meters;centimeters;kilometers are used to describe distance; describe length	nongold
49	affected means changed	nongold
50	growing is when an animal's height;mass;size increase	nongold
51	liters are a kind of unit for measuring volume of liquids	nongold
52	millimeters ( mm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 100.0	nongold
53	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
54	to change means to have an effect	nongold
55	if something affects a part of something else then that something affects that something else	nongold
56	water is a kind of matter	nongold
57	heat means heat energy	nongold
58	a human is a kind of animal	nongold
59	freshwater is a kind of water	nongold
60	as state of matter changes , mass will not change	nongold
61	larger means greater; higher; more; increase in size	nongold
62	trout is a kind of fish	nongold
63	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
64	mass; weight is an extensive property	nongold
65	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
66	a balance is used for measuring mass;weight of an object; of a substance	nongold
67	a pound is a kind of unit for measuring mass	nongold
68	as the mass of an object increases ,  the weight of that object will increase	nongold
69	growth is a kind of change	nongold
70	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
71	a body of water is a kind of environment	nongold
72	heat means temperature increases	nongold
73	aquatic animals; plants live in bodies of water	nongold
74	if a living thing requires something then that something has a positive impact on that living thing	nongold
75	trout live in lakes	nongold
76	a weight is a kind of object	nongold
77	colder; cooler means lower in temperature	nongold
78	change is a kind of impact	nongold
79	measuring requires reading a measurement	nongold
80	an increase is the opposite of a decrease	nongold
81	weight is a property of objects; matter	nongold
82	an part of an object is smaller than the entire object	nongold
83	length is a part of size	nongold
84	low is similar to decrease	nongold
85	a decrease is a kind of change	nongold
86	pounds ( lb ) are a  imperial unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
87	as the temperature of an object increases , the size of that object will increase	nongold
88	as the mass of an object decreases , the weight of that object will decrease	nongold
89	mass; weight are the same on Earth	nongold
90	according to is similar to be determined by	nongold
91	water is a kind of object	nongold
92	an organism is a living thing	nongold
93	mass has no impact on boiling; melting; freezing point	nongold
94	a fish is a kind of predator	nongold
95	to lower means to decrease	nongold
96	investigating is a kind of process	nongold
97	smaller means less; lower in size	nongold
98	a land mass is a kind of object	nongold
99	liters ( L ) is a metric unit used for measuring volume generally used for values between 1.0 and 50000000.0	nongold
