Question	During a rainstorm, leaves wash down a gully on a hillside. The water slows down at the foot of the hill and fans out, depositing the leaves. What geologic structure is formed in a similar way?	question
Answer	a delta	answer
0	a delta is a kind of geologic structure; landform	gold
1	a delta is formed by sediment depositing at the mouth of a river by water fanning out	gold
2	the Mississippi Delta is a kind of delta	nongold
3	a leaf is a kind of object	nongold
4	to slow; to slow down decreases speed	nongold
5	a leaf is a kind of plant	nongold
6	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
7	to cause the formation of means to form	nongold
8	washing out means being moved from  by water	nongold
9	rainstorm means rain storm	nongold
10	to wash away is a kind of movement by moving water	nongold
11	a structure of something is synonymous with a part of that something	nongold
12	a leaf performs photosynthesis; gas exchange	nongold
13	breaking down is a kind of forming	nongold
14	a leaf is a part of a  green plant	nongold
15	to change into means to form	nongold
16	a leaf is a part of a tree	nongold
17	forming something is a kind of change	nongold
18	to be made of something means to be formed of that something	nongold
19	to form means to create	nongold
20	soil erosion is a kind of slow; natural process	nongold
21	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
22	a leaf is small in size	nongold
23	to make means to form	nongold
24	system is similar to structure	nongold
25	erosion is a kind of change	nongold
26	form means kind	nongold
27	flowing is a kind of motion	nongold
28	a river is a kind of flowing body of water	nongold
29	wind and rain; storms cause erosion	nongold
30	rain is a kind of water	nongold
31	when a river floods , that river deposits soil; sediment in flood plains	nongold
32	rain causes erosion	nongold
33	state means form	nongold
34	the formation of something is a kind of process	nongold
35	to be formed by is similar to being produced by	nongold
36	reducing is similar to slowing	nongold
37	erosion is a kind of process	nongold
38	becoming is similar to forming	nongold
39	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
40	composed of means made of	nongold
41	creating is similar to causing	nongold
42	to increase is similar to to create	nongold
43	a plant is a kind of organism	nongold
44	a plant is a kind of living thing	nongold
45	products are formed; are produced; are created	nongold
46	unit is similar to part	nongold
47	forming is similar to converting	nongold
48	a hill is a kind of place	nongold
49	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
50	water  flows down a slope	nongold
51	a whole is formed by its parts	nongold
52	rain is a kind of precipitation	nongold
53	low means down	nongold
54	erosion causes deposition	nongold
55	to reduce means to decrease	nongold
56	a component means a part of	nongold
57	weathering; erosion usually occurs over a period of many years	nongold
58	to lower means to decrease	nongold
59	soil and sediment deposited by a river are usually high; rich in nutrients	nongold
60	to add means to increase	nongold
61	rain is a source of water	nongold
62	high is similar to increase	nongold
63	rainwater is a kind of water	nongold
64	sediment is formed by weathering	nongold
65	low is similar to decrease	nongold
66	a type is synonymous with a kind	nongold
67	affected means changed	nongold
68	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
69	sinkholes; caves are formed by precipitation; infiltration	nongold
70	if something is made of something else then the formation of that something requires that something else	nongold
71	storms;rain cause bodies of water to increase amount of water they contain	nongold
72	break down means change from a whole into pieces	nongold
73	structure is a property of an object; a material; a substance	nongold
74	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
75	rainfall means precipitation	nongold
76	sediment is a kind of matter	nongold
77	develop is similar to form	nongold
78	soil contains water; humus; weathered rocks; organic matter	nongold
79	something that contains water is similar to a body of water	nongold
80	to generate means to form	nongold
81	a stream is a kind of body of water	nongold
82	to be formed means to be originated	nongold
83	sinking means moving down	nongold
84	downward means down	nongold
85	deposition means to move an object from one location to a  different location	nongold
86	separate is similar to break down	nongold
87	weathering is a kind of erosion	nongold
88	downhill means down	nongold
89	gradual means slow; over time	nongold
90	can be means able to be	nongold
91	to turn means to change	nongold
92	sediment is formed from rock	nongold
93	precipitation is when water falls from the sky	nongold
94	to produce means to create	nongold
95	to create means to make	nongold
96	rising is a kind of motion	nongold
97	a decrease is a kind of change	nongold
98	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
99	extreme means very high in value	nongold
