Question	Which of the following would make the best insulator against the flow of electricity?	question
Answer	plastic tape	answer
0	insulator means good insulator	nongold
1	plastic tape is made of plastic	gold
2	insulation requires an insulator	nongold
3	an electrical insulator slows; prevents the transfer of; flow of electricity	gold
4	an insulator is insulated	nongold
5	plastic is a kind of electrical insulator	nongold
6	an insulator is a kind of material	nongold
7	plastic is usually an electrical insulator	gold
8	best means most positive	nongold
9	a tape measure is a kind of tool for measuring distance; measuring length	nongold
10	an insulator is the opposite of a conductor	nongold
11	plastic is a kind of material made by humans	nongold
12	plastic is a kind of thermal insulator	nongold
13	An electrical conductor is a vehicle for the flow of electricity	nongold
14	conductivity is a measure of how easily electricity travels through a material	nongold
15	electricity means electrical energy	nongold
16	conductivity is a property of a material; substance	nongold
17	better means good	nongold
18	good means positive	nongold
19	a  tape measure is used to measure length; distance	nongold
20	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
21	flowing is a kind of motion	nongold
22	electrical insulation requires wrapping a conductor in an insulator	nongold
23	sending electricity through a conductor causes electricity; electric current to flow through that conductor	nongold
24	if one electrical conductor contacts another electrical conductor then electricity will flow through both conductors	nongold
25	metal is an  electrical; electrical energy conductor	nongold
26	if an object is made of a material then that object has the properties of that material	nongold
27	plastic is high in strength	nongold
28	a good conductor is a conductor	nongold
29	nonconductor is similar to insulator	nongold
30	to be insulated means to have insulation	nongold
31	plastic is recyclable	nongold
32	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
33	material means substance	nongold
34	metal is a kind of material	nongold
35	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
36	flowing is a kind of action	nongold
37	rubber is thermal;thermal energy insulator	nongold
38	a device is a kind of object	nongold
39	to flow is similar to to transfer	nongold
40	if something is permeable , then the water will flow through something easily	nongold
41	a paper clip is often made of magnetic metals; ferromagnetic metals	nongold
42	electricity is made of moving charges; moving charged particles	nongold
43	electrocution causes harm to an organism	nongold
44	plastic is always nonmagnetic	nongold
45	conductivity is a kind of physical property	nongold
46	an electromagnet is a kind of device	nongold
47	a river is a kind of flowing body of water	nongold
48	make means produce	nongold
49	a source of something emits; produces; generates; provides that something	nongold
50	a living thing is a kind of object	nongold
51	wax is an electrical; electrical energy insulator	nongold
52	current means electric current	nongold
53	wood is an thermal; thermal energy insulator	nongold
54	brick is an electrical; electrical energy insulator	nongold
55	to be good for means to have a positive impact on	nongold
56	objects are made of materials; substances; matter	nongold
57	to cause means to make	nongold
58	an electromagnet contains a wire; cylindrical ferrous metal	nongold
59	electricity sometimes is used for heating buildings; substances	nongold
60	wood is a thermal; thermal energy insulator	nongold
61	thermal insulation requires covering the conductor with an insulator	nongold
62	particles in objects are a kind of matter	nongold
63	wiring requires an electrical conductor	nongold
64	a thermal insulator slows; prevents the transfer of heat	nongold
65	electrical devices are used for industrial purposes; household purposes by humans	nongold
66	to depend on; to rely on; to need means to require	nongold
67	media; medium means the material something travel through	nongold
68	substances are made of matter	nongold
69	particles in a liquid flows past each other	nongold
70	materials are made of matter	nongold
71	plastic is cheap	nongold
72	electrical current means electrical energy	nongold
73	the function of something is what that something  is used to do	nongold
74	electricity can  not flow through an open circuit	nongold
75	a thermal conductor is made of materials that conduct thermal energy	nongold
76	a paper clip is a kind of object	nongold
77	magnet can be  used for separating a magnetic material from a mixture of a magnetic and nonmagnetic material	nongold
78	answering questions requires information	nongold
79	heat means heat energy	nongold
80	metal is a thermal; thermal energy conductor	nongold
81	to be used for something means to be required by that something	nongold
82	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
83	device means tool	nongold
84	electricity is used as an energy source by electrical devices	nongold
85	an electromagnet is a kind of electric magnet	nongold
86	to help; to benefit means to be of use	nongold
87	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
88	metal is a kind of substance	nongold
89	a human is a kind of animal	nongold
90	helping something has a  positive impact on that something	nongold
91	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
92	an part of an object is smaller than the entire object	nongold
93	a sheet of copper is a kind of object	nongold
94	a conducting metal loop is a kind of electromagnet	nongold
95	salt water is an electrical; electrical energy conductor	nongold
96	an object; material; substance comes from that object or material's source	nongold
97	high is similar to increase	nongold
98	temperature is a measure of heat energy	nongold
99	a machine is a kind of  device	nongold
