Question	A student conducts an investigation. In order to make a valid conclusion, she must	question
Answer	have a testable hypothesis.	answer
0	making a valid conclusion in an investigation requires a testable hypothesis	gold
1	making a valid conclusion in an investigation requires collecting relevant evidence	nongold
2	studying is similar to investigating	nongold
3	to conclude means to make a conclusion	nongold
4	investigating a stage of something means investigating that something	nongold
5	a student is a kind of human	nongold
6	investigation sometimes requires experimentation	nongold
7	experiment is synonymous with test	nongold
8	must have means require	nongold
9	investigating is a kind of process	nongold
10	a hypothesis is a kind of scientific term	nongold
11	investigating sometimes requires measuring	nongold
12	a theory is a kind of idea that has been tested and supported by results repeatedly	nongold
13	to cause means to make	nongold
14	a theory is more accepted; tested than a hypothesis	nongold
15	concluding is a kind of action	nongold
16	investigating requires gathering information	nongold
17	hypothesis means scientific guess about the cause and effect of an event	nongold
18	examining is a kind of process	nongold
19	a human is a kind of animal	nongold
20	trial is synonymous with test	nongold
21	a scientific inference is a kind of explanation based on facts that is not a direct observation	nongold
22	an animal is a kind of organism	nongold
23	investigating the life cycle of a living thing requires that living thing to be alive	nongold
24	examining sometimes requires measuring	nongold
25	to study means to examine	nongold
26	result means outcome	nongold
27	testing often requires measuring	nongold
28	experimentation requires measuring	nongold
29	person is synonymous with human	nongold
30	to discover means to make a discovery	nongold
31	an animal is a kind of living thing	nongold
32	to make possible means to be required	nongold
33	an event is a kind of action	nongold
34	An example of evidence for a scientific theory is observations	nongold
35	human is a kind of organism	nongold
36	to cause means to result in	nongold
37	a theory is a kind of scientific term	nongold
38	an organism is a living thing	nongold
39	matter; materials; substances are made of atoms; particles	nongold
40	studying is similar to observing	nongold
41	inspect; observe means examine	nongold
42	to produce means to result in	nongold
43	answering questions requires information	nongold
44	if an event is required for a process then that event must occur before that process can occur	nongold
45	observations; data are a part of the results of an experiment	nongold
46	a living thing is a kind of object	nongold
47	events occur at a specific place; at a specific time; with a specific frequency	nongold
48	to be used for something means to be required by that something	nongold
49	a person is a kind of animal	nongold
50	definite is the opposite of variable	nongold
51	to cause means to have an effect	nongold
52	a result of something is evidence of that something	nongold
53	can be means able to be	nongold
54	a source of something emits; produces; generates; provides that something	nongold
55	to cause an event means to make that event more likely	nongold
56	to cause an event is similar to being involved in that event	nongold
57	something that happens is a kind of event	nongold
58	a child is a kind of young human	nongold
59	a particle is a kind of object	nongold
60	event is similar to occurrence	nongold
61	a process is a kind of event	nongold
62	conducting is a kind of function	nongold
63	affected means changed	nongold
64	to happen means to occur	nongold
65	a scientist is a kind of human	nongold
66	a plant is a kind of organism	nongold
67	a star is a kind of celestial object; celestial body	nongold
68	to create means to make	nongold
69	to give is similar to to cause	nongold
70	a motion is a kind of event; action	nongold
71	making discoveries requires observing	nongold
72	determine is similar to cause	nongold
73	provide is similar to give; make	nongold
74	best means most positive	nongold
75	a girl is a kind of organism	nongold
76	a  solution  is a kind of object	nongold
77	not is similar to the opposite of	nongold
78	a law is more accepted; tested than a theory	nongold
79	a classroom is a kind of a room	nongold
80	impact means effect	nongold
81	objects are made of materials; substances; matter	nongold
82	research is used for learning	nongold
83	particles in objects are a kind of matter	nongold
84	high is similar to increase	nongold
85	researcher is a kind of scientist	nongold
86	make means produce	nongold
87	an atom is a kind of object	nongold
88	to make means to form	nongold
89	to conduct is similar to to transfer	nongold
90	if something is made of something; a material then that something contains that something; that material	nongold
91	extreme means very high in value	nongold
92	a brain is a part of an animal	nongold
93	human is similar to individual	nongold
94	a type is synonymous with a kind	nongold
95	scientists make observations	nongold
96	a plant is a kind of living thing	nongold
97	Earth is a kind of planet	nongold
98	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
99	a moon is a kind of celestial object; body	nongold
