Question	Nectar is a sweet liquid that some flowering plants produce. A hummingbird drinks nectar from a flower. When a hummingbird drinks nectar, pollen from the flower sticks to the hummingbird's beak. The picture shows a hummingbird drinking nectar from a flower. Which statement explains the role of a hummingbird in the life cycle of a flowering plant?	question
Answer	A hummingbird helps the plant reproduce.	answer
0	when pollen sticks to a hummingbird , that pollen will move to where the hummingbird moves	gold
1	a hummingbird is a kind of animal	nongold
2	a hummingbird is a kind of bird	gold
3	pollen is part of a flower for reproduction	gold
4	pollination is when pollinating animals; wind; water carry pollen from one flower to another flower	gold
5	In the flowering plant life cycle , pollination is part of reproduction	nongold
6	a flower is a source of nectar	nongold
7	a source of something emits; produces; generates; provides that something	nongold
8	In the flowering plant life cycle , flowering is part of reproduction	nongold
9	helping something has a  positive impact on that something	nongold
10	hummingbirds eat nectar	nongold
11	plant reproduction often requires pollen	nongold
12	to be used  for something means to help to do that something	nongold
13	a beak is a part of a bird	nongold
14	a plant is a kind of living thing	nongold
15	A bird is a pollinating animal	gold
16	a flower is a kind of plant	nongold
17	role means function	nongold
18	reproduction is a stage in the life cycle process	gold
19	a flower is a part of a plant for attracting pollinators; producing seeds	nongold
20	pollination requires pollinators; pollinating animals	nongold
21	a flower produces pollen and seeds	nongold
22	pollination is a kind of process for plant reproduction	gold
23	if a living thing requires something then that something has a positive impact on that living thing	nongold
24	nectar is used for attracting pollinators by plants	nongold
25	an animal is a kind of living thing	nongold
26	life means living things	nongold
27	a flower contains pollen for sexual reproduction	nongold
28	In the flowering plant life cycle , pollination can follow flowering	nongold
29	purpose means role	nongold
30	to help; to benefit means to be of use	nongold
31	an object; material; substance comes from that object or material's source	nongold
32	all living things have life cycles	nongold
33	a bird is a kind of animal	nongold
34	a bird is a kind of living thing	nongold
35	a living thing is a kind of object	nongold
36	requiring is similar to needing help	nongold
37	plant reproduction; seed production requires pollination	nongold
38	a beak is used for catching prey by some birds	nongold
39	producing is a kind of function	nongold
40	pollinating is a kind of function	nongold
41	a plant is a kind of organism	nongold
42	helping means to assist in a change	nongold
43	a cycle is a kind of process	nongold
44	pollinator means pollinating animal	nongold
45	a hummingbird can reach flowers by hovering in the air	nongold
46	the function of something is what that something  is used to do	nongold
47	an animal is a kind of organism	nongold
48	pollinated means after pollination	nongold
49	part means role	nongold
50	something is used for that something's purpose	nongold
51	a plant; living thing requires food for survival	nongold
52	if something comes from something else then that something else is a source of that something	nongold
53	a flower is a kind of object	nongold
54	an animal; living thing requires nutrients for survival	nongold
55	emit means produce	nongold
56	In the flowering plant life cycle , death can follow reproduction	nongold
57	good means positive	nongold
58	role means niche	nongold
59	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
60	to enable is to help	nongold
61	to help means to aid	nongold
62	vegetation means plants	nongold
63	role is similar to importance	nongold
64	a  plant requires sunlight for photosynthesis	nongold
65	to be used for something means to be required by that something	nongold
66	An insect is a pollinating animal	nongold
67	an organism is a living thing	nongold
68	In the flowering plant life cycle , flowering can follow growth	nongold
69	organisms move through the stages of the life cycle	nongold
70	In the flowering plant life cycle , fruiting is part of reproduction	nongold
71	a hum is a kind of sound	nongold
72	a beverage is a kind of liquid	nongold
73	growth is a stage in the life cycle process	nongold
74	In the flowering plant life cycle , reproduction can follow growth	nongold
75	best means most positive	nongold
76	a process usually requires all of the stages in that process	nongold
77	to depend on; to rely on; to need means to require	nongold
78	a liquid is a kind of substance	nongold
79	where something  comes from is a source of that something	nongold
80	producer is a kind of role in the food chain process; in an ecosystem	nongold
81	to be good for means to have a positive impact on	nongold
82	a part of a process means a stage in a process	nongold
83	better means good	nongold
84	lifetime is similar to life cycle	nongold
85	producing is similar to causing	nongold
86	if something causes a process then that something is required for that process	nongold
87	reproduction is a kind of process	nongold
88	high is similar to increase	nongold
89	to carry means to move something	gold
90	green plants are a kind of producer	nongold
91	if something requires something else then that something requires a source of that something else	nongold
92	a plant is a member of a plant species	nongold
93	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
94	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
95	increase means more	nongold
96	to be a vehicle for is a kind of function	nongold
97	if something transfers something else then that something is a source of something else	nongold
98	a human is a kind of animal	nongold
99	producing is similar to releasing	nongold
