Question	Which energy resource is renewable?	question
Answer	wind	answer
0	wind is a renewable; inexhaustible resource	gold
1	wind is a source of energy	nongold
2	a renewable resource is a kind of natural resource	nongold
3	fossil fuels are a kind of energy resource	nongold
4	renewable is the opposite of nonrenewable	nongold
5	a fossil fuel is a kind of natural resource	nongold
6	fossil fuels are a nonrenewable resource	nongold
7	wind is used for producing electricity	nongold
8	solar energy is a renewable; inexhaustible resource	nongold
9	oil is a kind of fossil fuel	nongold
10	water is a renewable resource	nongold
11	natural gas is a kind of fossil fuel	nongold
12	natural gas is a nonrenewable resource	nongold
13	tidal energy is a renewable resource	nongold
14	oil is a kind of energy resource	nongold
15	oil is a nonrenewable resource	nongold
16	wind means moving air	nongold
17	resources sometimes are used for energy	nongold
18	petroleum is a kind of fossil fuel	nongold
19	an energy source is a kind of resource	nongold
20	animals are a renewable resource	nongold
21	renewable resources are often available for many years	nongold
22	a renewable resource is a kind of naturally replaced resource	nongold
23	answering questions requires information	nongold
24	solar energy is a kind of energy	nongold
25	a source of something emits; produces; generates; provides that something	nongold
26	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
27	producing renewable electric energy requires renewable resources	nongold
28	geothermal energy is a renewable resource	nongold
29	an inexhaustible resource is a kind of renewable resource	nongold
30	a natural resource is a kind of environmental factor	nongold
31	solar power means solar energy	nongold
32	plants are a kind of resource	nongold
33	fossil fuels have high potential energy	nongold
34	coal is a kind of fossil fuel	nongold
35	a wind turbine is a kind of windmill	nongold
36	oil is a source of energy	nongold
37	alternative fuel is usually a renewable resource	nongold
38	renewable resources can be used over again	nongold
39	to be used for something means to be required by that something	nongold
40	electricity means electrical energy	nongold
41	trees are a renewable resource	nongold
42	windy means high wind speeds	nongold
43	fossil fuel contains chemical energy	nongold
44	food is a kind of resource	nongold
45	an event is a kind of action	nongold
46	tidal energy is a kind of alternative energy resource	nongold
47	biomass is a renewable resource	nongold
48	wind   is a kind of airflow	nongold
49	if something causes a process then that something is required for that process	nongold
50	operating an automobile usually requires fossil fuels	nongold
51	vegetable oil is a renewable resource	nongold
52	if something generates energy for something else then that something powers that something else	nongold
53	water is a kind of natural resource	nongold
54	water is a kind of natural resource	nongold
55	wood is a renewable resource	nongold
56	hydropower is a kind of alternative energy resource	nongold
57	to depend on; to rely on; to need means to require	nongold
58	a biofuel is a kind of alternative energy resource	nongold
59	nature is the source of natural resources	nongold
60	a process is a kind of event	nongold
61	a renewable resource can be renewed	nongold
62	sunlight means solar energy	nongold
63	coal is a nonrenewable resource	nongold
64	nuclear energy is a kind of energy	nongold
65	energy transformation means one kind of energy changes into another kind of energy	nongold
66	hydroelectric power is a renewable resource	nongold
67	a component of something means a part of that something	nongold
68	An example of conservation is not using fossil fuel	nongold
69	metal is a nonrenewable resource	nongold
70	wave energy is a renewable resource	nongold
71	a component means a part of	nongold
72	a renewable resource can be replaced	nongold
73	emit means produce	nongold
74	sunlight is a kind of solar energy	nongold
75	flying a kite requires wind	nongold
76	solar energy is a kind of heat energy	nongold
77	a windmill converts wind energy into electrical energy; electricity primarily by using mechanical energy	nongold
78	chemical energy is a kind of energy	nongold
79	if something requires something else then that something requires a source of that something else	nongold
80	potential energy means stored energy	nongold
81	to power means to provide energy for	nongold
82	to provide something means to be the source of that something	nongold
83	land is a kind of resource	nongold
84	potential energy is a kind of energy	nongold
85	using renewable resources to generate power reduces greenhouse gases	nongold
86	if something is a raw material in a process then that something is required for that process	nongold
87	generate means produce	nongold
88	wood is a kind of energy resource	nongold
89	burning fossil fuels increases the carbon in the atmosphere	nongold
90	if something is powered by something else then that something requires a source of that something else	nongold
91	fuel is a source of energy	nongold
92	fossil fuels release carbon dioxide into the atmosphere	nongold
93	renewable resources are replenished more quickly than they are used	nongold
94	solar energy is an inexhaustible resource	nongold
95	fuel is a kind of energy source	nongold
96	to be formed by is similar to being produced by	nongold
97	an ocean is a kind of body of water	nongold
98	a part of a process means a stage in a process	nongold
99	a source of something increases the amount of that something	nongold
