Question	Limestone is a sedimentary rock and marble is a metamorphic rock. Even though limestone and marble have the same chemical makeup, they are classified as different rocks because they	question
Answer	formed by different methods	answer
0	sedimentary is a kind of rock	nongold
1	limestone is a kind of sedimentary rock	nongold
2	different classes of rocks are formed by different methods	gold
3	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
4	sedimentary rocks are formed by deposition; cementation	nongold
5	marble is a kind of object; material	nongold
6	classifying means grouping objects; materials by their properties	gold
7	sedimentary rocks are made of small particles	nongold
8	sandstone is a kind of sedimentary rock	nongold
9	classifying is when one sorts something by kind; type	gold
10	chemical reactions cause new substances; different substances to form	nongold
11	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	gold
12	shale is a kind of sedimentary rock	nongold
13	metamorphic is a kind of rock	nongold
14	metamorphic rock is a kind of rock	nongold
15	chemical composition is a kind of property	nongold
16	substances have chemical properties	nongold
17	process is similar to method	nongold
18	nearly all fossils are found in sedimentary rock	nongold
19	material composition is a kind of chemical property	nongold
20	a kind of something is classified as that something	nongold
21	chemical reactions cause chemical change	nongold
22	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
23	chemicals means substances	nongold
24	sediment is formed from rock	nongold
25	to tell the difference between things means to classify those things	nongold
26	the composition of something can be used to identify that something	nongold
27	different materials usually have different properties	nongold
28	the properties of something can be used to identify; used to describe that something	nongold
29	composition means the (materials, substances) of which something is composed	nongold
30	class is a measure of how a rock is formed	nongold
31	to be made of something means to be formed of that something	nongold
32	different is the opposite of the same	nongold
33	compound is a kind of chemical	nongold
34	category means kind	nongold
35	chemical change is a kind of chemical reaction	nongold
36	sedimentary rocks often have different colored layers	nongold
37	classifying requires comparing	nongold
38	classify is similar to characterize	nongold
39	if something changes , then that something is not the same	nongold
40	classification is a kind of process	nongold
41	a  chemical property is a kind of  property	nongold
42	to categorize means to classify	nongold
43	to change means to become different	nongold
44	acid can cause chemical change	nongold
45	identifying is similar to determining	nongold
46	a chemical reaction is a kind of process	nongold
47	if an object undergoes chemical change then that object will have new chemical properties	nongold
48	composition is a property of an object; matter	nongold
49	to form means to create	nongold
50	different types of matter have different chemical properties	nongold
51	form means kind	nongold
52	to make means to form	nongold
53	to belong to a class means to be a kind of something	nongold
54	similarity means the same property	nongold
55	opposite is a kind of different	nongold
56	composed of means made of	nongold
57	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
58	a rock is a kind of object	nongold
59	a chemical compound is a kind of compound	nongold
60	metamorphosed rock is a kind of rock	nongold
61	rock is made of minerals	nongold
62	limestone is formed by water evaporating from a solution of water and minerals	nongold
63	to be formed by is similar to being produced by	nongold
64	chemical reaction means chemical bonds change	nongold
65	substances are made of elements	nongold
66	the properties of something are used for describing that something	nongold
67	combining; mixing two substances chemically causes chemical reactions	nongold
68	structure is a property of an object; a material; a substance	nongold
69	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
70	the formation of rock is a kind of process	nongold
71	An example of a chemical property is the elements a compound is made of	nongold
72	organisms can be preserved in sedimentary rock	nongold
73	chemical compounds contain chemical bonds between atoms; between elements	nongold
74	a compound can be chemically separated into the elements that it is made of	nongold
75	can be means able to be	nongold
76	all minerals are formed by natural geological processes	nongold
77	to create means to make	nongold
78	the chemical composition of moon rocks is similar to the chemical composition of Earth rocks	nongold
79	sediment is a kind of matter	nongold
80	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
81	sedimentary rocks are often light brown in color	nongold
82	to decompose means to separate	nongold
83	same means identical; equal in value; amount; number; quantity	nongold
84	to belong to a group means to be classified in that group	nongold
85	different substances usually have different amount of chemical energy	nongold
86	rock means stone	nongold
87	a type is synonymous with a kind	nongold
88	including means containing	nongold
89	products are formed; are produced; are created	nongold
90	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
91	forming is similar to converting	nongold
92	to vary means to differ	nongold
93	the chemistry of something is similar to what that something is made of	nongold
94	combustibility is a kind of  chemical property	nongold
95	the formation of something is a kind of process	nongold
96	photosynthesis is a kind of chemical  process	nongold
97	An example of a chemical change is acid breaking down substances	nongold
98	to be characterized by  a property means to have that property	nongold
99	identical is the opposite of different	nongold
