Question	A student observes zinc turning from a solid to a liquid in a laboratory investigation. Which statement describes the change in zinc atoms while melting?	question
Answer	The zinc atoms lost their relative fixed position.	answer
0	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
1	zinc is a kind of metal	nongold
2	turning is a kind of motion	nongold
3	when an object moves , that object loses its relative fixed position	gold
4	to turn means to change	nongold
5	a solid is a kind of substance	nongold
6	turns is similar to changes	nongold
7	a student is a kind of human	nongold
8	a metal is usually a solid at room temperature	nongold
9	metal is a kind of substance	nongold
10	fixed is similar to definite	nongold
11	melting is a kind of phase change	nongold
12	investigating is a kind of process	nongold
13	a liquid is a kind of substance	nongold
14	loss is a kind of change	nongold
15	investigating sometimes requires measuring	nongold
16	solid is a kind of state of matter	nongold
17	the properties of something are used for describing that something	nongold
18	investigating a stage of something means investigating that something	nongold
19	studying is similar to investigating	nongold
20	liquid is a kind of state of matter	nongold
21	investigation sometimes requires experimentation	nongold
22	melting is when solids are heated above their melting point	nongold
23	moving changes position	nongold
24	metal is a kind of material	nongold
25	temperature is a measure of heat energy	nongold
26	an increase is a kind of change	nongold
27	a metal is a kind of element	nongold
28	place; location is synonymous with position	nongold
29	to turn means to convert	nongold
30	examining is a kind of process	nongold
31	temperature changing can cause phase changes	nongold
32	an  element is a kind of atom	nongold
33	converting is similar to turning into	nongold
34	an element is a kind of  substance	nongold
35	to add means to increase	gold
36	an atom is a kind of object	gold
37	matter; materials; substances are made of atoms; particles	nongold
38	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
39	to change means to cause a change	nongold
40	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
41	lab equipment is often used for measuring; observing	nongold
42	a decrease is a kind of change	nongold
43	affected means changed	nongold
44	adding heat means increasing temperature	nongold
45	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
46	metals are made of metal	nongold
47	melting point is a property of a substance; material	nongold
48	phase means state	nongold
49	zinc is always nonmagnetic	nongold
50	can be means able to be	nongold
51	a scientist is a kind of human	nongold
52	heating means adding heat	nongold
53	observations; data are a part of the results of an experiment	nongold
54	a change is a kind of event	nongold
55	examining sometimes requires measuring	nongold
56	if an element is converted into another element then that element is lost	nongold
57	form means kind	nongold
58	to convert means to change	nongold
59	if there is a loss of something then that something decreases	nongold
60	an element is a kind of material	nongold
61	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
62	melting is a kind of process	nongold
63	variable means able to change	nongold
64	heat means heat energy	gold
65	measuring is used for describing an object	nongold
66	an element is made of one kind of atoms	nongold
67	an atom is exceptionally small in size	nongold
68	material means substance	nongold
69	heat means temperature increases	nongold
70	studying is similar to observing	nongold
71	high is similar to increase	nongold
72	no longer means used to be	nongold
73	experimentation requires measuring	nongold
74	if the component of something changed , then the whole thing will change	nongold
75	investigating requires gathering information	nongold
76	heat energy can change the state of matter	nongold
77	experiment is synonymous with test	nongold
78	an increase is the opposite of a decrease	nongold
79	stay the same means not changing	nongold
80	to remain means to not change	nongold
81	revolving is a kind of motion	nongold
82	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
83	iron is a kind of solid	nongold
84	to slow; to slow down decreases speed	nongold
85	low means down	nongold
86	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
87	substances are made of elements	nongold
88	rotate means turn	nongold
89	carbon is a kind of element	nongold
90	loss means reduction	nongold
91	definite is the opposite of variable	nongold
92	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
93	particles in a solid have an orderly fixed position	nongold
94	to lower means to decrease	nongold
95	boiling is a kind of phase change	nongold
96	copper is a kind of metal	nongold
97	a process is a kind of event	nongold
98	changed is the opposite of unchanged	nongold
99	low is similar to decrease	nongold
