Question	Which property of water can cause a rock to break apart?	question
Answer	Water expanding as it freezes.	answer
0	cycles of freezing and thawing water cause ice wedging	gold
1	when water freezes , that water expands	gold
2	water expanding when it freezes is a physical property of water	nongold
3	freezing causes a solid to form	nongold
4	frozen means solid	nongold
5	liquid water cooling causes that liquid water to freeze	nongold
6	ice wedging is when ice causes rocks to crack by expanding in openings	gold
7	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
8	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
9	freezing is a kind of phase change	nongold
10	break apart means break down	nongold
11	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
12	cracking something may cause that something  to break apart	gold
13	water is a kind of liquid at room temperature	nongold
14	ice wedging is a kind of mechanical weathering	nongold
15	a rock is a kind of object	nongold
16	breaking apart rocks can cause debris	nongold
17	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
18	ice is a kind of solid	nongold
19	freezing means cold temperatures	nongold
20	to reduce means to decrease	nongold
21	to break down means to break into smaller pieces	nongold
22	breaking down is a kind of forming	nongold
23	expand is a kind of change	nongold
24	water is a kind of substance	nongold
25	separating is similar to breaking	nongold
26	dissolving is similar to breaking down	nongold
27	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
28	a rock is usually a solid	nongold
29	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
30	to lower means to decrease	nongold
31	to add means to increase	nongold
32	ice is a kind of object	nongold
33	as density decreases ability to break apart increases	nongold
34	water is a kind of matter	nongold
35	water is a kind of object	nongold
36	separate is similar to break down	nongold
37	liquid is a kind of state of matter	nongold
38	mechanical weathering is when rocks are broken down by mechanical means	nongold
39	a liquid is a kind of substance	nongold
40	expand means increase in size	nongold
41	a solid is a kind of substance	nongold
42	apart is the opposite of together	nongold
43	to cause the formation of means to form	nongold
44	solid is a kind of state of matter	nongold
45	a physical property is a kind of property	nongold
46	if two objects move apart from each other then those two objects separate from each other	nongold
47	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
48	extreme heat and pressure change; metamorphose rock into metamorphic rock	nongold
49	a phase change is a kind of physical change	nongold
50	rock is a kind of material	nongold
51	break down means change from a whole into pieces	nongold
52	to change means to cause a change	nongold
53	to limit means to decrease	nongold
54	when something breaks , a crack may form in that something	nongold
55	if something is insoluble in something , then they will remain separated	nongold
56	rock means stone	nongold
57	to split means to break down	nongold
58	temperature is a measure of heat energy	nongold
59	break down is the opposite of put together	nongold
60	gas is a kind of state of matter	nongold
61	metamorphosed rock is a kind of rock	nongold
62	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
63	an increase is a kind of change	nongold
64	state of matter at room temperature is a kind of physical property	nongold
65	a decrease is a kind of change	nongold
66	crumble means break down	nongold
67	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
68	objects are made of materials; substances; matter	nongold
69	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
70	state of matter is a kind of physical property	nongold
71	condensing causes a liquid to form	nongold
72	structure is a property of an object; a material; a substance	nongold
73	if the volume of a substance; of a matter expands while the mass remains the same , then the molecules in that substance; matter move farther apart	nongold
74	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
75	to be a source of something means to cause that something	nongold
76	apart means away	nongold
77	liquids expand more than solids when heated	nongold
78	can be means able to be	nongold
79	if something is made of something else then that something can be broken down into that something else	nongold
80	state means form	nongold
81	Earth is made of rock	nongold
82	forming something is a kind of change	nongold
83	bedrock is a kind of rock	nongold
84	surfaces sometimes cause objects to break	nongold
85	affected means changed	nongold
86	take apart means break down	nongold
87	increase means more	nongold
88	if two objects are apart from each other then matter is between those two objects	nongold
89	a body of water contains water	nongold
90	an object is made of its parts	nongold
91	decomposing is similar to separating	nongold
92	to be made of something means to be formed of that something	nongold
93	rock is hard	nongold
94	a pebble is a kind of small rock	nongold
95	metamorphic rock is a kind of rock	nongold
96	a container is a kind of object	nongold
97	if something releases something else then that something else decreases in that something	nongold
98	a landform is a kind of object	nongold
99	a structure of something is synonymous with a part of that something	nongold
