Question	Which action illustrates a chemical change?	question
Answer	burning wood chips	answer
0	wood chips are made of wood	gold
1	burning is a kind of action	gold
2	chemical reactions cause chemical change	gold
3	action can cause change	nongold
4	wood burns	gold
5	fire causes burning	gold
6	to combust means to catch fire	nongold
7	combustion is a kind of chemical change	nongold
8	a motion is a kind of event; action	nongold
9	fire is a kind of chemical reaction	gold
10	an event is a kind of action	nongold
11	rust forming is a kind of chemical change	nongold
12	acid can cause chemical change	nongold
13	chemical change is a kind of chemical reaction	nongold
14	chemicals means substances	nongold
15	dry wood easily burns	nongold
16	a firewood is a kind of object	nongold
17	burning a living thing usually causes harm to that living thing	nongold
18	burning wood is used to produce heat	nongold
19	wood is a kind of nonmetal	nongold
20	wood is a strong material	nongold
21	wood is an thermal; thermal energy insulator	nongold
22	a flame are a part of a fire	nongold
23	wood is a kind of object	nongold
24	wood is a thermal; thermal energy insulator	nongold
25	a tree contains wood	nongold
26	action means activity	nongold
27	to change means to cause a change	nongold
28	combustion is a kind of exergonic reaction	nongold
29	combustibility means the ability of combustion	nongold
30	high temperatures can cause an object to combust	nongold
31	combustion means fire converts chemical energy into light energy and heat energy	nongold
32	wood is a kind of natural material	nongold
33	chemical change is the opposite of physical change	nongold
34	a change is a kind of event	nongold
35	a chemical reaction is a kind of process	nongold
36	forming is a kind of action	nongold
37	paper burns	nongold
38	adding heat to an object sometimes causes chemical reactions	nongold
39	objects are made of materials; substances; matter	nongold
40	plastic is recyclable	nongold
41	An example of combustion is explosion	nongold
42	rust is a kind of substance	nongold
43	carbon is a kind of element	nongold
44	actions mean behavior	nongold
45	putting out a fire stops the burning of that fire	nongold
46	cooking causes a chemical reaction	nongold
47	combining; mixing two substances chemically causes chemical reactions	nongold
48	fire destroys plants in an environment	nongold
49	fire causes harm to trees; to forests; to living things	nongold
50	combustibility is a kind of  chemical property	nongold
51	photosynthesis is a kind of chemical reaction	nongold
52	lighting a match is a kind of action	nongold
53	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
54	material means substance	nongold
55	chemical reactions cause new substances; different substances to form	nongold
56	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
57	a demonstration is similar to an example	nongold
58	fire gives off light; heat; smoke	nongold
59	a fire requires  oxygen to burn	nongold
60	change is a kind of process	nongold
61	wood is a kind of biomass	nongold
62	wood is a light material	nongold
63	if an object undergoes chemical change then that object will have new chemical properties	nongold
64	a process is a kind of event	nongold
65	substances have chemical properties	nongold
66	plastic is high in strength	nongold
67	a burner is a kind of object; surface	nongold
68	lighting a match causes that match to burn	nongold
69	a  chemical property is a kind of  property	nongold
70	all elements are a kind of pure substance	nongold
71	plastic is a kind of material made by humans	nongold
72	An example of a chemical change is acid breaking down substances	nongold
73	metal rusts	nongold
74	wildfire means forest fire	nongold
75	rust is a kind of compound	nongold
76	wildfire is when a forest catches fire	nongold
77	a forest fire is a kind of event	nongold
78	sawdust is insoluble in water	nongold
79	substances are made of elements	nongold
80	rubber is a kind of material	nongold
81	a chemical reaction producing a lot of gas and heat in a short time causes an explosion	nongold
82	chemical reaction means chemical bonds change	nongold
83	metal is a kind of material	nongold
84	most chemical reactions release or absorb heat energy	nongold
85	An example of a chemical property is how a material reacts chemically	nongold
86	image means visual depiction of an object	nongold
87	affected means changed	nongold
88	dissolving is a kind of action	nongold
89	wood is a renewable resource	nongold
90	adding something is a kind of change	nongold
91	becoming is a kind of action	nongold
92	a reaction is a kind of process	nongold
93	to give off means to be the source of	nongold
94	aluminum is recyclable	nongold
95	rubber is a kind of nonmetal	nongold
96	wood is a kind of resource	nongold
97	iron oxide; rust; Fe2O3 is made of iron and oxygen	nongold
98	death means to die	nongold
99	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
