Question	In the Adirondack forests of New York, some trees have died. The change in the forest is thought to be related to air pollution and rain. Which abiotic factor most likely has been changed as a result of the pollution and rain which resulted in the death of the trees?	question
Answer	a decrease in the pH of the soil	answer
0	air pollution; rain can cause the pH of soil to decrease	gold
1	abiotic means nonliving	gold
2	changes in the pH of soil can cause plants to die	gold
3	a tree is a kind of living thing	nongold
4	rain is a kind of precipitation	nongold
5	rain is a kind of water	nongold
6	to cause means to result in	gold
7	a forest is a kind of environment	nongold
8	a tree is a kind of plant	gold
9	rainfall means precipitation	nongold
10	roots are a part of a plant; tree	nongold
11	a plant requires soil for survival; to grow	nongold
12	a factor impacts something	nongold
13	a forest is a kind of ecosystem	nongold
14	if a living thing dies then that living thing is dead	nongold
15	a decrease is a kind of change	nongold
16	killing means harming something causing death	nongold
17	pH is a measure of acidity of a substance ranging from 0 to 14	nongold
18	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
19	a rain forest is a kind of forest	nongold
20	death means to die	nongold
21	an increase is the opposite of a decrease	nongold
22	rain causes erosion	nongold
23	a plants; living things require water for survival; to grow	nongold
24	an increase is a kind of change	nongold
25	a forest contains  lots of plants; trees	nongold
26	a plant is a kind of living thing	nongold
27	a plant; living thing requires nutrients to grow	nongold
28	moisture is a kind of environmental factor	nongold
29	soil contains nutrients for plants	nongold
30	rain is a source of water	nongold
31	soil is usually part of an environment	nongold
32	New York; New York State is a state located in the United States of America	nongold
33	precipitation is when water falls from the sky	nongold
34	as the cause of something decreases , that something will decrease	nongold
35	soil is a part of the ground outside	nongold
36	dead plants means dead plant material	nongold
37	pollution has a negative impact on the environment; air quality; water quality; society	nongold
38	acidic means low; 0 to 6 in pH	nongold
39	humans cause pollution	nongold
40	crops; farming cause nutrients in the soil to decrease	nongold
41	decomposition increases the  amount of nutrients; nitrogen in the soil	nongold
42	if an organism dies then the population of that organism will decrease	nongold
43	as the amount of a source of something decreases , the amount of that something will decrease	nongold
44	to reduce means to decrease	nongold
45	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
46	as the amount of sulfur gas in the atmosphere increases , the pH of rain will decrease	nongold
47	to change means to cause a change	nongold
48	a natural resource is a kind of environmental factor	nongold
49	to produce means to result in	nongold
50	rainfall means the amount of precipitation	nongold
51	soil is a kind of nonliving thing	gold
52	vegetation means plants	nongold
53	an animal; living thing requires nutrients for survival	nongold
54	to change means to have an effect	nongold
55	a tree is a kind of matter	nongold
56	an animal; bacterium requires oxygen for survival; to breathe	nongold
57	often soil is found in an environment	nongold
58	air is a part of the environment	nongold
59	a source of something increases the amount of that something	nongold
60	to lower means to decrease	nongold
61	change is a kind of impact	nongold
62	a plant requires photosynthesis to grow; survive	nongold
63	an animal is a kind of living thing	nongold
64	if there is a loss of something then that something decreases	nongold
65	a plant; living thing requires food for survival	nongold
66	increase means more	nongold
67	an animal requires air for survival	nongold
68	precipitation is a kind of natural occurrence; cause	nongold
69	to cause means to have an effect	nongold
70	erosion is a kind of change	nongold
71	a plant is a kind of organism	nongold
72	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
73	P means phosphorus	nongold
74	an organism is a living thing	nongold
75	some animals live in forests	nongold
76	if the component of something changed , then the whole thing will change	nongold
77	dead organisms are a source of disease	nongold
78	impact means effect	nongold
79	atmosphere means  air	nongold
80	soil is found on the surface of the Earth	nongold
81	affected means changed	nongold
82	soil erosion means soil loss through wind;water; animals	nongold
83	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
84	soil is a kind of material	nongold
85	remains mean parts of a dead organism	nongold
86	to impact means to affect	nongold
87	plants are a part of the environment	nongold
88	reducing is a kind of change	nongold
89	to be a source of something means to cause that something	nongold
90	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
91	an environment means an area	nongold
92	due to means caused by	nongold
93	when water falls from the sky , that water usually returns to the soil	nongold
94	forest is synonymous with wooded area	nongold
95	rainfall is the amount of rain an area receives	nongold
96	life means living things	nongold
97	renewing soil increases nutrients in the soil	nongold
98	if a tree is cut down then that tree will die	nongold
99	new means different from the former one	nongold
