Question	The Grand Canyon is an example of	question
Answer	erosion.	answer
0	the Grand Canyon is a kind of canyon	gold
1	a canyon is made of rock	nongold
2	the Grand Canyon was formed by the Colorado River flowing over long periods of time	nongold
3	a canyon is a very deep valley	nongold
4	most canyons are formed by flowing rivers through erosion over long periods of time	gold
5	a canyon is a kind of landform	nongold
6	a canyon is a kind of place	nongold
7	a canyon is a very big crack in the ground	nongold
8	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
9	a canyon forming occurs over a period of millions of years	nongold
10	a kind of something is an example of that something	nongold
11	erosion; storms can cause a landslide	nongold
12	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
13	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
14	soil erosion means soil loss through wind;water; animals	nongold
15	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
16	erosion is a kind of process	nongold
17	erosion is a kind of change	nongold
18	a river is a kind of flowing body of water	nongold
19	a landslide is a kind of natural event	nongold
20	erosion causes a river to become deeper and wider	nongold
21	soil erosion is a kind of slow; natural process	nongold
22	wind and rain; storms cause erosion	nongold
23	weathering; erosion usually occurs over a period of many years	nongold
24	soil erosion is a kind of event	nongold
25	weathering is a kind of erosion	nongold
26	wind causes erosion	nongold
27	breaking down is a kind of forming	nongold
28	erosion of soil has a  negative impact on the environment; soil quality	nongold
29	rain causes erosion	nongold
30	weathering is a kind of process	nongold
31	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
32	sinkholes; caves are formed by precipitation; infiltration	nongold
33	erosion is a kind of destructive force	nongold
34	to cause the formation of means to form	nongold
35	flowing is a kind of motion	nongold
36	a stream is a kind of body of water	nongold
37	a valley is formed by a river flowing	nongold
38	erosion causes deposition	nongold
39	to form means to create	nongold
40	a river is a kind of channel for water	nongold
41	an earthquake is a kind of natural; geological event	nongold
42	a  solution  is a kind of object	nongold
43	sediment is formed by weathering	nongold
44	the formation of something is a kind of process	nongold
45	to make means to form	nongold
46	break down means change from a whole into pieces	nongold
47	a body of water is a kind of environment	nongold
48	soil and sediment deposited by a river are usually high; rich in nutrients	nongold
49	landslides often occur on mountains	nongold
50	soil is formed by rocks eroding	nongold
51	when a river floods , that river deposits soil; sediment in flood plains	nongold
52	mechanical weathering is when rocks are broken down by mechanical means	nongold
53	valley is a kind of location	nongold
54	form means kind	nongold
55	An example of weathering is when a plant root grows into a crack in rock	nongold
56	greatest means largest; highest; most amount of something	nongold
57	boulders; sand; gravel are formed by glaciers melting sometimes	nongold
58	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
59	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
60	to break down means to break into smaller pieces	nongold
61	mechanical weathering is a kind of weathering	nongold
62	high mountains with well-rounded peaks can be formed by collision of crustal plates; erosion	nongold
63	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
64	a landform is a kind of natural formation	nongold
65	to wash away is a kind of movement by moving water	nongold
66	to change into means to form	nongold
67	valley is located between mountains; hills	nongold
68	to be formed by is to be the result of	nongold
69	the formation of rock is a kind of process	nongold
70	extreme means very high in value	nongold
71	a riverbed is a part of a river	nongold
72	sediment is formed from rock	nongold
73	weathering occurs at the surface of the Earth	nongold
74	a type is synonymous with a kind	nongold
75	An example of movement is washing away	nongold
76	creating is similar to causing	nongold
77	a rock is a kind of object	nongold
78	sediment falls to the bottom of bodies of water	nongold
79	an ocean contains waves	nongold
80	to create means to make	nongold
81	to increase is similar to to create	nongold
82	water causes the most soil and rock erosion	nongold
83	sometimes weathering smooths; rounds rocks	nongold
84	a whole is formed by its parts	nongold
85	a process is a kind of event	nongold
86	an ocean is a kind of body of water	nongold
87	soil is formed by weathering	nongold
88	to be formed by is similar to being produced by	nongold
89	low means down	nongold
90	sediment is a kind of matter	nongold
91	impact means effect	nongold
92	an arch is a kind of land formation	nongold
93	creating means making	nongold
94	a motion is a kind of event; action	nongold
95	sinking means moving down	nongold
96	rising is a kind of motion	nongold
97	to add means to increase	nongold
98	water is a kind of object	nongold
99	erosion sometimes decreases the amount of nutrients in soil	nongold
